Date,AJG
2000-01-03,7.472565650939941
2000-01-04,7.1349077224731445
2000-01-05,7.164267063140869
2000-01-06,7.151421070098877
2000-01-07,7.428525447845459
2000-01-10,7.15692663192749
2000-01-11,7.112882137298584
2000-01-12,7.054161071777344
2000-01-13,7.0394792556762695
2000-01-14,7.002780914306641
2000-01-18,7.054161071777344
2000-01-19,7.046820163726807
2000-01-20,7.0394792556762695
2000-01-21,6.7091593742370605
2000-01-24,6.64309549331665
2000-01-25,6.547667980194092
2000-01-26,6.687139511108398
2000-01-27,6.503629207611084
2000-01-28,6.349479675292969
2000-01-31,6.312776565551758
2000-02-01,6.408202171325684
2000-02-02,6.437565326690674
2000-02-03,6.914693355560303
2000-02-04,6.892671585083008
2000-02-07,6.577030658721924
2000-02-08,6.540327072143555
2000-02-09,6.591716766357422
2000-02-10,6.6357598304748535
2000-02-11,6.371499538421631
2000-02-14,6.276076793670654
2000-02-15,6.195329189300537
2000-02-16,6.2173542976379395
2000-02-17,6.070539951324463
2000-02-18,5.835648059844971
2000-02-22,5.718203067779541
2000-02-23,5.872349739074707
2000-02-24,5.850327491760254
2000-02-25,5.732880592346191
2000-02-28,5.90905237197876
2000-02-29,6.004478931427002
2000-03-01,5.901711463928223
2000-03-02,5.997137546539307
2000-03-03,5.872349739074707
2000-03-06,5.520009517669678
2000-03-07,5.564051628112793
2000-03-08,5.520009517669678
2000-03-09,5.571394443511963
2000-03-10,5.600754261016846
2000-03-13,5.747561931610107
2000-03-14,5.842987060546875
2000-03-15,6.2540507316589355
2000-03-16,7.516604900360107
2000-03-17,7.164267063140869
2000-03-20,6.855969429016113
2000-03-21,6.767881393432617
2000-03-22,7.046820163726807
2000-03-23,7.120223522186279
2000-03-24,7.164267063140869
2000-03-27,7.061499118804932
2000-03-28,7.046820163726807
2000-03-29,7.08646821975708
2000-03-30,7.559885501861572
2000-03-31,7.6930341720581055
2000-04-03,7.752211093902588
2000-04-04,7.559885501861572
2000-04-05,7.752211093902588
2000-04-06,7.767003059387207
2000-04-07,7.796593189239502
2000-04-10,7.73741340637207
2000-04-11,7.7226243019104
2000-04-12,7.752211093902588
2000-04-13,7.767003059387207
2000-04-14,7.633856773376465
2000-04-17,7.382354736328125
2000-04-18,7.767003059387207
2000-04-19,7.7226243019104
2000-04-20,7.796593189239502
2000-04-24,7.796593189239502
2000-04-25,8.595486640930176
2000-04-26,8.299600601196289
2000-04-27,8.196041107177734
2000-04-28,8.817405700683594
2000-05-01,8.43274974822998
2000-05-02,8.284808158874512
2000-05-03,8.255216598510742
2000-05-04,8.403160095214844
2000-05-05,8.52151107788086
2000-05-08,8.43274974822998
2000-05-09,8.462334632873535
2000-05-10,8.447542190551758
2000-05-11,8.52151107788086
2000-05-12,8.565897941589355
2000-05-15,9.068902015686035
2000-05-16,8.935757637023926
2000-05-17,8.817405700683594
