Date,GEN
2000-01-03,2.527428388595581
2000-01-04,2.4107778072357178
2000-01-05,2.2663533687591553
2000-01-06,2.1358163356781006
2000-01-07,2.3052361011505127
2000-01-10,2.5218729972839355
2000-01-11,2.316347122192383
2000-01-12,2.371893882751465
2000-01-13,2.4302196502685547
2000-01-14,2.349675178527832
2000-01-18,2.4329967498779297
2000-01-19,2.5107638835906982
2000-01-20,2.6857399940490723
2000-01-21,2.589919090270996
2000-01-24,2.59686279296875
2000-01-25,2.5774216651916504
2000-01-26,2.569089412689209
2000-01-27,2.3607845306396484
2000-01-28,2.2246923446655273
2000-01-31,2.2246923446655273
2000-02-01,2.258021831512451
2000-02-02,2.3830044269561768
2000-02-03,2.569089412689209
2000-02-04,2.605194568634033
2000-02-07,2.8190555572509766
2000-02-08,2.7135143280029297
2000-02-09,2.794058084487915
2000-02-10,3.0717968940734863
2000-02-11,2.9218170642852783
2000-02-14,2.8440511226654053
2000-02-15,2.8440511226654053
2000-02-16,2.952369451522827
2000-02-17,2.8398852348327637
2000-02-18,2.8440511226654053
2000-02-22,2.857938528060913
2000-02-23,2.999584913253784
2000-02-24,2.9495904445648193
2000-02-25,3.1884491443634033
2000-02-28,3.1106820106506348
2000-02-29,3.1745612621307373
2000-03-01,3.1884491443634033
2000-03-02,3.060687780380249
2000-03-03,3.2217774391174316
2000-03-06,3.3662006855010986
2000-03-07,3.427302598953247
2000-03-08,3.4995169639587402
2000-03-09,3.5717275142669678
2000-03-10,3.5911712646484375
2000-03-13,3.4023079872131348
2000-03-14,3.196781873703003
2000-03-15,3.060687780380249
2000-03-16,3.1106820106506348
2000-03-17,3.1717827320098877
2000-03-20,3.124567747116089
2000-03-21,3.0995712280273438
2000-03-22,3.2217774391174316
2000-03-23,3.2217774391174316
2000-03-24,3.2578840255737305
2000-03-27,3.1578967571258545
2000-03-28,3.2495510578155518
2000-03-29,3.1912262439727783
2000-03-30,3.199556350708008
2000-03-31,3.3384273052215576
2000-04-03,2.7412872314453125
2000-04-04,2.5829763412475586
2000-04-05,2.8440511226654053
2000-04-06,2.888489246368408
2000-04-07,2.960702657699585
2000-04-10,2.727400541305542
2000-04-11,2.6426894664764404
2000-04-12,2.5801987648010254
2000-04-13,2.5385377407073975
2000-04-14,2.3357882499694824
2000-04-17,2.644078254699707
2000-04-18,2.821831703186035
2000-04-19,2.9801435470581055
2000-04-20,2.644078254699707
2000-04-24,2.4552149772644043
2000-04-25,2.6218597888946533
2000-04-26,2.4524388313293457
2000-04-27,2.638524055480957
2000-04-28,2.774616003036499
2000-05-01,2.746842861175537
2000-05-02,2.7357335090637207
2000-05-03,2.5996410846710205
2000-05-04,2.7135143280029297
2000-05-05,2.6885173320770264
