Date,EXC
2000-01-03,4.667262554168701
2000-01-04,4.632815361022949
2000-01-05,4.856706619262695
2000-01-06,4.865316867828369
2000-01-07,4.865316867828369
2000-01-10,5.158100128173828
2000-01-11,5.123653411865234
2000-01-12,5.166710376739502
2000-01-13,5.32171106338501
2000-01-14,5.304492473602295
2000-01-18,5.192544937133789
2000-01-19,5.287267208099365
2000-01-20,5.2097673416137695
2000-01-21,5.35615873336792
2000-01-24,5.597270488739014
2000-01-25,5.511159420013428
2000-01-26,5.631714820861816
2000-01-27,5.786717891693115
2000-01-28,5.674772262573242
2000-01-31,5.7522711753845215
2000-02-01,5.726438522338867
2000-02-02,5.743659973144531
2000-02-03,5.993382453918457
2000-02-04,5.924493789672852
2000-02-07,5.786717891693115
2000-02-08,5.838380336761475
2000-02-09,5.855607032775879
2000-02-10,5.778103828430176
2000-02-11,5.683380603790283
2000-02-14,5.674772262573242
2000-02-15,5.631714820861816
2000-02-16,5.614490032196045
2000-02-17,5.545601844787598
2000-02-18,5.450879096984863
2000-02-22,5.485325813293457
2000-02-23,5.5979766845703125
2000-02-24,5.268682956695557
2000-02-25,5.346675395965576
2000-02-28,5.450659275054932
2000-02-29,5.1733622550964355
2000-03-01,5.234023571014404
2000-03-02,5.4073333740234375
2000-03-03,5.476659774780273
2000-03-06,5.372670650482178
2000-03-07,5.234023571014404
2000-03-08,5.294681072235107
2000-03-09,5.312012672424316
2000-03-10,5.303346633911133
2000-03-13,5.286015033721924
2000-03-14,5.1733622550964355
2000-03-15,5.355340957641602
2000-03-16,5.554648399353027
2000-03-17,5.338010311126709
2000-03-20,5.329342842102051
2000-03-21,5.372670650482178
2000-03-22,5.234023571014404
2000-03-23,5.190694808959961
2000-03-24,5.268682956695557
2000-03-27,5.1733622550964355
2000-03-28,5.086706638336182
2000-03-29,5.156030654907227
2000-03-30,5.147367000579834
2000-03-31,5.112702369689941
2000-04-03,5.121368408203125
2000-04-04,5.459327220916748
2000-04-05,5.6239728927612305
2000-04-06,5.493992328643799
2000-04-07,5.50265645980835
2000-04-10,5.736625671386719
2000-04-11,5.779956817626953
2000-04-12,5.892606735229492
2000-04-13,6.039919853210449
2000-04-14,5.95759916305542
2000-04-17,5.823282241821289
2000-04-18,5.675967693328857
2000-04-19,5.641305923461914
2000-04-20,5.771291732788086
2000-04-24,5.823282241821289
2000-04-25,5.987929344177246
2000-04-26,6.048591136932373
2000-04-27,5.970596790313721
2000-04-28,5.779956817626953
2000-05-01,5.7886223793029785
2000-05-02,5.641305923461914
2000-05-03,5.7626261711120605
2000-05-04,5.901273727416992
2000-05-05,5.961935043334961
2000-05-08,5.996596336364746
2000-05-09,6.065919399261475
2000-05-10,6.20456600189209
2000-05-11,6.3085527420043945
2000-05-12,6.187242031097412
2000-05-15,6.213234901428223
2000-05-16,6.187242031097412
2000-05-17,5.996596336364746
2000-05-18,5.996596336364746
2000-05-19,6.0225911140441895
2000-05-22,6.265227794647217
2000-05-23,6.265227794647217
2000-05-24,6.377882957458496
2000-05-25,6.299465656280518
2000-05-26,6.299465656280518
2000-05-30,6.168769836425781
2000-05-31,6.125205039978027
2000-06-01,6.081638813018799
2000-06-02,6.064214706420898
2000-06-05,5.872530460357666
2000-06-06,5.924808502197266
2000-06-07,5.828965663909912
2000-06-08,5.968369960784912
2000-06-09,6.177483558654785
2000-06-12,6.190553188323975
2000-06-13,6.160057544708252
2000-06-14,5.994513511657715
2000-06-15,6.003223419189453
2000-06-16,6.011938095092773
2000-06-19,5.968369960784912
2000-06-20,5.916095733642578
2000-06-21,5.907382488250732
2000-06-22,5.872530460357666
2000-06-23,5.898669719696045
2000-06-26,5.959660053253174
2000-06-27,5.741837501525879
2000-06-28,5.9553022384643555
2000-06-29,5.872530460357666
2000-06-30,5.619849681854248
2000-07-03,5.802825450897217
2000-07-05,5.663420677185059
2000-07-06,5.733120918273926
2000-07-07,5.75054931640625
2000-07-10,5.855104923248291
2000-07-11,6.011938095092773
2000-07-12,5.950947284698486
2000-07-13,5.994513511657715
2000-07-14,5.950947284698486
2000-07-17,6.107778549194336
2000-07-18,6.151344299316406
2000-07-19,6.212335109710693
2000-07-20,6.064214706420898
2000-07-21,6.133917808532715
2000-07-24,6.064214706420898
2000-07-25,6.107778549194336
2000-07-26,5.979263782501221
2000-07-27,6.081638813018799
2000-07-28,6.064214706420898
2000-07-31,5.950947284698486
2000-08-01,6.107778549194336
2000-08-02,6.125205039978027
2000-08-03,6.2929301261901855
2000-08-04,6.412731647491455
2000-08-07,6.5804572105407715
2000-08-08,6.560855388641357
2000-08-09,6.508571147918701
2000-08-10,6.475903034210205
2000-08-11,6.597880840301514
2000-08-14,6.700260162353516
2000-08-15,6.822242736816406
2000-08-16,6.7612457275390625
2000-08-17,6.796103477478027
2000-08-18,6.787390232086182
2000-08-21,6.743823528289795
2000-08-22,6.76996374130249
2000-08-23,6.8309526443481445
2000-08-24,6.752535820007324
2000-08-25,6.665401935577393
2000-08-28,6.81430721282959
2000-08-29,6.691686153411865
2000-08-30,6.726720809936523
2000-08-31,6.755184173583984
2000-09-01,6.770516395568848
2000-09-05,6.849343299865723
2000-09-06,6.980720043182373
2000-09-07,7.103343486785889
2000-09-08,7.528147220611572
2000-09-11,7.814994812011719
2000-09-12,7.874114036560059
2000-09-13,8.005498886108398
2000-09-14,7.88287353515625
2000-09-15,8.20037841796875
2000-09-18,8.084327697753906
2000-09-19,7.760249614715576
2000-09-20,7.63762903213501
2000-09-21,7.628870010375977
2000-09-22,7.856597423553467
2000-09-25,7.795289993286133
2000-09-26,8.06680679321289
2000-09-27,8.305482864379883
2000-09-28,8.390881538391113
2000-09-29,8.489418983459473
2000-10-02,8.627368927001953
2000-10-03,8.285778999328613
2000-10-04,7.987979412078857
2000-10-05,7.795289993286133
2000-10-06,7.9354248046875
2000-10-09,7.926666736602783
2000-10-10,8.24198055267334
2000-10-11,8.163151741027832
2000-10-12,8.049293518066406
2000-10-13,8.119361877441406
2000-10-16,8.469714164733887
2000-10-17,8.636126518249512
2000-10-18,8.390881538391113
2000-10-19,8.417159080505371
2000-10-20,8.338326454162598
