Date,CME
2002-12-06,4.109003067016602
2002-12-09,4.024714469909668
2002-12-10,4.094637393951416
2002-12-11,4.315888404846191
2002-12-12,4.205739974975586
2002-12-13,4.180839538574219
2002-12-16,4.1281585693359375
2002-12-17,4.1444411277771
2002-12-18,4.086973190307617
2002-12-19,4.0515336990356445
2002-12-20,4.257462501525879
2002-12-23,4.156895637512207
2002-12-24,4.123371601104736
2002-12-26,4.080267906188965
2002-12-27,4.022799015045166
2002-12-30,4.053451061248779
2002-12-31,4.1817946434021
2003-01-02,4.187545299530029
2003-01-03,4.38676643371582
2003-01-06,4.607062816619873
2003-01-07,4.599401950836182
2003-01-08,4.598442554473877
2003-01-09,4.698056697845459
2003-01-10,4.692309856414795
2003-01-13,4.752652168273926
2003-01-14,4.702844142913818
2003-01-15,4.506494998931885
2003-01-16,4.346541404724121
2003-01-17,4.312056064605713
2003-01-21,4.257462501525879
2003-01-22,4.2287278175354
2003-01-23,4.3513288497924805
2003-01-24,4.500746250152588
2003-01-27,4.429870128631592
2003-01-28,4.406881809234619
2003-01-29,4.4538140296936035
2003-01-30,4.233518600463867
2003-01-31,4.07069206237793
2003-02-03,4.056323528289795
2003-02-04,4.022799015045166
2003-02-05,3.9978954792022705
2003-02-06,3.9749104976654053
2003-02-07,4.033335208892822
2003-02-10,4.1185808181762695
2003-02-11,4.109960556030273
2003-02-12,4.109960556030273
2003-02-13,4.166470527648926
2003-02-14,4.2622528076171875
2003-02-18,4.264170169830322
2003-02-19,4.288115501403809
2003-02-20,4.313015460968018
2003-02-21,4.344622611999512
2003-02-24,4.361865997314453
2003-02-25,4.379105091094971
2003-02-26,4.34270715713501
2003-02-27,4.147315502166748
2003-02-28,4.123371601104736
2003-03-03,4.131033420562744
2003-03-04,4.1013407707214355
2003-03-05,4.046745300292969
2003-03-06,4.068848609924316
2003-03-07,4.067887783050537
2003-03-10,4.070771217346191
2003-03-11,4.062121391296387
2003-03-12,4.072692394256592
2003-03-13,4.086145877838135
