Date,RL
2000-01-03,13.033907890319824
2000-01-04,12.520021438598633
2000-01-05,12.753608703613281
2000-01-06,12.753608703613281
2000-01-07,13.0806303024292
2000-01-10,13.641227722167969
2000-01-11,13.174060821533203
2000-01-12,12.520021438598633
2000-01-13,12.286445617675781
2000-01-14,12.193015098571777
2000-01-18,11.959432601928711
2000-01-19,12.146295547485352
2000-01-20,11.772562980651855
2000-01-21,11.58569622039795
2000-01-24,11.258682250976562
2000-01-25,11.025096893310547
2000-01-26,11.305403709411621
2000-01-27,11.58569622039795
2000-01-28,11.492263793945312
2000-01-31,11.118534088134766
2000-02-01,10.931665420532227
2000-02-02,10.8849515914917
2000-02-03,10.744800567626953
2000-02-04,10.55793571472168
2000-02-07,12.146295547485352
2000-02-08,12.286445617675781
2000-02-09,11.959432601928711
2000-02-10,11.258682250976562
2000-02-11,11.305403709411621
2000-02-14,11.58569622039795
2000-02-15,11.632413864135742
2000-02-16,11.632413864135742
2000-02-17,11.3521146774292
2000-02-18,11.211966514587402
2000-02-22,11.165251731872559
2000-02-23,11.118534088134766
2000-02-24,10.97838306427002
2000-02-25,11.118534088134766
2000-02-28,11.725847244262695
2000-02-29,12.520021438598633
2000-03-01,12.706893920898438
2000-03-02,12.893758773803711
2000-03-03,12.286445617675781
2000-03-06,11.91271686553955
2000-03-07,11.865997314453125
2000-03-08,11.632413864135742
2000-03-09,11.819282531738281
2000-03-10,11.679133415222168
2000-03-13,11.632413864135742
2000-03-14,11.91271686553955
2000-03-15,12.426591873168945
2000-03-16,12.940481185913086
2000-03-17,13.5477933883667
2000-03-20,13.267486572265625
2000-03-21,13.314208984375
2000-03-22,13.267486572265625
2000-03-23,13.174060821533203
2000-03-24,13.174060821533203
2000-03-27,13.0806303024292
2000-03-28,13.781376838684082
2000-03-29,14.996005058288574
2000-03-30,15.136144638061523
2000-03-31,13.968242645263672
2000-04-03,15.182872772216797
2000-04-04,14.482121467590332
2000-04-05,13.407644271850586
2000-04-06,13.407644271850586
2000-04-07,12.706893920898438
2000-04-10,12.660175323486328
2000-04-11,12.6134614944458
2000-04-12,12.473313331604004
2000-04-13,12.660175323486328
2000-04-14,11.959432601928711
2000-04-17,11.725847244262695
2000-04-18,12.333159446716309
2000-04-19,11.865997314453125
2000-04-20,12.006148338317871
2000-04-24,12.146295547485352
2000-04-25,12.193015098571777
2000-04-26,11.91271686553955
2000-04-27,11.91271686553955
2000-04-28,12.146295547485352
2000-05-01,12.706893920898438
2000-05-02,12.566742897033691
2000-05-03,12.379877090454102
2000-05-04,12.333159446716309
2000-05-05,12.239727020263672
2000-05-08,11.959432601928711
2000-05-09,12.379877090454102
2000-05-10,12.146295547485352
2000-05-11,12.286445617675781
2000-05-12,12.193015098571777
2000-05-15,12.099579811096191
2000-05-16,12.566742897033691
2000-05-17,12.379877090454102
2000-05-18,12.099579811096191
2000-05-19,11.959432601928711
2000-05-22,11.91271686553955
2000-05-23,11.772562980651855
2000-05-24,10.8849515914917
2000-05-25,10.090773582458496
2000-05-26,9.997335433959961
2000-05-30,9.903902053833008
2000-05-31,10.464506149291992
2000-06-01,10.698083877563477
2000-06-02,10.791520118713379
2000-06-05,10.698083877563477
2000-06-06,10.511218070983887
2000-06-07,10.464506149291992
2000-06-08,10.230918884277344
2000-06-09,10.417787551879883
2000-06-12,10.55793571472168
2000-06-13,10.464506149291992
2000-06-14,10.55793571472168
2000-06-15,10.6513671875
2000-06-16,10.511218070983887
2000-06-19,10.464506149291992
2000-06-20,10.27763843536377
2000-06-21,10.417787551879883
2000-06-22,10.464506149291992
2000-06-23,10.791520118713379
2000-06-26,11.258682250976562
2000-06-27,11.445549011230469
2000-06-28,11.632413864135742
2000-06-29,11.959432601928711
2000-06-30,10.6513671875
2000-07-03,11.632413864135742
2000-07-05,11.725847244262695
2000-07-06,12.146295547485352
2000-07-07,12.286445617675781
2000-07-10,12.566742897033691
2000-07-11,12.520021438598633
2000-07-12,12.706893920898438
2000-07-13,12.800323486328125
2000-07-14,12.847040176391602
2000-07-17,12.753608703613281
2000-07-18,12.520021438598633
2000-07-19,12.893758773803711
2000-07-20,12.660175323486328
2000-07-21,12.379877090454102
2000-07-24,12.566742897033691
2000-07-25,12.987198829650879
2000-07-26,12.706893920898438
2000-07-27,12.847040176391602
2000-07-28,12.146295547485352
2000-07-31,12.099579811096191
2000-08-01,12.146295547485352
2000-08-02,12.520021438598633
2000-08-03,12.286445617675781
2000-08-04,12.800323486328125
2000-08-07,12.847040176391602
2000-08-08,14.061674118041992
2000-08-09,13.45435905456543
2000-08-10,14.482121467590332
2000-08-11,14.902578353881836
2000-08-14,14.855857849121094
2000-08-15,14.809137344360352
2000-08-16,14.295255661010742
2000-08-17,14.855857849121094
2000-08-18,14.248538970947266
2000-08-21,14.762420654296875
2000-08-22,14.388687133789062
2000-08-23,13.968242645263672
2000-08-24,14.482121467590332
2000-08-25,14.622267723083496
2000-08-28,14.295255661010742
2000-08-29,14.388687133789062
2000-08-30,14.622267723083496
2000-08-31,14.482121467590332
2000-09-01,14.482121467590332
2000-09-05,14.201825141906738
2000-09-06,14.061674118041992
2000-09-07,14.341974258422852
2000-09-08,14.341974258422852
2000-09-11,14.388687133789062
2000-09-12,14.201825141906738
2000-09-13,14.201825141906738
2000-09-14,14.482121467590332
2000-09-15,14.201825141906738
2000-09-18,13.5477933883667
2000-09-19,13.314208984375
