Date,WRB
2000-01-03,0.7769467830657959
2000-01-04,0.7530405521392822
2000-01-05,0.7410876750946045
2000-01-06,0.7841187715530396
2000-01-07,0.7721656560897827
2000-01-10,0.7649935483932495
2000-01-11,0.7530405521392822
2000-01-12,0.7506502270698547
2000-01-13,0.7458687424659729
2000-01-14,0.7315254807472229
2000-01-18,0.7434782385826111
2000-01-19,0.7506502270698547
2000-01-20,0.7100101113319397
2000-01-21,0.6932759881019592
2000-01-24,0.7076196670532227
2000-01-25,0.6502447724342346
2000-01-26,0.6861039400100708
2000-01-27,0.6980571746826172
2000-01-28,0.6717605590820312
2000-01-31,0.6645885109901428
2000-02-01,0.659807026386261
2000-02-02,0.659807026386261
2000-02-03,0.6574168801307678
2000-02-04,0.6502447724342346
2000-02-07,0.6406822800636292
2000-02-08,0.6335102319717407
2000-02-09,0.604823648929596
2000-02-10,0.5928705930709839
2000-02-11,0.585698664188385
2000-02-14,0.5833079814910889
2000-02-15,0.5737455487251282
2000-02-16,0.5737455487251282
2000-02-17,0.5833079814910889
2000-02-18,0.585698664188385
2000-02-22,0.6143863201141357
2000-02-23,0.6024328470230103
2000-02-24,0.6024328470230103
2000-02-25,0.6263387203216553
2000-02-28,0.6143863201141357
2000-02-29,0.6143863201141357
2000-03-01,0.5976518988609314
2000-03-02,0.5976518988609314
2000-03-03,0.5880891680717468
2000-03-06,0.5880891680717468
2000-03-07,0.5725501179695129
2000-03-08,0.5594016909599304
2000-03-09,0.5641831159591675
2000-03-10,0.5737455487251282
2000-03-13,0.5641831159591675
2000-03-14,0.5689642429351807
2000-03-15,0.5713552832603455
2000-03-16,0.6119953989982605
2000-03-17,0.6073678135871887
2000-03-20,0.6145985722541809
2000-03-21,0.6314694285392761
2000-03-22,0.6314694285392761
2000-03-23,0.6507508754730225
2000-03-24,0.6820837259292603
2000-03-27,0.6893146634101868
2000-03-28,0.6893146634101868
2000-03-29,0.7399286031723022
2000-03-30,0.858027994632721
2000-03-31,0.889360249042511
2000-04-03,0.8869497776031494
2000-04-04,0.8724891543388367
2000-04-05,0.8483870625495911
2000-04-06,0.8507974743843079
2000-04-07,0.8598355650901794
2000-04-10,0.8532072901725769
2000-04-11,0.8507974743843079
2000-04-12,0.8363361358642578
2000-04-13,0.833925724029541
2000-04-14,0.7929527759552002
2000-04-17,0.8122345805168152
2000-04-18,0.8098239898681641
2000-04-19,0.8001829981803894
2000-04-20,0.8025933504104614
2000-04-24,0.8050035238265991
2000-04-25,0.8291056156158447
2000-04-26,0.8170544505119324
2000-04-27,0.8098239898681641
2000-04-28,0.8146443367004395
2000-05-01,0.8483870625495911
2000-05-02,0.8556177020072937
2000-05-03,0.8507974743843079
2000-05-04,0.8435667753219604
2000-05-05,0.8532072901725769
2000-05-08,0.8315157890319824
2000-05-09,0.8315157890319824
2000-05-10,0.8098239898681641
2000-05-11,0.8266953229904175
2000-05-12,0.8483870625495911
2000-05-15,0.8724891543388367
2000-05-16,0.8604375720024109
2000-05-17,0.8315157890319824
2000-05-18,0.8266953229904175
2000-05-19,0.8194646239280701
2000-05-22,0.833925724029541
2000-05-23,0.833925724029541
2000-05-24,0.8315157890319824
2000-05-25,0.8242849707603455
2000-05-26,0.8387463092803955
2000-05-30,0.8435667753219604
2000-05-31,0.8507974743843079
2000-06-01,0.8507974743843079
2000-06-02,0.8507974743843079
2000-06-05,0.8483870625495911
2000-06-06,0.8315157890319824
2000-06-07,0.8291056156158447
2000-06-08,0.8242849707603455
2000-06-09,0.8170544505119324
2000-06-12,0.8170544505119324
2000-06-13,0.821875274181366
2000-06-14,0.8293441534042358
2000-06-15,0.8244938850402832
2000-06-16,0.8196441531181335
2000-06-19,0.8050941824913025
2000-06-20,0.7808446884155273
2000-06-21,0.7808446884155273
2000-06-22,0.7662943005561829
2000-06-23,0.7638689875602722
2000-06-26,0.7662943005561829
2000-06-27,0.7541695237159729
2000-06-28,0.7517443895339966
2000-06-29,0.7347704768180847
2000-06-30,0.7274950742721558
2000-07-03,0.7274950742721558
2000-07-05,0.7129448056221008
2000-07-06,0.7347704768180847
2000-07-07,0.7468950152397156
2000-07-10,0.759019136428833
