Date,URI
2000-01-03,16.09234046936035
2000-01-04,15.911528587341309
2000-01-05,15.851253509521484
2000-01-06,16.755319595336914
2000-01-07,17.297758102416992
2000-01-10,17.177217483520508
2000-01-11,17.177217483520508
2000-01-12,17.177217483520508
2000-01-13,17.900466918945312
2000-01-14,18.08127784729004
2000-01-18,18.32236671447754
2000-01-19,20.009950637817383
2000-01-20,19.407241821289062
2000-01-21,19.889406204223633
2000-01-24,20.431846618652344
2000-01-25,19.588054656982422
2000-01-26,20.49211883544922
2000-01-27,19.588054656982422
2000-01-28,18.503175735473633
2000-01-31,18.44290542602539
2000-02-01,19.045616149902344
2000-02-02,18.62371826171875
2000-02-03,18.563447952270508
2000-02-04,18.26209259033203
2000-02-07,17.840192794799805
2000-02-08,17.056673049926758
2000-02-09,16.453968048095703
2000-02-10,16.273151397705078
2000-02-11,15.730714797973633
2000-02-14,15.188276290893555
2000-02-15,16.634777069091797
2000-02-16,16.333425521850586
2000-02-17,16.212879180908203
2000-02-18,15.790987968444824
2000-02-22,15.489629745483398
2000-02-23,15.790987968444824
2000-02-24,15.971797943115234
2000-02-25,15.851253509521484
2000-02-28,15.308818817138672
2000-02-29,15.067732810974121
2000-03-01,14.947190284729004
2000-03-02,14.465024948120117
2000-03-03,14.404753684997559
2000-03-06,14.465024948120117
2000-03-07,13.982857704162598
2000-03-08,13.440418243408203
2000-03-09,13.982857704162598
2000-03-10,14.043128967285156
2000-03-13,13.982857704162598
2000-03-14,13.319876670837402
2000-03-15,13.259607315063477
2000-03-16,13.862316131591797
2000-03-17,13.259607315063477
2000-03-20,13.621232032775879
2000-03-21,14.344482421875
2000-03-22,14.284213066101074
2000-03-23,14.284213066101074
2000-03-24,14.585565567016602
2000-03-27,14.645837783813477
2000-03-28,14.404753684997559
2000-03-29,14.223941802978516
2000-03-30,15.188276290893555
2000-03-31,16.634777069091797
2000-04-03,15.790987968444824
2000-04-04,15.369087219238281
2000-04-05,15.128005981445312
2000-04-06,14.706108093261719
2000-04-07,14.465024948120117
2000-04-10,14.043128967285156
2000-04-11,13.982857704162598
2000-04-12,13.560959815979004
2000-04-13,14.344482421875
2000-04-14,13.862316131591797
2000-04-17,14.284213066101074
2000-04-18,14.223941802978516
2000-04-19,13.982857704162598
2000-04-20,14.103399276733398
2000-04-24,13.380147933959961
2000-04-25,13.621232032775879
2000-04-26,13.259607315063477
2000-04-27,13.319876670837402
2000-04-28,13.018522262573242
2000-05-01,13.500688552856445
2000-05-02,13.0787935256958
2000-05-03,12.777437210083008
2000-05-04,12.897977828979492
2000-05-05,12.958250045776367
2000-05-08,13.319876670837402
2000-05-09,13.500688552856445
2000-05-10,13.440418243408203
