Date,KO
2000-01-03,13.521980285644531
2000-01-04,13.536959648132324
2000-01-05,13.656901359558105
2000-01-06,13.67188549041748
2000-01-07,14.571353912353516
2000-01-10,14.106633186340332
2000-01-11,14.586346626281738
2000-01-12,14.75124740600586
2000-01-13,14.526379585266113
2000-01-14,14.646302223205566
2000-01-18,15.59074878692627
2000-01-19,15.650714874267578
2000-01-20,15.800617218017578
2000-01-21,16.040481567382812
2000-01-24,15.560769081115723
2000-01-25,15.800617218017578
2000-01-26,15.126028060913086
2000-01-27,14.271530151367188
2000-01-28,13.656901359558105
2000-01-31,13.776826858520508
2000-02-01,13.941726684570312
2000-02-02,13.521980285644531
2000-02-03,13.252134323120117
2000-02-04,13.491991996765137
2000-02-07,13.641898155212402
2000-02-08,13.716858863830566
2000-02-09,13.67188549041748
2000-02-10,13.596925735473633
2000-02-11,13.327093124389648
2000-02-14,12.982293128967285
2000-02-15,13.35706901550293
2000-02-16,12.847373962402344
2000-02-17,12.54755687713623
2000-02-18,12.322685241699219
2000-02-22,12.412633895874023
2000-02-23,12.292702674865723
2000-02-24,11.947905540466309
2000-02-25,11.678071022033691
2000-02-28,11.827978134155273
2000-02-29,11.663077354431152
2000-03-01,12.232736587524414
2000-03-02,11.902935028076172
2000-03-03,12.022860527038574
2000-03-06,11.753026008605957
2000-03-07,11.303290367126465
2000-03-08,11.393240928649902
2000-03-09,11.21334171295166
2000-03-10,10.913521766662598
2000-03-13,10.533129692077637
2000-03-14,10.427794456481934
2000-03-15,11.451006889343262
2000-03-16,11.977669715881348
2000-03-17,11.827197074890137
2000-03-20,11.6917724609375
2000-03-21,11.902429580688477
2000-03-22,11.33063793182373
2000-03-23,11.315587043762207
2000-03-24,11.315587043762207
2000-03-27,10.89426326751709
2000-03-28,10.803977966308594
2000-03-29,11.285490989685059
2000-03-30,11.6917724609375
2000-03-31,11.300536155700684
2000-04-03,11.872336387634277
2000-04-04,12.60965633392334
2000-04-05,11.466059684753418
2000-04-06,11.014640808105469
2000-04-07,11.119974136352539
2000-04-10,10.834074020385742
2000-04-11,11.360729217529297
2000-04-12,11.676728248596191
2000-04-13,11.375783920288086
2000-04-14,11.315587043762207
2000-04-17,11.676728248596191
2000-04-18,11.706820487976074
2000-04-19,11.842238426208496
2000-04-20,11.902429580688477
2000-04-24,11.94757080078125
2000-04-25,12.158241271972656
2000-04-26,11.902429580688477
2000-04-27,11.616536140441895
2000-04-28,11.375783920288086
2000-05-01,11.135021209716797
2000-05-02,11.135021209716797
2000-05-03,11.676728248596191
2000-05-04,11.676728248596191
