Date,COST
2000-01-03,29.64593505859375
2000-01-04,28.022050857543945
2000-01-05,28.500896453857422
2000-01-06,29.073413848876953
2000-01-07,30.999128341674805
2000-01-10,31.644533157348633
2000-01-11,30.520309448242188
2000-01-12,30.478668212890625
2000-01-13,31.62371063232422
2000-01-14,32.685455322265625
2000-01-18,34.142765045166016
2000-01-19,34.55916213989258
2000-01-20,33.310028076171875
2000-01-21,32.31073760986328
2000-01-24,31.311420440673828
2000-01-25,33.10182571411133
2000-01-26,33.60149002075195
2000-01-27,32.6021842956543
2000-01-28,30.645227432250977
2000-01-31,32.6021842956543
2000-02-01,34.55916213989258
2000-02-02,35.933197021484375
2000-02-03,36.0997428894043
2000-02-04,35.308624267578125
2000-02-07,34.142765045166016
2000-02-08,35.35027313232422
2000-02-09,35.225341796875
2000-02-10,34.72569274902344
2000-02-11,34.43425369262695
2000-02-14,33.80967712402344
2000-02-15,32.89365005493164
2000-02-16,31.811077117919922
2000-02-17,29.31281852722168
2000-02-18,29.937379837036133
2000-02-22,29.31281852722168
2000-02-23,29.687557220458984
2000-02-24,29.562637329101562
2000-02-25,31.686141967773438
2000-02-28,32.6021842956543
2000-02-29,33.060203552246094
2000-03-01,30.978313446044922
2000-03-02,33.060203552246094
2000-03-03,33.26837158203125
2000-03-06,33.393310546875
2000-03-07,30.22884750366211
2000-03-08,30.39541244506836
2000-03-09,29.687557220458984
2000-03-10,29.396100997924805
2000-03-13,28.646621704101562
2000-03-14,28.85480308532715
2000-03-15,33.18509292602539
2000-03-16,37.27600860595703
2000-03-17,35.933197021484375
2000-03-20,34.85060501098633
2000-03-21,34.7673454284668
2000-03-22,35.225341796875
2000-03-23,35.724998474121094
2000-03-24,35.89154815673828
2000-03-27,35.60009002685547
2000-03-28,34.05949401855469
2000-03-29,33.643131256103516
2000-03-30,33.47655487060547
2000-03-31,35.01716995239258
2000-04-03,34.975521087646484
2000-04-04,36.0164794921875
2000-04-05,35.641727447509766
2000-04-06,34.55916213989258
2000-04-07,35.183712005615234
2000-04-10,36.14137649536133
2000-04-11,38.26488494873047
2000-04-12,36.68265914916992
2000-04-13,36.39121627807617
2000-04-14,33.8929557800293
2000-04-17,32.72710418701172
2000-04-18,33.93459701538086
2000-04-19,34.80896759033203
2000-04-20,36.51613235473633
2000-04-24,37.307228088378906
2000-04-25,37.97342300415039
2000-04-26,36.599369049072266
2000-04-27,37.348854064941406
2000-04-28,36.0164794921875
2000-05-01,38.93109130859375
2000-05-02,36.4744758605957
2000-05-03,34.7673454284668
2000-05-04,32.6021842956543
2000-05-05,32.518924713134766
2000-05-08,31.602888107299805
2000-05-09,32.76874542236328
2000-05-10,32.6021842956543
2000-05-11,33.18509292602539
2000-05-12,31.852706909179688
2000-05-15,32.6021842956543
2000-05-16,34.18442153930664
2000-05-17,31.800678253173828
2000-05-18,31.144861221313477
2000-05-19,29.979026794433594
2000-05-22,28.729896545410156
2000-05-23,27.064407348632812
2000-05-24,21.235137939453125
2000-05-25,19.986021041870117
2000-05-26,20.568937301635742
2000-05-30,21.651525497436523
2000-05-31,21.276771545410156
2000-06-01,21.56824493408203
2000-06-02,22.817358016967773
2000-06-05,22.151166915893555
2000-06-06,21.151859283447266
2000-06-07,21.818058013916016
2000-06-08,21.360055923461914
2000-06-09,21.5266056060791
2000-06-12,20.943679809570312
2000-06-13,21.40168571472168
2000-06-14,21.693157196044922
2000-06-15,22.109525680541992
2000-06-16,21.651525497436523
2000-06-19,21.31841278076172
2000-06-20,21.06859016418457
2000-06-21,21.56824493408203
2000-06-22,21.31841278076172
2000-06-23,21.31841278076172
2000-06-26,21.235137939453125
2000-06-27,21.9846134185791
2000-06-28,21.5266056060791
2000-06-29,21.360055923461914
2000-06-30,21.9846134185791
2000-07-03,22.775733947753906
2000-07-05,22.151166915893555
2000-07-06,21.901336669921875
2000-07-07,23.025558471679688
2000-07-10,24.691064834594727
2000-07-11,23.691749572753906
2000-07-12,24.35795021057129
2000-07-13,24.316316604614258
2000-07-14,23.983224868774414
2000-07-17,23.650129318237305
2000-07-18,22.567543029785156
2000-07-19,21.942977905273438
