Date,SJM
2000-01-03,8.745888710021973
2000-01-04,8.631561279296875
2000-01-05,8.574400901794434
2000-01-06,8.745888710021973
2000-01-07,8.803048133850098
2000-01-10,8.688729286193848
2000-01-11,8.688729286193848
2000-01-12,8.745888710021973
2000-01-13,8.745888710021973
2000-01-14,8.803048133850098
2000-01-18,8.803048133850098
2000-01-19,8.917372703552246
2000-01-20,8.803048133850098
2000-01-21,8.745888710021973
2000-01-24,8.517240524291992
2000-01-25,8.402914047241211
2000-01-26,8.517240524291992
2000-01-27,8.402914047241211
2000-01-28,8.28858757019043
2000-01-31,8.002779006958008
2000-02-01,8.002779006958008
2000-02-02,8.002779006958008
2000-02-03,8.002779006958008
2000-02-04,8.117100715637207
2000-02-07,8.28858757019043
2000-02-08,8.28858757019043
2000-02-09,8.402914047241211
2000-02-10,8.17426586151123
2000-02-11,7.945612907409668
2000-02-14,7.888449192047119
2000-02-15,8.17426586151123
2000-02-16,8.23142147064209
2000-02-17,8.345752716064453
2000-02-18,7.888449192047119
2000-02-22,7.716960906982422
2000-02-23,7.8312883377075195
2000-02-24,7.8312883377075195
2000-02-25,7.7741217613220215
2000-02-28,7.8312883377075195
2000-02-29,7.8312883377075195
2000-03-01,7.7741217613220215
2000-03-02,7.7741217613220215
2000-03-03,7.7741217613220215
2000-03-06,7.602635860443115
2000-03-07,7.488310813903809
2000-03-08,7.602635860443115
2000-03-09,7.659794330596924
2000-03-10,7.602635860443115
2000-03-13,7.602635860443115
2000-03-14,7.602635860443115
2000-03-15,7.602635860443115
2000-03-16,7.716960906982422
2000-03-17,7.488310813903809
2000-03-20,7.545469284057617
2000-03-21,7.545469284057617
2000-03-22,7.316822528839111
2000-03-23,7.145334243774414
2000-03-24,6.916684627532959
2000-03-27,6.973845481872559
2000-03-28,6.859519958496094
2000-03-29,7.031010150909424
2000-03-30,7.7741217613220215
2000-03-31,8.23142147064209
2000-04-03,8.17426586151123
2000-04-04,8.117100715637207
2000-04-05,7.8312883377075195
2000-04-06,7.7741217613220215
2000-04-07,7.7741217613220215
2000-04-10,7.545469284057617
2000-04-11,7.545469284057617
2000-04-12,7.545469284057617
2000-04-13,7.488310813903809
2000-04-14,7.316822528839111
2000-04-17,7.37398624420166
2000-04-18,7.088171482086182
2000-04-19,7.316822528839111
2000-04-20,7.316822528839111
2000-04-24,7.316822528839111
2000-04-25,7.716960906982422
2000-04-26,7.431147575378418
2000-04-27,7.259660243988037
2000-04-28,7.316822528839111
2000-05-01,7.316822528839111
