Date,NTRS
2000-01-03,28.53423309326172
2000-01-04,26.679061889648438
2000-01-05,27.27977752685547
2000-01-06,27.845165252685547
2000-01-07,28.198522567749023
2000-01-10,27.491788864135742
2000-01-11,26.99709129333496
2000-01-12,28.233869552612305
2000-01-13,30.9901180267334
2000-01-14,31.025463104248047
2000-01-18,31.414148330688477
2000-01-19,32.33289337158203
2000-01-20,30.49540138244629
2000-01-21,31.131467819213867
2000-01-24,30.212709426879883
2000-01-25,30.954782485961914
2000-01-26,32.22687911987305
2000-01-27,31.449499130249023
2000-01-28,30.53074836730957
2000-01-31,34.13507843017578
2000-02-01,34.276432037353516
2000-02-02,33.304649353027344
2000-02-03,32.26222229003906
2000-02-04,32.898311614990234
2000-02-07,33.499019622802734
2000-02-08,33.58734130859375
2000-02-09,32.368247985839844
2000-02-10,32.40358352661133
2000-02-11,31.573171615600586
2000-02-14,31.16680335998535
2000-02-15,33.1456413269043
2000-02-16,32.509578704833984
2000-02-17,33.286983489990234
2000-02-18,33.110313415527344
2000-02-22,32.156211853027344
2000-02-23,32.5449333190918
2000-02-24,31.90887451171875
2000-02-25,31.48482894897461
2000-02-28,32.65094757080078
2000-02-29,31.944211959838867
2000-03-01,31.873523712158203
2000-03-02,31.90887451171875
2000-03-03,32.22687911987305
2000-03-06,31.944211959838867
2000-03-07,31.76753044128418
2000-03-08,30.5334529876709
2000-03-09,30.00211524963379
2000-03-10,29.64788055419922
2000-03-13,30.923059463500977
2000-03-14,30.710556030273438
2000-03-15,32.127410888671875
2000-03-16,37.75943374633789
2000-03-17,35.88209915161133
2000-03-20,34.0401725769043
2000-03-21,38.16679763793945
2000-03-22,41.549560546875
2000-03-23,40.84112548828125
2000-03-24,38.04280471801758
2000-03-27,35.52788162231445
2000-03-28,37.334388732910156
2000-03-29,37.01560592651367
2000-03-30,36.555118560791016
2000-03-31,38.29075241088867
2000-04-03,39.88472366333008
2000-04-04,38.59185028076172
2000-04-05,37.65316390991211
2000-04-06,39.03461837768555
2000-04-07,37.936553955078125
2000-04-10,38.007389068603516
2000-04-11,38.87523651123047
2000-04-12,37.86570358276367
2000-04-13,35.88209915161133
2000-04-14,32.76498031616211
2000-04-17,33.33173370361328
2000-04-18,39.672218322753906
2000-04-19,36.873905181884766
2000-04-20,37.1218376159668
2000-04-24,36.66135025024414
2000-04-25,37.2281379699707
2000-04-26,37.546905517578125
2000-04-27,36.625953674316406
2000-04-28,36.34258270263672
2000-05-01,37.08642578125
2000-05-02,36.696800231933594
2000-05-03,36.59052276611328
2000-05-04,36.0592041015625
2000-05-05,35.811241149902344
2000-05-08,37.4760627746582
2000-05-09,37.7240104675293
2000-05-10,37.2281379699707
2000-05-11,38.04280471801758
2000-05-12,39.28257369995117
2000-05-15,40.73485565185547
2000-05-16,39.60135269165039
2000-05-17,39.424278259277344
2000-05-18,39.21171951293945
