Date,CMS
2000-01-03,13.037795066833496
2000-01-04,13.20352554321289
2000-01-05,13.562620162963867
2000-01-06,13.452125549316406
2000-01-07,13.755976676940918
2000-01-10,13.562620162963867
2000-01-11,13.921714782714844
2000-01-12,13.838835716247559
2000-01-13,13.976949691772461
2000-01-14,13.783596992492676
2000-01-18,13.507369995117188
2000-01-19,13.645484924316406
2000-01-20,13.67310905456543
2000-01-21,13.866458892822266
2000-01-24,13.81121826171875
2000-01-25,13.562620162963867
2000-01-26,13.452125549316406
2000-01-27,13.258774757385254
2000-01-28,13.037795066833496
2000-01-31,13.258774757385254
2000-02-01,10.38603687286377
2000-02-02,9.446873664855957
2000-02-03,9.695474624633789
2000-02-04,9.15727710723877
2000-02-07,9.129188537597656
2000-02-08,9.129188537597656
2000-02-09,8.960651397705078
2000-02-10,8.426939964294434
2000-02-11,8.370760917663574
2000-02-14,8.623565673828125
2000-02-15,8.707837104797363
2000-02-16,8.398852348327637
2000-02-17,8.258399963378906
2000-02-18,8.230310440063477
2000-02-22,8.202220916748047
2000-02-23,7.893234729766846
2000-02-24,7.640426158905029
2000-02-25,7.387617588043213
2000-02-28,7.415708541870117
2000-02-29,7.528067111968994
2000-03-01,7.612334728240967
2000-03-02,7.584245204925537
2000-03-03,7.668516635894775
2000-03-06,7.780872344970703
2000-03-07,7.752787113189697
2000-03-08,7.72469425201416
2000-03-09,7.696605682373047
2000-03-10,7.72469425201416
2000-03-13,7.72469425201416
2000-03-14,7.86514139175415
2000-03-15,8.033681869506836
2000-03-16,8.735928535461426
2000-03-17,8.567389488220215
2000-03-20,8.735928535461426
2000-03-21,8.707837104797363
2000-03-22,8.483116149902344
2000-03-23,8.539301872253418
2000-03-24,8.567389488220215
2000-03-27,8.539301872253418
2000-03-28,8.511210441589355
2000-03-29,8.483116149902344
2000-03-30,8.426939964294434
2000-03-31,8.146040916442871
2000-04-03,8.089861869812012
2000-04-04,8.174129486083984
2000-04-05,8.286493301391602
2000-04-06,8.202220916748047
2000-04-07,8.202220916748047
2000-04-10,8.286493301391602
2000-04-11,8.342669486999512
2000-04-12,8.426939964294434
2000-04-13,8.764015197753906
2000-04-14,8.707837104797363
2000-04-17,8.707837104797363
2000-04-18,8.735928535461426
2000-04-19,8.623565673828125
2000-04-20,8.483116149902344
2000-04-24,8.764015197753906
2000-04-25,8.904467582702637
2000-04-26,8.764015197753906
2000-04-27,8.398852348327637
