Date,CVS
2000-01-03,11.850996971130371
2000-01-04,11.753058433532715
2000-01-05,12.399470329284668
2000-01-06,11.51799488067627
2000-01-07,11.792234420776367
2000-01-10,11.772640228271484
2000-01-11,11.811817169189453
2000-01-12,11.792234420776367
2000-01-13,11.557171821594238
2000-01-14,11.243748664855957
2000-01-18,11.282934188842773
2000-01-19,11.224169731140137
2000-01-20,10.585097312927246
2000-01-21,10.830347061157227
2000-01-24,10.810731887817383
2000-01-25,10.67338752746582
2000-01-26,10.693014144897461
2000-01-27,10.496809959411621
2000-01-28,10.928446769714355
2000-01-31,10.967694282531738
2000-02-01,11.006933212280273
2000-02-02,11.536677360534668
2000-02-03,11.85059642791748
2000-02-04,11.4581937789917
2000-02-07,11.438576698303223
2000-02-08,12.556933403015137
2000-02-09,12.24300479888916
2000-02-10,12.753130912780762
2000-02-11,12.439204216003418
2000-02-14,12.517687797546387
2000-02-15,12.360727310180664
2000-02-16,12.184144020080566
2000-02-17,12.007560729980469
2000-02-18,11.654404640197754
2000-02-22,11.987940788269043
2000-02-23,12.203765869140625
2000-02-24,11.615161895751953
2000-02-25,11.536677360534668
2000-02-28,11.261987686157227
2000-02-29,10.98731517791748
2000-03-01,10.496809959411621
2000-03-02,9.613897323608398
2000-03-03,9.555033683776855
2000-03-06,9.70709228515625
2000-03-07,8.789843559265137
2000-03-08,9.770855903625488
2000-03-09,10.02591609954834
2000-03-10,9.57465934753418
2000-03-13,9.692376136779785
2000-03-14,9.653139114379883
2000-03-15,10.241747856140137
2000-03-16,11.399335861206055
2000-03-17,11.301237106323242
2000-03-20,10.98731517791748
2000-03-21,11.674016952514648
2000-03-22,11.654404640197754
2000-03-23,11.438576698303223
2000-03-24,11.281612396240234
2000-03-27,10.712629318237305
2000-03-28,10.732251167297363
2000-03-29,11.438576698303223
2000-03-30,11.654404640197754
2000-03-31,11.791739463806152
2000-04-03,12.144898414611816
2000-04-04,12.870850563049316
2000-04-05,12.753130912780762
2000-04-06,12.184144020080566
2000-04-07,12.184144020080566
2000-04-10,12.144898414611816
2000-04-11,13.008198738098145
2000-04-12,13.773383140563965
2000-04-13,13.930342674255371
2000-04-14,13.184781074523926
2000-04-17,13.16515064239502
2000-04-18,13.557563781738281
2000-04-19,13.655659675598145
2000-04-20,13.772125244140625
2000-04-24,13.831063270568848
2000-04-25,14.695499420166016
2000-04-26,14.106109619140625
2000-04-27,13.909646987915039
2000-04-28,13.6738920211792
2000-05-01,13.732829093933105
2000-05-02,14.106109619140625
2000-05-03,13.064849853515625
2000-05-04,13.064849853515625
2000-05-05,13.35954761505127
2000-05-08,14.066822052001953
2000-05-09,13.870359420776367
2000-05-10,13.6738920211792
2000-05-11,13.595308303833008
2000-05-12,13.163080215454102
2000-05-15,13.497077941894531
2000-05-16,13.457789421081543
2000-05-17,13.14344310760498
2000-05-18,13.045209884643555
2000-05-19,12.809454917907715
2000-05-22,12.730862617492676
2000-05-23,13.005919456481934
2000-05-24,12.593340873718262
2000-05-25,12.986268997192383
2000-05-26,12.652277946472168
2000-05-30,13.104145050048828
2000-05-31,13.6738920211792
2000-06-01,14.204343795776367
2000-06-02,13.595308303833008
2000-06-05,13.084502220153809
2000-06-06,12.22005558013916
2000-06-07,11.728899955749512
2000-06-08,12.141470909118652
2000-06-09,12.082531929016113
2000-06-12,11.895901679992676
2000-06-13,11.669962882995605
2000-06-14,12.22005558013916
2000-06-15,12.003949165344238
2000-06-16,12.062889099121094
2000-06-19,12.22005558013916
2000-06-20,11.984298706054688
2000-06-21,11.74854564666748
2000-06-22,11.552077293395996
2000-06-23,11.35561466217041
2000-06-26,11.277027130126953
2000-06-27,11.94500732421875
2000-06-28,11.994124412536621
2000-06-29,11.925360679626465
2000-06-30,12.573697090148926
