Date,SCHW
2000-01-03,17.7537899017334
2000-01-04,17.513870239257812
2000-01-05,17.63383674621582
2000-01-06,17.63383674621582
2000-01-07,18.653470993041992
2000-01-10,18.71346092224121
2000-01-11,18.773427963256836
2000-01-12,18.05367660522461
2000-01-13,19.433212280273438
2000-01-14,19.673112869262695
2000-01-18,18.71346092224121
2000-01-19,19.193283081054688
2000-01-20,18.833412170410156
2000-01-21,18.473529815673828
2000-01-24,18.233619689941406
2000-01-25,17.663822174072266
2000-01-26,18.29360580444336
2000-01-27,17.903724670410156
2000-01-28,16.884090423583984
2000-01-31,16.884090423583984
2000-02-01,17.094017028808594
2000-02-02,17.154001235961914
2000-02-03,17.094017028808594
2000-02-04,18.203632354736328
2000-02-07,19.433212280273438
2000-02-08,18.95992660522461
2000-02-09,18.119930267333984
2000-02-10,18.479915618896484
2000-02-11,18.719928741455078
2000-02-14,18.32992172241211
2000-02-15,18.449922561645508
2000-02-16,18.239919662475586
2000-02-17,18.929922103881836
2000-02-18,18.359926223754883
2000-02-22,17.999935150146484
2000-02-23,18.989912033081055
2000-02-24,18.209928512573242
2000-02-25,18.179922103881836
2000-02-28,17.909923553466797
2000-02-29,20.15991973876953
2000-03-01,22.319910049438477
2000-03-02,21.659915924072266
2000-03-03,23.039901733398438
2000-03-06,22.88990020751953
2000-03-07,22.22991180419922
2000-03-08,21.599910736083984
2000-03-09,21.83990478515625
2000-03-10,25.43988609313965
2000-03-13,24.419910430908203
2000-03-14,23.33991050720215
2000-03-15,23.279909133911133
2000-03-16,23.999902725219727
2000-03-17,26.519887924194336
2000-03-20,25.919885635375977
2000-03-21,26.12989044189453
2000-03-22,27.629892349243164
2000-03-23,29.399887084960938
2000-03-24,31.199871063232422
2000-03-27,28.799884796142578
2000-03-28,28.859878540039062
2000-03-29,28.52988624572754
2000-03-30,28.319887161254883
2000-03-31,27.35990333557129
2000-04-03,27.329891204833984
2000-04-04,23.999902725219727
2000-04-05,25.559892654418945
2000-04-06,27.899885177612305
2000-04-07,26.459890365600586
2000-04-10,26.789884567260742
2000-04-11,25.979896545410156
2000-04-12,24.47990608215332
2000-04-13,23.519906997680664
2000-04-14,19.439931869506836
2000-04-17,20.15991973876953
2000-04-18,21.539915084838867
2000-04-19,21.209915161132812
2000-04-20,21.11991310119629
2000-04-24,21.179912567138672
2000-04-25,22.079898834228516
2000-04-26,21.599910736083984
2000-04-27,21.83990478515625
2000-04-28,21.359914779663086
2000-05-01,21.899917602539062
2000-05-02,21.47991371154785
2000-05-03,21.71990966796875
2000-05-04,21.359914779663086
2000-05-05,20.99990463256836
2000-05-08,20.676528930664062
2000-05-09,20.43644905090332
2000-05-10,19.356111526489258
2000-05-11,19.14604949951172
2000-05-12,20.136367797851562
2000-05-15,20.826576232910156
2000-05-16,21.936925888061523
2000-05-17,21.006629943847656
2000-05-18,21.12667465209961
2000-05-19,20.106355667114258
2000-05-22,20.136367797851562
2000-05-23,19.68621253967285
2000-05-24,18.485836029052734
2000-05-25,17.765615463256836
2000-05-26,17.765615463256836
2000-05-30,18.995994567871094
2000-05-31,20.34642791748047
2000-06-01,20.526491165161133
2000-06-02,24.127620697021484
2000-06-05,23.22734260559082
2000-06-06,23.09229278564453
2000-06-07,23.27235221862793
2000-06-08,21.96693992614746
2000-06-09,21.336753845214844
2000-06-12,20.79656219482422
2000-06-13,21.83190155029297
2000-06-14,23.407390594482422
2000-06-15,23.72249412536621
2000-06-16,24.21764373779297
2000-06-19,24.84784507751465
2000-06-20,25.11792755126953
2000-06-21,24.622783660888672
2000-06-22,24.037588119506836
2000-06-23,23.587451934814453
2000-06-26,24.037588119506836
2000-06-27,23.767501831054688
2000-06-28,23.407390594482422
2000-06-29,24.127620697021484
2000-06-30,24.21764373779297
2000-07-03,23.362377166748047
2000-07-05,23.54244041442871
2000-07-06,23.632471084594727
2000-07-07,23.72249412536621
2000-07-10,23.67747688293457
2000-07-11,25.027908325195312
2000-07-12,26.108253479003906
2000-07-13,26.33331298828125
2000-07-14,28.223920822143555
2000-07-17,26.828466415405273
2000-07-18,27.5487060546875
2000-07-19,26.198280334472656
2000-07-20,27.18858528137207
2000-07-21,26.738433837890625
2000-07-24,26.153270721435547
2000-07-25,26.87348747253418
2000-07-26,26.2432918548584
2000-07-27,26.288314819335938
2000-07-28,24.48773956298828
2000-07-31,26.01822280883789
2000-08-01,27.323650360107422
2000-08-02,26.828466415405273
2000-08-03,26.153270721435547
2000-08-04,27.728761672973633
2000-08-07,27.63873863220215
2000-08-08,27.601638793945312
2000-08-09,27.736711502075195
2000-08-10,26.701086044311523
2000-08-11,28.096920013427734
2000-08-14,28.817363739013672
2000-08-15,27.196382522583008
2000-08-16,27.01628875732422
2000-08-17,28.27703094482422
2000-08-18,26.88119125366211
2000-08-21,27.421512603759766
