Date,CCL
2000-01-03,28.46790313720703
2000-01-04,28.126293182373047
2000-01-05,29.075223922729492
2000-01-06,29.49275016784668
2000-01-07,29.151140213012695
2000-01-10,30.44167709350586
2000-01-11,30.669418334960938
2000-01-12,29.265005111694336
2000-01-13,30.365764617919922
2000-01-14,30.707365036010742
2000-01-18,30.365764617919922
2000-01-19,30.51760482788086
2000-01-20,29.872316360473633
2000-01-21,28.316064834594727
2000-01-24,26.190475463867188
2000-01-25,25.6590576171875
2000-01-26,26.68391227722168
2000-01-27,25.96271514892578
2000-01-28,27.025522232055664
2000-01-31,27.367141723632812
2000-02-01,27.367141723632812
2000-02-02,27.32918930053711
2000-02-03,28.695632934570312
2000-02-04,28.316064834594727
2000-02-07,26.152511596679688
2000-02-08,25.96271514892578
2000-02-09,26.07659912109375
2000-02-10,25.545202255249023
2000-02-11,24.52035140991211
2000-02-14,21.55968475341797
2000-02-15,20.648719787597656
2000-02-16,19.358171463012695
2000-02-17,18.94064712524414
2000-02-18,18.864721298217773
2000-02-22,18.485158920288086
2000-02-23,17.991710662841797
2000-02-24,17.065303802490234
2000-02-25,16.83675193786621
2000-02-28,18.284255981445312
2000-02-29,17.560508728027344
2000-03-01,16.37965202331543
2000-03-02,15.77017593383789
2000-03-03,15.922547340393066
2000-03-06,14.779778480529785
2000-03-07,14.932151794433594
2000-03-08,14.589320182800293
2000-03-09,14.13221549987793
2000-03-10,14.056028366088867
2000-03-13,13.941751480102539
2000-03-14,13.522740364074707
2000-03-15,13.86556339263916
2000-03-16,16.15110206604004
2000-03-17,13.33227252960205
2000-03-20,14.47503662109375
2000-03-21,14.627411842346191
2000-03-22,15.122605323791504
2000-03-23,14.589320182800293
2000-03-24,15.008338928222656
2000-03-27,15.084524154663086
2000-03-28,14.81787109375
2000-03-29,14.81787109375
2000-03-30,14.665507316589355
2000-03-31,15.122605323791504
2000-04-03,14.589320182800293
2000-04-04,14.779778480529785
2000-04-05,14.665507316589355
2000-04-06,14.703598022460938
2000-04-07,14.932151794433594
2000-04-10,15.160701751708984
2000-04-11,15.122605323791504
2000-04-12,14.589320182800293
2000-04-13,14.589320182800293
2000-04-14,13.408458709716797
2000-04-17,13.560829162597656
2000-04-18,14.513131141662598
2000-04-19,14.47503662109375
2000-04-20,14.589320182800293
2000-04-24,14.436949729919434
2000-04-25,14.703598022460938
2000-04-26,15.008338928222656
2000-04-27,14.932151794433594
2000-04-28,15.160701751708984
2000-05-01,14.779778480529785
2000-05-02,15.389253616333008
2000-05-03,15.160701751708984
2000-05-04,14.894055366516113
2000-05-05,15.313075065612793
2000-05-08,15.732089042663574
2000-05-09,15.465438842773438
2000-05-10,15.998729705810547
2000-05-11,16.15110206604004
2000-05-12,15.88444995880127
2000-05-15,16.113004684448242
2000-05-16,16.684389114379883
2000-05-17,16.455835342407227
2000-05-18,17.560508728027344
2000-05-19,16.646297454833984
2000-05-22,15.960637092590332
2000-05-23,15.732089042663574
2000-05-24,16.41773796081543
2000-05-25,15.655898094177246
2000-05-26,15.261176109313965
2000-05-30,16.638124465942383
2000-05-31,16.599870681762695
2000-06-01,16.255634307861328
2000-06-02,16.71462059020996
2000-06-05,16.332138061523438
2000-06-06,16.02614402770996
2000-06-07,15.414172172546387
