Date,RTX
2000-01-03,11.282984733581543
2000-01-04,10.820382118225098
2000-01-05,10.60600757598877
2000-01-06,11.113740921020508
2000-01-07,11.5537748336792
2000-01-10,11.666609764099121
2000-01-11,11.395818710327148
2000-01-12,11.655320167541504
2000-01-13,11.779437065124512
2000-01-14,11.519930839538574
2000-01-18,11.328118324279785
2000-01-19,10.955777168273926
2000-01-20,10.707550048828125
2000-01-21,10.944498062133789
2000-01-24,10.831668853759766
2000-01-25,10.267518043518066
2000-01-26,10.290087699890137
2000-01-27,9.962878227233887
2000-01-28,9.432576179504395
2000-01-31,9.556690216064453
2000-02-01,9.692084312438965
2000-02-02,9.703371047973633
2000-02-03,9.556690216064453
2000-02-04,9.274617195129395
2000-02-07,9.240764617919922
2000-02-08,9.206912994384766
2000-02-09,9.139219284057617
2000-02-10,9.048954963684082
2000-02-11,8.73302936553955
2000-02-14,9.082804679870605
2000-02-15,9.466423034667969
2000-02-16,9.446035385131836
2000-02-17,9.808475494384766
2000-02-18,9.491344451904297
2000-02-22,9.695215225219727
2000-02-23,9.559303283691406
2000-02-24,9.219515800476074
2000-02-25,9.072275161743164
2000-02-28,9.253493309020996
2000-02-29,9.230843544006348
2000-03-01,9.208186149597168
2000-03-02,9.208186149597168
2000-03-03,9.389410972595215
2000-03-06,9.060949325561523
2000-03-07,9.151556968688965
2000-03-08,8.925034523010254
2000-03-09,8.709834098815918
2000-03-10,8.857078552246094
2000-03-13,8.879729270935059
2000-03-14,9.0496187210083
2000-03-15,9.763174057006836
2000-03-16,10.329483985900879
2000-03-17,9.899085998535156
2000-03-20,10.170913696289062
2000-03-21,10.284178733825684
2000-03-22,10.11428165435791
2000-03-23,10.578657150268555
2000-03-24,10.340811729431152
2000-03-27,10.408769607543945
2000-03-28,10.476726531982422
2000-03-29,10.442744255065918
2000-03-30,11.122315406799316
2000-03-31,11.450776100158691
2000-04-03,11.212923049926758
2000-04-04,11.450776100158691
2000-04-05,11.054356575012207
2000-04-06,11.144970893859863
