Date,INTC
2000-01-03,24.710657119750977
2000-01-04,23.556781768798828
2000-01-05,23.75205421447754
2000-01-06,22.367403030395508
2000-01-07,23.29050636291504
2000-01-10,24.355613708496094
2000-01-11,25.47398567199707
2000-01-12,25.91778564453125
2000-01-13,25.86452293395996
2000-01-14,29.272891998291016
2000-01-18,29.006620407104492
2000-01-19,28.420806884765625
2000-01-20,27.160419464111328
2000-01-21,27.817232131958008
2000-01-24,28.065765380859375
2000-01-25,28.84685707092285
2000-01-26,27.408950805664062
2000-01-27,27.87050437927246
2000-01-28,26.698867797851562
2000-01-31,28.101266860961914
2000-02-01,28.811342239379883
2000-02-02,28.420806884765625
2000-02-03,29.601289749145508
2000-02-04,29.761131286621094
2000-02-07,30.666744232177734
2000-02-08,30.91533088684082
2000-02-09,29.725595474243164
2000-02-10,30.577960968017578
2000-02-11,30.080751419067383
2000-02-14,31.217226028442383
2000-02-15,31.820964813232422
2000-02-16,30.453655242919922
2000-02-17,31.25273323059082
2000-02-18,29.938695907592773
2000-02-22,30.329349517822266
2000-02-23,30.98636245727539
2000-02-24,32.460205078125
2000-02-25,32.17610168457031
2000-02-28,31.9274959564209
2000-02-29,32.10508728027344
2000-03-01,32.92192077636719
2000-03-02,32.88639450073242
2000-03-03,33.88079071044922
2000-03-06,33.34807586669922
2000-03-07,32.88639450073242
2000-03-08,32.655548095703125
2000-03-09,33.632171630859375
2000-03-10,34.147159576416016
2000-03-13,34.6976432800293
2000-03-14,33.490135192871094
2000-03-15,34.147159576416016
2000-03-16,35.53221130371094
2000-03-17,36.8995246887207
2000-03-20,38.35563278198242
2000-03-21,39.332279205322266
2000-03-22,40.930416107177734
2000-03-23,40.522003173828125
2000-03-24,39.50985336303711
2000-03-27,40.539756774902344
2000-03-28,38.550960540771484
2000-03-29,37.467750549316406
2000-03-30,36.082698822021484
2000-03-31,37.485504150390625
2000-04-03,37.11261749267578
2000-04-04,37.71635055541992
2000-04-05,36.8995246887207
2000-04-06,36.88174819946289
2000-04-07,38.87057113647461
2000-04-10,37.254669189453125
2000-04-11,37.14812469482422
2000-04-12,34.62660217285156
2000-04-13,34.41352462768555
2000-04-14,31.394790649414062
2000-04-17,34.94624710083008
2000-04-18,36.65092849731445
2000-04-19,33.82752227783203
2000-04-20,32.77983093261719
2000-04-24,32.992950439453125
2000-04-25,35.51446533203125
2000-04-26,34.32472610473633
