Date,DG
2009-11-13,19.59166145324707
2009-11-16,19.910572052001953
2009-11-17,19.85886001586914
2009-11-18,19.436511993408203
2009-11-19,19.712331771850586
2009-11-20,20.00537872314453
2009-11-23,20.169157028198242
2009-11-24,20.255340576171875
2009-11-25,20.46221351623535
2009-11-27,19.953662872314453
2009-11-30,19.824382781982422
2009-12-01,20.091583251953125
2009-12-02,20.341543197631836
2009-12-03,20.091583251953125
2009-12-04,20.55702018737793
2009-12-07,20.36739730834961
2009-12-08,20.36739730834961
2009-12-09,20.686309814453125
2009-12-10,20.427738189697266
2009-12-11,20.117435455322266
2009-12-14,19.65199851989746
2009-12-15,19.55718421936035
2009-12-16,19.59166145324707
2009-12-17,19.341699600219727
2009-12-18,19.453752517700195
2009-12-21,19.479604721069336
2009-12-22,19.307220458984375
2009-12-23,19.315841674804688
2009-12-24,19.091737747192383
2009-12-28,19.49684715270996
2009-12-29,19.488231658935547
2009-12-30,19.488231658935547
2009-12-31,19.333078384399414
2010-01-04,19.89333152770996
2010-01-05,20.048484802246094
2010-01-06,20.324302673339844
2010-01-07,20.46221351623535
2010-01-08,20.574260711669922
2010-01-11,20.686309814453125
2010-01-12,20.643218994140625
2010-01-13,20.944889068603516
2010-01-14,20.85869789123535
2010-01-15,20.996604919433594
2010-01-19,21.16036605834961
2010-01-20,21.12589454650879
2010-01-21,20.669071197509766
2010-01-22,20.117435455322266
2010-01-25,20.126054763793945
2010-01-26,20.281204223632812
2010-01-27,20.298437118530273
2010-01-28,20.54840087890625
2010-01-29,20.246726989746094
2010-02-01,20.143295288085938
2010-02-02,20.36739730834961
2010-02-03,20.54840087890625
2010-02-04,19.367549896240234
2010-02-05,18.712493896484375
2010-02-08,19.29859733581543
2010-02-09,19.44512176513672
2010-02-10,19.00554084777832
2010-02-11,19.014162063598633
2010-02-12,19.436511993408203
2010-02-16,19.850236892700195
2010-02-17,19.617521286010742
2010-02-18,20.065717697143555
2010-02-19,20.324302673339844
2010-02-22,20.031234741210938
2010-02-23,20.37601661682129
2010-02-24,20.824216842651367
2010-02-25,20.5139217376709
2010-02-26,20.591501235961914
2010-03-01,20.76388168334961
2010-03-02,20.720787048339844
2010-03-03,20.67768669128418
2010-03-04,20.85869789123535
2010-03-05,21.134511947631836
2010-03-08,21.263803482055664
2010-03-09,21.65167236328125
2010-03-10,21.599956512451172
2010-03-11,21.643049240112305
2010-03-12,21.660289764404297
2010-03-15,21.574098587036133
