Date,LRCX
2000-01-03,3.180182695388794
2000-01-04,3.0422215461730957
2000-01-05,2.9980037212371826
2000-01-06,2.976778507232666
2000-01-07,3.020996570587158
2000-01-10,3.176644802093506
2000-01-11,3.137732982635498
2000-01-12,3.226170063018799
2000-01-13,3.2190961837768555
2000-01-14,3.6718907356262207
2000-01-18,3.6701231002807617
2000-01-19,3.8593764305114746
2000-01-20,4.048630714416504
2000-01-21,3.9318947792053223
2000-01-24,3.80631422996521
2000-01-25,3.901827335357666
2000-01-26,3.6506667137145996
2000-01-27,3.6648168563842773
2000-01-28,3.5056302547454834
2000-01-31,3.5339293479919434
2000-02-01,3.7178783416748047
2000-02-02,3.884138822555542
2000-02-03,3.9672701358795166
2000-02-04,3.8788323402404785
2000-02-07,3.9336636066436768
2000-02-08,3.930126428604126
2000-02-09,3.8717586994171143
2000-02-10,4.073392868041992
2000-02-11,3.9672701358795166
2000-02-14,4.085775375366211
2000-02-15,4.046862602233887
2000-02-16,4.022099494934082
2000-02-17,4.1317620277404785
2000-02-18,3.9177446365356445
2000-02-22,3.9318947792053223
2000-02-23,4.149447917938232
2000-02-24,4.046862602233887
2000-02-25,3.891214370727539
2000-02-28,3.9071314334869385
2000-02-29,4.418296813964844
2000-03-01,4.266184329986572
2000-03-02,4.2538042068481445
2000-03-03,4.296253204345703
2000-03-06,4.283871650695801
2000-03-07,4.3015594482421875
2000-03-08,4.156522750854492
2000-03-09,4.503195762634277
2000-03-10,4.596937656402588
2000-03-13,4.372308731079102
2000-03-14,4.05393648147583
2000-03-15,3.7674014568328857
2000-03-16,3.7957019805908203
2000-03-17,4.160062789916992
2000-03-20,4.144144058227539
2000-03-21,4.117610931396484
2000-03-22,4.3139424324035645
2000-03-23,4.430677890777588
2000-03-24,4.605783462524414
2000-03-27,4.499658584594727
2000-03-28,4.234348773956299
2000-03-29,3.8469960689544678
2000-03-30,3.8682212829589844
2000-03-31,3.825770139694214
2000-04-03,3.3110694885253906
2000-04-04,3.47556209564209
2000-04-05,3.9265899658203125
2000-04-06,4.223737716674805
2000-04-07,4.717212677001953
2000-04-10,4.1812872886657715
2000-04-11,4.202509880065918
2000-04-12,4.032712936401367
2000-04-13,3.6453607082366943
2000-04-14,3.0988216400146484
2000-04-17,3.640054225921631
2000-04-18,4.149447917938232
2000-04-19,3.6135244369506836
2000-04-20,3.6347482204437256
2000-04-24,3.395968437194824
2000-04-25,3.523318290710449
2000-04-26,3.316376209259033
2000-04-27,3.7992398738861084
2000-04-28,3.894752264022827
2000-05-01,3.7461769580841064
2000-05-02,3.5922977924346924
2000-05-03,3.3110694885253906
2000-05-04,3.258007287979126
2000-05-05,3.395968437194824
2000-05-08,3.0722897052764893
2000-05-09,2.8388168811798096
2000-05-10,2.7539186477661133
2000-05-11,2.780449628829956
2000-05-12,2.8335108757019043
2000-05-15,2.902491807937622
2000-05-16,2.9714722633361816
2000-05-17,2.913105010986328
2000-05-18,2.854736089706421
2000-05-19,2.5788135528564453
2000-05-22,2.499220848083496
2000-05-23,2.244523286819458
2000-05-24,2.302891731262207
2000-05-25,2.3453404903411865
2000-05-26,2.366565227508545
2000-05-30,2.722080945968628
2000-05-31,2.7273881435394287
2000-06-01,3.061678409576416
2000-06-02,3.4437241554260254
2000-06-05,3.3057634830474854
2000-06-06,3.15718936920166
2000-06-07,3.2951507568359375
2000-06-08,3.3906617164611816
2000-06-09,3.539235830307007
2000-06-12,3.3694369792938232
2000-06-13,3.433112382888794
2000-06-14,3.2792317867279053
2000-06-15,3.2420895099639893
2000-06-16,3.358825206756592
2000-06-19,3.7355661392211914
2000-06-20,3.6453607082366943
2000-06-21,3.6917901039123535
2000-06-22,3.565768003463745
2000-06-23,3.4490303993225098
2000-06-26,3.4171934127807617
2000-06-27,3.289844274520874
2000-06-28,3.4118874073028564
2000-06-29,3.194333076477051
2000-06-30,3.183720350265503
2000-07-03,3.3269877433776855
2000-07-05,2.74861216545105
2000-07-06,2.9820849895477295
2000-07-07,3.10943341255188
2000-07-10,3.130657434463501
2000-07-11,3.0245349407196045
2000-07-12,3.0563716888427734
2000-07-13,3.077596664428711
2000-07-14,3.22086501121521
