Date,EME
2000-01-03,4.049184799194336
2000-01-04,4.092416286468506
2000-01-05,4.193284511566162
2000-01-06,4.294153690338135
2000-01-07,4.337381839752197
2000-01-10,4.236515045166016
2000-01-11,4.1788740158081055
2000-01-12,4.150054454803467
2000-01-13,4.150054454803467
2000-01-14,4.1788740158081055
2000-01-18,4.322974681854248
2000-01-19,4.5103020668029785
2000-01-20,4.5103020668029785
2000-01-21,4.668811321258545
2000-01-24,4.62558126449585
2000-01-25,4.654402256011963
2000-01-26,4.53912353515625
2000-01-27,4.366203784942627
2000-01-28,4.409433841705322
2000-01-31,4.193284511566162
2000-02-01,4.265334606170654
2000-02-02,4.279746055603027
2000-02-03,4.380613327026367
2000-02-04,4.481482982635498
2000-02-07,4.582352161407471
2000-02-08,4.668811321258545
2000-02-09,4.6111741065979
2000-02-10,4.668811321258545
2000-02-11,5.014650344848633
2000-02-14,5.331668853759766
2000-02-15,5.317256450653076
2000-02-16,5.3028483390808105
2000-02-17,5.3028483390808105
2000-02-18,5.274028301239014
2000-02-22,5.187570095062256
2000-02-23,5.5189948081970215
2000-02-24,5.41812801361084
2000-02-25,5.21638822555542
2000-02-28,5.3028483390808105
2000-02-29,5.187570095062256
2000-03-01,5.1299285888671875
2000-03-02,5.072290897369385
2000-03-03,5.057878494262695
2000-03-06,4.668811321258545
2000-03-07,4.582352161407471
2000-03-08,4.438251495361328
2000-03-09,4.395022392272949
2000-03-10,4.322974681854248
2000-03-13,4.279746055603027
2000-03-14,4.358998775482178
2000-03-15,4.409433841705322
2000-03-16,4.409433841705322
2000-03-17,4.29055118560791
2000-03-20,4.337381839752197
2000-03-21,4.395022392272949
2000-03-22,5.072290897369385
2000-03-23,4.870550155639648
2000-03-24,4.784092426300049
2000-03-27,4.784092426300049
2000-03-28,4.697632789611816
2000-03-29,4.53912353515625
2000-03-30,4.481482982635498
2000-03-31,4.841729164123535
2000-04-03,4.596762180328369
2000-04-04,4.668811321258545
2000-04-05,4.899369239807129
2000-04-06,4.7552714347839355
2000-04-07,4.6111741065979
2000-04-10,4.639990329742432
2000-04-11,4.6111741065979
2000-04-12,4.463470935821533
2000-04-13,4.366203784942627
2000-04-14,4.322974681854248
2000-04-17,4.495893955230713
2000-04-18,4.481482982635498
2000-04-19,4.596762180328369
2000-04-20,4.654402256011963
2000-04-24,4.668811321258545
2000-04-25,4.654402256011963
2000-04-26,4.841729164123535
2000-04-27,5.187570095062256
2000-04-28,5.158749580383301
2000-05-01,5.245208740234375
2000-05-02,5.245208740234375
2000-05-03,5.187570095062256
2000-05-04,5.3028483390808105
2000-05-05,5.187570095062256
2000-05-08,5.201976776123047
2000-05-09,5.230798244476318
2000-05-10,5.230798244476318
2000-05-11,5.41812801361084
2000-05-12,5.591046333312988
2000-05-15,5.619865894317627
2000-05-16,5.490177154541016
2000-05-17,5.21638822555542
2000-05-18,5.230798244476318
2000-05-19,5.201976776123047
2000-05-22,5.0867018699646
2000-05-23,5.014650344848633
2000-05-24,5.201976776123047
2000-05-25,5.331668853759766
2000-05-26,5.187570095062256
2000-05-30,5.173159122467041
2000-05-31,5.0867018699646
2000-06-01,5.101109981536865
2000-06-02,5.043468952178955
2000-06-05,4.9281907081604
2000-06-06,4.9281907081604
2000-06-07,4.870550155639648
2000-06-08,4.856140613555908
2000-06-09,4.870550155639648
2000-06-12,4.856140613555908
2000-06-13,4.899369239807129
2000-06-14,5.029060363769531
2000-06-15,5.475765228271484
2000-06-16,5.504588603973389
2000-06-19,5.504588603973389
2000-06-20,5.360487937927246
2000-06-21,5.331668853759766
2000-06-22,5.043468952178955
2000-06-23,4.913780212402344
2000-06-26,4.957011699676514
2000-06-27,5.057878494262695
2000-06-28,5.0867018699646
2000-06-29,5.21638822555542
2000-06-30,5.346076488494873
2000-07-03,5.41812801361084
2000-07-05,5.281233787536621
2000-07-06,5.360487937927246
2000-07-07,5.360487937927246
2000-07-10,5.533406734466553
2000-07-11,5.792785167694092
2000-07-12,6.210674285888672
2000-07-13,6.282722473144531
2000-07-14,6.181853294372559
2000-07-17,5.994522571563721
2000-07-18,6.196263313293457
2000-07-19,6.253901958465576
2000-07-20,6.109801769256592
2000-07-21,6.196263313293457
2000-07-24,6.31154203414917
2000-07-25,6.31154203414917
2000-07-26,6.282722473144531
2000-07-27,6.095394134521484
2000-07-28,5.663096904754639
2000-07-31,5.4037184715271
2000-08-01,5.490177154541016
2000-08-02,5.8252058029174805
2000-08-03,5.533406734466553
2000-08-04,5.43253755569458
2000-08-07,5.965705394744873
2000-08-08,5.821605682373047
2000-08-09,5.562225818634033
2000-08-10,5.43253755569458
2000-08-11,5.41812801361084
2000-08-14,5.331668853759766
2000-08-15,5.331668853759766
2000-08-16,5.374899864196777
2000-08-17,5.587442874908447
2000-08-18,5.5189948081970215
2000-08-21,5.562225818634033
2000-08-22,5.5189948081970215
2000-08-23,5.562225818634033
2000-08-24,5.547816753387451
2000-08-25,5.562225818634033
2000-08-28,5.648684501647949
2000-08-29,5.360487937927246
2000-08-30,5.4469475746154785
2000-08-31,5.5802388191223145
2000-09-01,5.76396369934082
2000-09-05,5.648684501647949
2000-09-06,5.879244804382324
2000-09-07,5.76396369934082
2000-09-08,5.76396369934082
2000-09-11,5.792785167694092
2000-09-12,6.052163600921631
2000-09-13,5.994522571563721
2000-09-14,6.052163600921631
2000-09-15,5.893655300140381
2000-09-18,6.037754535675049
2000-09-19,5.951292514801025
2000-09-20,6.052163600921631
2000-09-21,5.994522571563721
2000-09-22,5.648684501647949
2000-09-25,5.504588603973389
2000-09-26,5.41812801361084
2000-09-27,5.389310836791992
2000-09-28,5.475765228271484
2000-09-29,5.994522571563721
2000-10-02,5.619865894317627
2000-10-03,5.3028483390808105
2000-10-04,5.360487937927246
2000-10-05,5.490177154541016
2000-10-06,5.533406734466553
2000-10-09,5.619865894317627
2000-10-10,5.562225818634033
2000-10-11,5.5189948081970215
2000-10-12,5.3028483390808105
2000-10-13,5.360487937927246
2000-10-16,5.245208740234375
2000-10-17,5.317256450653076
2000-10-18,5.230798244476318
2000-10-19,5.331668853759766
2000-10-20,5.3028483390808105
2000-10-23,5.619865894317627
2000-10-24,5.591046333312988
2000-10-25,5.591046333312988
2000-10-26,5.778375625610352
2000-10-27,5.490177154541016
2000-10-30,5.547816753387451
2000-10-31,5.9801130294799805
2000-11-01,5.605456352233887
2000-11-02,5.879244804382324
2000-11-03,5.965705394744873
2000-11-06,5.735145568847656
2000-11-07,5.76396369934082
2000-11-08,5.821605682373047
2000-11-09,5.76396369934082
2000-11-10,5.778375625610352
2000-11-13,5.720734596252441
2000-11-14,5.76396369934082
2000-11-15,5.76396369934082
2000-11-16,5.648684501647949
2000-11-17,5.735145568847656
2000-11-20,5.735145568847656
2000-11-21,5.619865894317627
2000-11-22,5.591046333312988
2000-11-24,5.605456352233887
2000-11-27,5.6775054931640625
2000-11-28,5.619865894317627
2000-11-29,5.6775054931640625
2000-11-30,5.706323623657227
2000-12-01,5.879244804382324
2000-12-04,5.936883926391602
2000-12-05,5.879244804382324
2000-12-06,5.879244804382324
2000-12-07,5.864835262298584
2000-12-08,5.879244804382324
2000-12-11,5.864835262298584
2000-12-12,5.7495574951171875
2000-12-13,5.720734596252441
2000-12-14,5.691915035247803
2000-12-15,5.533406734466553
2000-12-18,5.504588603973389
2000-12-19,5.504588603973389
2000-12-20,5.3028483390808105
2000-12-21,5.3028483390808105
2000-12-22,5.3028483390808105
2000-12-26,5.3028483390808105
2000-12-27,5.504588603973389
2000-12-28,5.83601713180542
2000-12-29,5.879244804382324
2001-01-02,5.864835262298584
2001-01-03,6.052163600921631
2001-01-04,5.994522571563721
2001-01-05,5.807195663452148
2001-01-08,5.879244804382324
2001-01-09,5.706323623657227
2001-01-10,5.691915035247803
2001-01-11,5.720734596252441
2001-01-12,5.7495574951171875
2001-01-16,6.210674285888672
2001-01-17,6.181853294372559
2001-01-18,6.196263313293457
2001-01-19,6.095394134521484
2001-01-22,6.0665740966796875
2001-01-23,6.16744327545166
2001-01-24,6.210674285888672
2001-01-25,6.16744327545166
2001-01-26,6.1386237144470215
2001-01-29,6.16744327545166
2001-01-30,6.208944320678711
2001-01-31,6.432585716247559
2001-02-01,6.471780776977539
2001-02-02,6.54094934463501
2001-02-05,6.47869873046875
2001-02-06,6.589364051818848
2001-02-07,6.570919036865234
2001-02-08,6.584754943847656
2001-02-09,6.504056453704834
2001-02-12,6.674670696258545
2001-02-13,6.757672309875488
2001-02-14,6.824533939361572
2001-02-15,6.916759014129639
2001-02-16,6.836064338684082
2001-02-20,6.985926151275635
2001-02-21,6.953647136688232
2001-02-22,6.836064338684082
2001-02-23,6.893704891204834
2001-02-26,6.893704891204834
2001-02-27,6.8660359382629395
2001-02-28,6.836064338684082
2001-03-01,6.810701370239258
2001-03-02,6.8176164627075195
2001-03-05,6.84758996963501
2001-03-06,6.891396522521973
2001-03-07,6.916759014129639
2001-03-08,7.1104278564453125
2001-03-09,7.055093288421631
2001-03-12,6.916759014129639
2001-03-13,6.9974541664123535
2001-03-14,6.813005447387695
2001-03-15,6.84758996963501
2001-03-16,6.882173538208008
2001-03-19,7.029731750488281
