Date,RVTY
2000-01-03,16.254274368286133
2000-01-04,15.494279861450195
2000-01-05,15.322665214538574
2000-01-06,15.51879596710205
2000-01-07,15.714920043945312
2000-01-10,16.35234832763672
2000-01-11,15.837503433227539
2000-01-12,15.862020492553711
2000-01-13,16.303308486938477
2000-01-14,16.303308486938477
2000-01-18,16.916215896606445
2000-01-19,17.217275619506836
2000-01-20,17.905967712402344
2000-01-21,18.54546356201172
2000-01-24,18.61925506591797
2000-01-25,18.717632293701172
2000-01-26,18.76683235168457
2000-01-27,19.35714340209961
2000-01-28,19.60309600830078
2000-01-31,19.70148468017578
2000-02-01,20.24260139465332
2000-02-02,19.922842025756836
2000-02-03,20.04582405090332
2000-02-04,20.734506607055664
2000-02-07,20.980478286743164
2000-02-08,21.669174194335938
2000-02-09,21.447805404663086
2000-02-10,21.644573211669922
2000-02-11,22.234880447387695
2000-02-14,23.513883590698242
2000-02-15,25.702926635742188
2000-02-16,26.391632080078125
2000-02-17,29.958066940307617
2000-02-18,26.760570526123047
2000-02-22,27.547643661499023
2000-02-23,27.031126022338867
2000-02-24,25.65373420715332
2000-02-25,24.792877197265625
2000-02-28,23.759838104248047
2000-02-29,25.432374954223633
2000-03-01,26.760570526123047
2000-03-02,28.556087493896484
2000-03-03,30.351606369018555
2000-03-06,31.18785858154297
2000-03-07,30.646728515625
2000-03-08,28.06416130065918
2000-03-09,27.990373611450195
2000-03-10,28.556087493896484
2000-03-13,27.32626724243164
2000-03-14,25.33399772644043
2000-03-15,25.432374954223633
2000-03-16,26.31783676147461
2000-03-17,27.473857879638672
2000-03-20,27.744403839111328
2000-03-21,26.809755325317383
2000-03-22,27.05571937561035
2000-03-23,26.56379508972168
2000-03-24,26.022672653198242
2000-03-27,26.760570526123047
2000-03-28,26.047283172607422
2000-03-29,26.244041442871094
2000-03-30,25.284791946411133
2000-03-31,26.170269012451172
2000-04-03,25.08802604675293
2000-04-04,24.005809783935547
2000-04-05,23.243318557739258
2000-04-06,23.464689254760742
2000-04-07,24.891258239746094
2000-04-10,24.03040313720703
2000-04-11,24.719083786010742
2000-04-12,23.61226463317871
2000-04-13,23.80902862548828
2000-04-14,21.939729690551758
2000-04-17,21.619985580444336
2000-04-18,21.625896453857422
2000-04-19,21.675220489501953
2000-04-20,20.91077995300293
2000-04-24,19.727142333984375
2000-04-25,20.762832641601562
2000-04-26,21.428630828857422
2000-04-27,21.35465431213379
2000-04-28,21.897136688232422
2000-05-01,21.428630828857422
2000-05-02,21.453285217285156
2000-05-03,20.861459732055664
2000-05-04,20.984766006469727
2000-05-05,22.143733978271484
2000-05-08,21.453285217285156
2000-05-09,21.009424209594727
2000-05-10,19.875104904174805
2000-05-11,20.886131286621094
2000-05-12,21.35465431213379
2000-05-15,21.35465431213379
2000-05-16,22.488956451416016
2000-05-17,21.773849487304688
2000-05-18,21.699871063232422
2000-05-19,20.861459732055664
2000-05-22,20.664194107055664
2000-05-23,19.727142333984375
2000-05-24,20.171024322509766
2000-05-25,20.171024322509766
2000-05-26,19.899765014648438
2000-05-30,21.329984664916992
2000-05-31,20.713518142700195
2000-06-01,22.31635284423828
2000-06-02,23.672590255737305
2000-06-05,23.17940902709961
2000-06-06,23.845205307006836
2000-06-07,23.253381729125977
2000-06-08,23.869857788085938
2000-06-09,24.04247283935547
2000-06-12,22.76019859313965
2000-06-13,23.080768585205078
2000-06-14,22.46430206298828
2000-06-15,21.97111701965332
2000-06-16,22.06975746154785
2000-06-19,23.820541381835938
2000-06-20,23.869857788085938
2000-06-21,23.52463722229004
2000-06-22,22.809524536132812
2000-06-23,23.05611228942871
2000-06-26,25.645307540893555
2000-06-27,25.497350692749023
2000-06-28,27.124841690063477
2000-06-29,25.448040008544922
2000-06-30,26.095335006713867
2000-07-03,25.645307540893555
2000-07-05,25.349390029907227
2000-07-06,25.768592834472656
2000-07-07,26.902896881103516
2000-07-10,26.730297088623047
2000-07-11,27.716651916503906
2000-07-12,29.787994384765625
2000-07-13,28.998920440673828
2000-07-14,28.826297760009766
2000-07-17,29.87430763244629
2000-07-18,29.048234939575195
2000-07-19,28.23887062072754
2000-07-20,27.81886100769043
2000-07-21,27.00358009338379
2000-07-24,26.805931091308594
2000-07-25,26.95415496826172
2000-07-26,25.694164276123047
2000-07-27,24.878870010375977
2000-07-28,25.200044631958008
2000-07-31,25.274158477783203
2000-08-01,25.941219329833984
2000-08-02,24.730636596679688
2000-08-03,24.557693481445312
2000-08-04,25.91651153564453
2000-08-07,27.571802139282227
2000-08-08,28.4365234375
2000-08-09,28.164752960205078
2000-08-10,28.75770378112793
2000-08-11,28.831809997558594
2000-08-14,29.57299041748047
2000-08-15,30.042415618896484
2000-08-16,31.005939483642578
2000-08-17,31.54946517944336
2000-08-18,31.277706146240234
2000-08-21,31.524768829345703
2000-08-22,33.20476531982422
2000-08-23,33.72358703613281
2000-08-24,33.20476531982422
2000-08-25,33.52595901489258
2000-08-28,34.36594009399414
2000-08-29,34.71182632446289
2000-08-30,35.378875732421875
2000-08-31,35.551841735839844
2000-09-01,35.502410888671875
2000-09-05,34.291831970214844
2000-09-06,33.67417907714844
2000-09-07,34.51417541503906
2000-09-08,34.93416976928711
2000-09-11,34.98359680175781
2000-09-12,35.700069427490234
2000-09-13,36.09534454345703
2000-09-14,37.55300521850586
2000-09-15,37.25653076171875
2000-09-18,35.87300109863281
2000-09-19,36.9600715637207
2000-09-20,39.23300552368164
2000-09-21,39.62831115722656
2000-09-22,39.62831115722656
2000-09-25,40.344783782958984
2000-09-26,38.51654052734375
2000-09-27,39.72713088989258
2000-09-28,42.29654312133789
2000-09-29,41.25889587402344
2000-10-02,42.3953742980957
2000-10-03,40.764766693115234
2000-10-04,39.23300552368164
2000-10-05,38.7883186340332
2000-10-06,36.910648345947266
2000-10-09,37.45418930053711
2000-10-10,39.28239822387695
2000-10-11,38.98595428466797
2000-10-12,37.55300521850586
2000-10-13,39.43065643310547
2000-10-16,40.74006271362305
2000-10-17,40.04830551147461
2000-10-18,40.37588119506836
2000-10-19,42.330345153808594
2000-10-20,43.91371154785156
2000-10-23,45.002262115478516
2000-10-24,45.86817169189453
2000-10-25,44.284812927246094
2000-10-26,42.50352478027344
2000-10-27,44.08687210083008
2000-10-30,46.313480377197266
2000-10-31,47.303096771240234
2000-11-01,46.43719482421875
2000-11-02,47.154659271240234
2000-11-03,45.892913818359375
2000-11-06,47.030948638916016
2000-11-07,46.115570068359375
2000-11-08,46.01659393310547
2000-11-09,43.715789794921875
2000-11-10,41.26649856567383
2000-11-13,38.49560546875
2000-11-14,41.24177169799805
2000-11-15,43.39414596557617
2000-11-16,41.51390075683594
2000-11-17,43.295204162597656
2000-11-20,41.043846130371094
2000-11-21,41.31599044799805
2000-11-22,39.980010986328125
2000-11-24,40.69748306274414
2000-11-27,41.192283630371094
2000-11-28,38.05028533935547
2000-11-29,36.269004821777344
2000-11-30,35.254661560058594
2000-12-01,39.13885498046875
2000-12-04,37.9018669128418
2000-12-05,40.37588119506836
2000-12-06,40.2274284362793
2000-12-07,38.99042510986328
2000-12-08,40.42534255981445
2000-12-11,43.88895797729492
2000-12-12,42.82513427734375
2000-12-13,40.276885986328125
2000-12-14,38.619319915771484
2000-12-15,40.47481155395508
2000-12-18,42.13239288330078
2000-12-19,41.9592170715332
2000-12-20,40.549034118652344
2000-12-21,37.580230712890625
2000-12-22,39.3367805480957
2000-12-26,39.38627624511719
2000-12-27,40.573787689208984
2000-12-28,43.097267150878906
2000-12-29,41.56338119506836
2001-01-02,38.39666748046875
2001-01-03,39.60892868041992
2001-01-04,37.0854377746582
2001-01-05,34.14136505126953
2001-01-08,35.205162048339844
2001-01-09,34.56193542480469
2001-01-10,36.071083068847656
2001-01-11,37.82763671875
2001-01-12,36.29374694824219
2001-01-16,35.996856689453125
2001-01-17,36.72138214111328
2001-01-18,37.19215774536133
2001-01-19,34.689571380615234
2001-01-22,35.457698822021484
2001-01-23,35.9036979675293
2001-01-24,34.09489059448242
2001-01-25,34.86300277709961
2001-01-26,36.17626190185547
2001-01-29,36.15643310546875
2001-01-30,36.592525482177734
2001-01-31,38.650115966796875
2001-02-01,37.68674087524414
2001-02-02,36.219886779785156
2001-02-05,36.124717712402344
2001-02-06,37.78189468383789
2001-02-07,36.26744079589844
2001-02-08,35.82341003417969
2001-02-09,35.16135025024414
2001-02-12,35.77581787109375
2001-02-13,34.899688720703125
2001-02-14,36.26744079589844
2001-02-15,36.2357177734375
2001-02-16,34.8402099609375
2001-02-20,31.910442352294922
2001-02-21,30.84395408630371
2001-02-22,29.37710189819336
2001-02-23,29.88457489013672
2001-02-26,31.19681167602539
2001-02-27,30.308778762817383
2001-02-28,29.028223037719727
2001-03-01,28.540573120117188
2001-03-02,28.722963333129883
2001-03-05,28.78241729736328
2001-03-06,29.793373107910156
2001-03-07,28.52077865600586
2001-03-08,27.787324905395508
2001-03-09,26.368030548095703
2001-03-12,24.26287269592285
2001-03-13,25.135061264038086
2001-03-14,24.67915916442871
2001-03-15,24.342164993286133
2001-03-16,23.64837074279785
2001-03-19,23.450143814086914
2001-03-20,21.62646484375
2001-03-21,20.357818603515625
2001-03-22,17.701581954956055
2001-03-23,19.822599411010742
2001-03-26,20.77804946899414
2001-03-27,20.635330200195312
2001-03-28,20.199237823486328
2001-03-29,19.588703155517578
2001-03-30,20.79391860961914
2001-04-02,19.327049255371094
2001-04-03,18.660987854003906
2001-04-04,16.948328018188477
2001-04-05,19.457876205444336
2001-04-06,19.128812789916992
2001-04-09,19.227930068969727
2001-04-10,20.02876853942871
