Date,PPG
2000-01-03,15.759737014770508
2000-01-04,15.217999458312988
2000-01-05,15.792562484741211
2000-01-06,16.5477237701416
2000-01-07,16.843219757080078
2000-01-10,16.31789207458496
2000-01-11,16.252225875854492
2000-01-12,16.498472213745117
2000-01-13,16.908878326416016
2000-01-14,16.5477237701416
2000-01-18,16.15373420715332
2000-01-19,15.841817855834961
2000-01-20,15.201578140258789
2000-01-21,15.398571014404297
2000-01-24,15.234407424926758
2000-01-25,14.856831550598145
2000-01-26,15.086661338806152
2000-01-27,15.267247200012207
2000-01-28,14.889667510986328
2000-01-31,14.46284008026123
2000-02-01,14.725502967834473
2000-02-02,14.46284008026123
2000-02-03,14.380758285522461
2000-02-04,14.200180053710938
2000-02-07,13.740522384643555
2000-02-08,13.625603675842285
2000-02-09,13.395773887634277
2000-02-10,13.264440536499023
2000-02-11,12.771951675415039
2000-02-14,13.29727554321289
2000-02-15,13.78976821899414
2000-02-16,13.871853828430176
2000-02-17,13.895010948181152
2000-02-18,13.514549255371094
2000-02-22,13.928091049194336
2000-02-23,14.126593589782715
2000-02-24,13.29951286315918
2000-02-25,12.985211372375488
2000-02-28,12.985211372375488
2000-02-29,13.0679349899292
2000-03-01,12.786718368530273
2000-03-02,12.472430229187012
2000-03-03,12.985211372375488
2000-03-06,12.70400619506836
2000-03-07,12.3070068359375
2000-03-08,12.191222190856934
2000-03-09,12.058883666992188
2000-03-10,12.356626510620117
2000-03-13,12.158132553100586
2000-03-14,12.17467212677002
2000-03-15,13.282962799072266
2000-03-16,13.977717399597168
2000-03-17,13.249883651733398
2000-03-20,13.514549255371094
2000-03-21,13.812297821044922
2000-03-22,13.18371295928955
2000-03-23,13.332588195800781
2000-03-24,13.382219314575195
2000-03-27,13.101007461547852
2000-03-28,13.16717529296875
2000-03-29,13.464926719665527
2000-03-30,14.060420989990234
2000-03-31,13.845385551452637
2000-04-03,14.02734375
2000-04-04,14.242382049560547
2000-04-05,13.94463062286377
2000-04-06,13.977717399597168
2000-04-07,13.779214859008789
2000-04-10,13.746132850646973
2000-04-11,14.308552742004395
2000-04-12,15.119094848632812
2000-04-13,14.837884902954102
2000-04-14,14.0769624710083
2000-04-17,14.093518257141113
2000-04-18,13.547633171081543
2000-04-19,13.398755073547363
2000-04-20,14.02734375
2000-04-24,14.374725341796875
2000-04-25,14.804800987243652
2000-04-26,14.391253471374512
2000-04-27,14.225839614868164
2000-04-28,14.391253471374512
2000-05-01,14.424338340759277
2000-05-02,14.391253471374512
2000-05-03,13.928091049194336
2000-05-04,14.126593589782715
2000-05-05,14.589756965637207
2000-05-08,14.629751205444336
2000-05-09,14.796375274658203
2000-05-10,14.546441078186035
2000-05-11,14.879684448242188
2000-05-12,14.696396827697754
2000-05-15,15.14628791809082
2000-05-16,15.096302032470703
2000-05-17,14.779709815979004
2000-05-18,14.779709815979004
2000-05-19,14.713065147399902
2000-05-22,14.713065147399902
2000-05-23,14.529769897460938
2000-05-24,14.66307544708252
2000-05-25,13.69664478302002
2000-05-26,13.613329887390137
2000-05-30,13.829944610595703
2000-05-31,13.21342658996582
2000-06-01,13.296734809875488
2000-06-02,13.330066680908203
2000-06-05,13.063461303710938
2000-06-06,12.896835327148438
2000-06-07,12.846848487854004
2000-06-08,12.763548851013184
2000-06-09,12.780204772949219
2000-06-12,12.963488578796387
2000-06-13,12.646903038024902
2000-06-14,12.830187797546387
2000-06-15,12.53026008605957
2000-06-16,12.42195987701416
2000-06-19,11.880424499511719
2000-06-20,11.597161293029785
2000-06-21,11.230584144592285
2000-06-22,11.463863372802734
2000-06-23,11.480518341064453
2000-06-26,11.463863372802734
2000-06-27,11.913751602172852
2000-06-28,12.076210975646973
2000-06-29,11.997058868408203
2000-06-30,11.813770294189453
2000-07-03,12.247000694274902
2000-07-05,11.963738441467285
2000-07-06,11.713793754577637
2000-07-07,11.780448913574219
2000-07-10,11.630484580993652
2000-07-11,12.130366325378418
2000-07-12,11.947075843811035
2000-07-13,12.247000694274902
2000-07-14,12.080371856689453
2000-07-17,11.713793754577637
2000-07-18,11.630484580993652
2000-07-19,11.380542755126953
2000-07-20,11.230584144592285
2000-07-21,11.413866996765137
2000-07-24,11.31389331817627
2000-07-25,11.338891983032227
2000-07-26,11.047294616699219
2000-07-27,11.013968467712402
2000-07-28,10.847338676452637
2000-07-31,10.847338676452637
2000-08-01,10.86400032043457
2000-08-02,10.930658340454102
2000-08-03,10.86400032043457
2000-08-04,10.780694007873535
2000-08-07,11.247243881225586
2000-08-08,11.346497535705566
2000-08-09,11.489484786987305
2000-08-10,11.11939811706543
2000-08-11,11.455840110778809
2000-08-14,11.422192573547363
2000-08-15,11.624062538146973
2000-08-16,11.691343307495117
2000-08-17,11.556769371032715
2000-08-18,11.590417861938477
2000-08-21,11.439018249511719
2000-08-22,11.523127555847168
2000-08-23,11.371726036071777
2000-08-24,11.354904174804688
2000-08-25,11.506301879882812
2000-08-28,11.539950370788574
2000-08-29,11.304443359375
2000-08-30,11.102572441101074
2000-08-31,10.904912948608398
2000-09-01,10.89229965209961
2000-09-05,10.98481559753418
2000-09-06,11.220327377319336
2000-09-07,10.900711059570312
