Date,CAH
2000-01-03,14.777139663696289
2000-01-04,14.608585357666016
2000-01-05,15.638679504394531
2000-01-06,16.181821823120117
2000-01-07,17.642669677734375
2000-01-10,16.781143188476562
2000-01-11,16.893522262573242
2000-01-12,17.19318389892578
2000-01-13,17.586488723754883
2000-01-14,17.792497634887695
2000-01-18,16.930973052978516
2000-01-19,17.474119186401367
2000-01-20,16.0319881439209
2000-01-21,15.619948387145996
2000-01-24,15.28282642364502
2000-01-25,14.814599990844727
2000-01-26,14.79587459564209
2000-01-27,14.852058410644531
2000-01-28,14.608585357666016
2000-01-31,14.290192604064941
2000-02-01,14.964432716369629
2000-02-02,14.308917999267578
2000-02-03,14.327652931213379
2000-02-04,14.758416175842285
2000-02-07,14.833333969116211
2000-02-08,15.357744216918945
2000-02-09,15.001891136169434
2000-02-10,14.739689826965332
2000-02-11,14.102904319763184
2000-02-14,13.747054100036621
2000-02-15,13.316287994384766
2000-02-16,13.541032791137695
2000-02-17,13.391207695007324
2000-02-18,13.185186386108398
2000-02-22,13.503582000732422
2000-02-23,13.42866039276123
2000-02-24,13.091534614562988
2000-02-25,12.904247283935547
2000-02-28,12.8106050491333
2000-02-29,12.529669761657715
2000-03-01,11.686864852905273
2000-03-02,11.630682945251465
2000-03-03,12.023984909057617
2000-03-06,11.761786460876465
2000-03-07,11.143730163574219
2000-03-08,11.537038803100586
2000-03-09,12.26746654510498
2000-03-10,12.529669761657715
2000-03-13,12.2861967086792
2000-03-14,12.192547798156738
2000-03-15,12.96043586730957
2000-03-16,14.571130752563477
2000-03-17,14.44002628326416
2000-03-20,14.046714782714844
2000-03-21,14.38383674621582
2000-03-22,14.702232360839844
2000-03-23,14.945703506469727
2000-03-24,14.852058410644531
2000-03-27,14.290192604064941
2000-03-28,14.102904319763184
2000-03-29,13.791839599609375
2000-03-30,13.77309799194336
2000-03-31,13.754358291625977
2000-04-03,14.54139232635498
2000-04-04,14.691308975219727
2000-04-05,14.635093688964844
2000-04-06,14.354002952575684
2000-04-07,14.372743606567383
2000-04-10,14.447702407836914
2000-04-11,14.372743606567383
2000-04-12,14.597610473632812
2000-04-13,14.316522598266602
2000-04-14,13.754358291625977
2000-04-17,13.791839599609375
2000-04-18,14.316522598266602
2000-04-19,15.51580810546875
2000-04-20,15.740681648254395
2000-04-24,15.871857643127441
2000-04-25,16.58392906188965
2000-04-26,16.47150421142578
2000-04-27,16.621408462524414
2000-04-28,16.50897979736328
2000-05-01,17.239795684814453
2000-05-02,17.239795684814453
2000-05-03,16.771318435668945
2000-05-04,16.902503967285156
2000-05-05,17.164838790893555
2000-05-08,17.3709659576416
2000-05-09,17.57709312438965
2000-05-10,17.2210636138916
2000-05-11,17.427181243896484
2000-05-12,17.2210636138916
2000-05-15,18.04556655883789
2000-05-16,18.79511260986328
2000-05-17,18.439083099365234
2000-05-18,18.15800666809082
2000-05-19,18.28917694091797
2000-05-22,18.514034271240234
2000-05-23,18.94504165649414
2000-05-24,19.244857788085938
2000-05-25,19.15116310119629
2000-05-26,19.41351318359375
2000-05-30,19.825761795043945
2000-05-31,19.45098876953125
2000-06-01,19.994422912597656
2000-06-02,19.057462692260742
2000-06-05,18.626474380493164
2000-06-06,18.87009048461914
2000-06-07,19.038726806640625
2000-06-08,18.888818740844727
2000-06-09,19.76954460144043
2000-06-12,19.825761795043945
2000-06-13,19.863239288330078
2000-06-14,20.66902732849121
2000-06-15,20.5378360748291
2000-06-16,19.788286209106445
2000-06-19,20.050630569458008
2000-06-20,20.181804656982422
2000-06-21,20.500364303588867
2000-06-22,19.807022094726562
2000-06-23,19.657114028930664
2000-06-26,20.200538635253906
2000-06-27,20.66902732849121
2000-06-28,21.296672821044922
2000-06-29,21.090456008911133
2000-06-30,22.196531295776367
2000-07-03,22.140281677246094
2000-07-05,21.774717330932617
2000-07-06,21.69034767150879
2000-07-07,21.67160987854004
2000-07-10,21.877832412719727
2000-07-11,22.196531295776367
2000-07-12,21.577884674072266
2000-07-13,21.14670753479004
2000-07-14,20.396818161010742
2000-07-17,20.368684768676758
2000-07-18,20.69676971435547
2000-07-19,21.14670753479004
2000-07-20,21.59662437438965
