Date,HD
2000-01-03,37.66680145263672
2000-01-04,35.680538177490234
2000-01-05,36.40283203125
2000-01-06,34.66935348510742
2000-01-07,36.691715240478516
2000-01-10,36.51115036010742
2000-01-11,35.57219696044922
2000-01-12,35.283267974853516
2000-01-13,35.897216796875
2000-01-14,35.78887939453125
2000-01-18,34.958255767822266
2000-01-19,35.752777099609375
2000-01-20,35.138816833496094
2000-01-21,34.66935348510742
2000-01-24,33.51372146606445
2000-01-25,32.430294036865234
2000-01-26,33.15255355834961
2000-01-27,33.658164978027344
2000-01-28,32.141380310058594
2000-01-31,32.71920394897461
2000-02-01,35.82498550415039
2000-02-02,35.102718353271484
2000-02-03,34.958255767822266
2000-02-04,35.319400787353516
2000-02-07,34.09151077270508
2000-02-08,35.24717712402344
2000-02-09,33.94706726074219
2000-02-10,34.41655349731445
2000-02-11,34.70547866821289
2000-02-14,34.849918365478516
2000-02-15,34.52488708496094
2000-02-16,33.08033752441406
2000-02-17,31.491331100463867
2000-02-18,31.057985305786133
2000-02-22,30.985729217529297
2000-02-23,31.671897888183594
2000-02-24,30.660694122314453
2000-02-25,30.624591827392578
2000-02-28,32.82752990722656
2000-02-29,33.22478103637695
2000-03-01,32.141380310058594
2000-03-02,31.852460861206055
2000-03-03,31.491331100463867
2000-03-06,31.130176544189453
2000-03-07,30.285930633544922
2000-03-08,30.358217239379883
2000-03-09,31.984556198120117
2000-03-10,30.93647003173828
2000-03-13,30.647350311279297
2000-03-14,30.24979591369629
2000-03-15,32.96035385131836
2000-03-16,35.56247329711914
2000-03-17,36.53828048706055
2000-03-20,36.791263580322266
2000-03-21,36.71897888183594
2000-03-22,36.46600341796875
2000-03-23,37.08039474487305
2000-03-24,37.22496032714844
2000-03-27,37.22496032714844
2000-03-28,37.008121490478516
2000-03-29,39.61024856567383
2000-03-30,38.74286651611328
2000-03-31,37.2972412109375
2000-04-03,39.32111740112305
2000-04-04,37.36952209472656
2000-04-05,37.008121490478516
2000-04-06,38.128482818603516
2000-04-07,37.08039474487305
2000-04-10,38.562164306640625
2000-04-11,38.9597282409668
2000-04-12,38.16462326049805
2000-04-13,36.1407470703125
2000-04-14,34.839683532714844
2000-04-17,33.104923248291016
2000-04-18,33.972286224365234
2000-04-19,33.972286224365234
2000-04-20,33.900020599365234
2000-04-24,34.4421272277832
2000-04-25,34.11684799194336
2000-04-26,34.984222412109375
2000-04-27,34.00843048095703
2000-04-28,32.67121505737305
2000-05-01,32.45439147949219
2000-05-02,32.85191345214844
2000-05-03,31.2255916595459
2000-05-04,30.358217239379883
2000-05-05,30.828046798706055
2000-05-08,30.972612380981445
2000-05-09,30.358217239379883
2000-05-10,31.2255916595459
2000-05-11,31.153308868408203
2000-05-12,31.2255916595459
2000-05-15,32.67121505737305
2000-05-16,30.900325775146484
2000-05-17,30.213651657104492
2000-05-18,29.77997589111328
2000-05-19,29.816110610961914
2000-05-22,29.129430770874023
2000-05-23,28.768016815185547
2000-05-24,27.033275604248047
2000-05-25,26.88870620727539
2000-05-26,27.105552673339844
2000-05-30,27.322404861450195
2000-05-31,28.334327697753906
2000-06-01,28.84029769897461
2000-06-02,31.008758544921875
2000-06-05,30.285930633544922
2000-06-06,29.129430770874023
2000-06-07,29.237876892089844
2000-06-08,28.84029769897461
2000-06-09,27.8645076751709
2000-06-12,26.599586486816406
2000-06-13,28.576040267944336
2000-06-14,29.51650619506836
2000-06-15,29.444169998168945
2000-06-16,28.82923698425293
2000-06-19,28.9377498626709
2000-06-20,28.286663055419922
2000-06-21,28.10578727722168
2000-06-22,27.707901000976562
2000-06-23,27.780242919921875
2000-06-26,27.273839950561523
2000-06-27,28.684558868408203
2000-06-28,27.85259246826172
2000-06-29,27.707901000976562
2000-06-30,28.90158462524414
2000-07-03,28.756914138793945
2000-07-05,29.08243179321289
2000-07-06,29.661197662353516
2000-07-07,32.12089157104492
2000-07-10,33.27842330932617
2000-07-11,33.35075759887695
2000-07-12,33.2060546875
2000-07-13,32.518795013427734
