Date,NI
2000-01-03,2.3641276359558105
2000-01-04,2.3892784118652344
2000-01-05,2.4898793697357178
2000-01-06,2.473112106323242
2000-01-07,2.4647297859191895
2000-01-10,2.5234127044677734
2000-01-11,2.4479618072509766
2000-01-12,2.4898793697357178
2000-01-13,2.4647297859191895
2000-01-14,2.4228124618530273
2000-01-18,2.3473613262176514
2000-01-19,2.4144287109375
2000-01-20,2.4814975261688232
2000-01-21,2.6743149757385254
2000-01-24,2.858751058578491
2000-01-25,2.649165391921997
2000-01-26,2.598862886428833
2000-01-27,2.6015851497650146
2000-01-28,2.499563455581665
2000-01-31,2.499563455581665
2000-02-01,2.559074878692627
2000-02-02,2.5250673294067383
2000-02-03,2.584580898284912
2000-02-04,2.559074878692627
2000-02-07,2.44854998588562
2000-02-08,2.4230449199676514
2000-02-09,2.4230449199676514
2000-02-10,2.3890366554260254
2000-02-11,2.37203311920166
2000-02-14,2.37203311920166
2000-02-15,2.3890366554260254
2000-02-16,2.3805348873138428
2000-02-17,2.321021556854248
2000-02-18,2.2785122394561768
2000-02-22,2.2785122394561768
2000-02-23,2.2360026836395264
2000-02-24,2.1849911212921143
2000-02-25,2.116976022720337
2000-02-28,1.7683985233306885
2000-02-29,1.7598952054977417
2000-03-01,1.7513935565948486
2000-03-02,1.7683985233306885
2000-03-03,1.8109078407287598
2000-03-06,1.8194090127944946
2000-03-07,1.8619194030761719
2000-03-08,1.9044272899627686
2000-03-09,1.955438494682312
2000-03-10,1.9979499578475952
2000-03-13,2.0064518451690674
2000-03-14,2.0319559574127197
2000-03-15,2.142481565475464
2000-03-16,2.201995611190796
2000-03-17,2.1764895915985107
2000-03-20,2.1679868698120117
2000-03-21,2.1594855785369873
2000-03-22,2.1509835720062256
2000-03-23,2.142481565475464
2000-03-24,2.1764895915985107
2000-03-27,2.1764895915985107
2000-03-28,2.142481565475464
2000-03-29,2.218998670578003
2000-03-30,2.2445051670074463
2000-03-31,2.2955164909362793
2000-04-03,2.2360026836395264
2000-04-04,2.2360026836395264
2000-04-05,2.3125200271606445
2000-04-06,2.304018020629883
2000-04-07,2.270010232925415
2000-04-10,2.261507749557495
2000-04-11,2.270010232925415
2000-04-12,2.3465285301208496
2000-04-13,2.37203311920166
2000-04-14,2.3635315895080566
2000-04-17,2.37203311920166
2000-04-18,2.3635315895080566
2000-04-19,2.3125200271606445
2000-04-20,2.3380260467529297
2000-04-24,2.406041145324707
2000-04-25,2.4740567207336426
2000-04-26,2.5890092849731445
2000-04-27,2.5890092849731445
2000-04-28,2.5544893741607666
2000-05-01,2.53722882270813
2000-05-02,2.485447883605957
2000-05-03,2.4681875705718994
2000-05-04,2.5113377571105957
2000-05-05,2.4336681365966797
2000-05-08,2.5458567142486572
2000-05-09,2.5199687480926514
2000-05-10,2.4681875705718994
2000-05-11,2.53722882270813
2000-05-12,2.5113377571105957
2000-05-15,2.5199687480926514
2000-05-16,2.494077444076538
2000-05-17,2.3991482257843018
2000-05-18,2.3818886280059814
2000-05-19,2.338737726211548
2000-05-22,2.3301076889038086
2000-05-23,2.5027081966400146
2000-05-24,2.5113377571105957
2000-05-25,2.4681875705718994
2000-05-26,2.5027081966400146
2000-05-30,2.485447883605957
2000-05-31,2.494077444076538
2000-06-01,2.494077444076538
2000-06-02,2.450928211212158
2000-06-05,2.450928211212158
2000-06-06,2.4768171310424805
2000-06-07,2.4595580101013184
2000-06-08,2.450928211212158
2000-06-09,2.485447883605957
2000-06-12,2.494077444076538
2000-06-13,2.5458567142486572
2000-06-14,2.528597354888916
2000-06-15,2.528597354888916
2000-06-16,2.5458567142486572
2000-06-19,2.528597354888916
2000-06-20,2.5113377571105957
2000-06-21,2.5544893741607666
2000-06-22,2.5458567142486572
2000-06-23,2.5717482566833496
2000-06-26,2.6062679290771484
2000-06-27,2.5976383686065674
2000-06-28,2.632157564163208
2000-06-29,2.6407887935638428
2000-06-30,2.5739057064056396
2000-07-03,2.5976383686065674
2000-07-05,2.563117504119873
2000-07-06,2.5803775787353516
2000-07-07,2.5717482566833496
2000-07-10,2.6407887935638428
2000-07-11,2.6407887935638428
2000-07-12,2.623528003692627
2000-07-13,2.623528003692627
2000-07-14,2.7443482875823975
2000-07-17,2.7874982357025146
2000-07-18,2.822019338607788
2000-07-19,2.770237684249878
2000-07-20,2.822019338607788
2000-07-21,2.7961292266845703
2000-07-24,2.770237684249878
2000-07-25,2.7961292266845703
2000-07-26,2.789656400680542
2000-07-27,2.790268659591675
