Date,HUM
2000-01-03,6.602741241455078
2000-01-04,6.657311916351318
2000-01-05,6.82101583480835
2000-01-06,7.0938544273376465
2000-01-07,7.6395368576049805
2000-01-10,7.312130928039551
2000-01-11,7.202992916107178
2000-01-12,7.366697311401367
2000-01-13,8.076082229614258
2000-01-14,7.202992916107178
2000-01-18,7.5304036140441895
2000-01-19,6.984720230102539
2000-01-20,6.766448974609375
2000-01-21,6.82101583480835
2000-01-24,6.930150985717773
2000-01-25,6.766448974609375
2000-01-26,6.875583171844482
2000-01-27,6.657311916351318
2000-01-28,6.657311916351318
2000-01-31,6.984720230102539
2000-02-01,7.202992916107178
2000-02-02,7.257562160491943
2000-02-03,7.366697311401367
2000-02-04,7.312130928039551
2000-02-07,7.366697311401367
2000-02-08,7.148423671722412
2000-02-09,6.602741241455078
2000-02-10,6.27533483505249
2000-02-11,6.002490997314453
2000-02-14,6.493607044219971
2000-02-15,6.602741241455078
2000-02-16,6.4390363693237305
2000-02-17,6.220763683319092
2000-02-18,6.16619873046875
2000-02-22,6.16619873046875
2000-02-23,6.220763683319092
2000-02-24,6.002490997314453
2000-02-25,5.7842206954956055
2000-02-28,5.7842206954956055
2000-02-29,5.947925567626953
2000-03-01,6.766448974609375
2000-03-02,6.057061672210693
2000-03-03,6.384470462799072
2000-03-06,6.111630916595459
2000-03-07,5.347678184509277
2000-03-08,5.675084114074707
2000-03-09,5.729653358459473
2000-03-10,5.620515823364258
2000-03-13,5.838789463043213
2000-03-14,5.7842206954956055
2000-03-15,6.27533483505249
2000-03-16,6.329902172088623
2000-03-17,6.111630916595459
2000-03-20,6.220763683319092
2000-03-21,6.27533483505249
2000-03-22,6.27533483505249
2000-03-23,6.548174858093262
2000-03-24,6.384470462799072
2000-03-27,6.27533483505249
2000-03-28,6.384470462799072
2000-03-29,6.548174858093262
2000-03-30,6.602741241455078
2000-03-31,6.384470462799072
2000-04-03,6.711878776550293
2000-04-04,6.657311916351318
2000-04-05,6.548174858093262
2000-04-06,6.930150985717773
2000-04-07,7.148423671722412
2000-04-10,7.257562160491943
2000-04-11,7.0938544273376465
2000-04-12,7.039287567138672
2000-04-13,6.82101583480835
2000-04-14,6.220763683319092
2000-04-17,6.27533483505249
2000-04-18,6.384470462799072
2000-04-19,6.875583171844482
2000-04-20,6.875583171844482
2000-04-24,7.5849690437316895
2000-04-25,7.366697311401367
2000-04-26,7.148423671722412
2000-04-27,7.312130928039551
2000-04-28,6.711878776550293
2000-05-01,6.766448974609375
2000-05-02,6.984720230102539
2000-05-03,5.838789463043213
2000-05-04,5.7842206954956055
2000-05-05,6.111630916595459
2000-05-08,5.675084114074707
2000-05-09,5.511381149291992
2000-05-10,5.347678184509277
2000-05-11,5.511381149291992
2000-05-12,5.456811428070068
2000-05-15,5.675084114074707
2000-05-16,5.729653358459473
2000-05-17,5.675084114074707
2000-05-18,5.7842206954956055
2000-05-19,5.56594705581665
2000-05-22,5.456811428070068
2000-05-23,5.402244567871094
2000-05-24,5.129404544830322
2000-05-25,5.020268440246582
2000-05-26,5.074835777282715
2000-05-30,4.856563568115234
2000-05-31,4.911131858825684
2000-06-01,5.1839728355407715
2000-06-02,5.074835777282715
2000-06-05,4.965700626373291
2000-06-06,4.692858695983887
2000-06-07,4.5291547775268555
2000-06-08,4.365449905395508
2000-06-09,4.365449905395508
2000-06-12,4.474587917327881
2000-06-13,4.5291547775268555
2000-06-14,4.5291547775268555
2000-06-15,4.365449905395508
2000-06-16,4.147178649902344
2000-06-19,4.20174503326416
2000-06-20,4.256314277648926
2000-06-21,4.310881614685059
2000-06-22,4.365449905395508
2000-06-23,4.365449905395508
2000-06-26,4.5291547775268555
2000-06-27,4.5291547775268555
2000-06-28,4.474587917327881
2000-06-29,4.801994800567627
2000-06-30,4.256314277648926
2000-07-03,4.583724021911621
2000-07-05,4.583724021911621
2000-07-06,5.129404544830322
2000-07-07,5.020268440246582
2000-07-10,5.238541603088379
2000-07-11,5.1839728355407715
2000-07-12,6.002490997314453
2000-07-13,6.002490997314453
2000-07-14,6.16619873046875
2000-07-17,6.27533483505249
2000-07-18,6.220763683319092
2000-07-19,6.16619873046875
2000-07-20,6.493607044219971
2000-07-21,6.602741241455078
2000-07-24,6.329902172088623
2000-07-25,6.384470462799072
2000-07-26,6.220763683319092
2000-07-27,6.4390363693237305
2000-07-28,6.16619873046875
2000-07-31,6.384470462799072
2000-08-01,6.329902172088623
2000-08-02,6.329902172088623
2000-08-03,6.111630916595459
2000-08-04,6.220763683319092
2000-08-07,6.111630916595459
2000-08-08,5.947925567626953
2000-08-09,6.220763683319092
2000-08-10,6.27533483505249
2000-08-11,6.493607044219971
2000-08-14,7.475832462310791
2000-08-15,6.984720230102539
2000-08-16,7.257562160491943
2000-08-17,7.366697311401367
2000-08-18,6.984720230102539
2000-08-21,7.039287567138672
2000-08-22,7.0938544273376465
2000-08-23,6.984720230102539
2000-08-24,6.984720230102539
2000-08-25,6.930150985717773
2000-08-28,7.0938544273376465
2000-08-29,7.202992916107178
2000-08-30,7.475832462310791
2000-08-31,7.489475727081299
2000-09-01,7.312130928039551
2000-09-05,7.148423671722412
2000-09-06,7.257562160491943
2000-09-07,7.366697311401367
2000-09-08,7.694106101989746
2000-09-11,7.312130928039551
2000-09-12,7.421262741088867
2000-09-13,7.257562160491943
2000-09-14,7.694106101989746
2000-09-15,8.130645751953125
2000-09-18,7.966947555541992
2000-09-19,8.239784240722656
2000-09-20,8.076082229614258
2000-09-21,8.130645751953125
2000-09-22,8.730899810791016
2000-09-25,8.949175834655762
2000-09-26,8.84003734588623
2000-09-27,8.621763229370117
2000-09-28,9.385717391967773
2000-09-29,9.385717391967773
2000-10-02,10.14967155456543
2000-10-03,10.040536880493164
2000-10-04,10.422510147094727
2000-10-05,10.695356369018555
2000-10-06,9.931401252746582
2000-10-09,9.276581764221191
2000-10-10,9.985965728759766
2000-10-11,9.603989601135254
2000-10-12,9.167448043823242
2000-10-13,9.276581764221191
2000-10-16,9.713127136230469
2000-10-17,9.276581764221191
2000-10-18,9.167448043823242
2000-10-19,9.112874984741211
2000-10-20,9.167448043823242
2000-10-23,9.713127136230469
2000-10-24,9.549421310424805
2000-10-25,9.713127136230469
2000-10-26,10.313373565673828
2000-10-27,9.876829147338867
2000-10-30,10.14967155456543
2000-10-31,10.586215019226074
2000-11-01,11.241031646728516
2000-11-02,11.186467170715332
2000-11-03,11.022762298583984
2000-11-06,11.077329635620117
2000-11-07,11.186467170715332
2000-11-08,11.677578926086426
2000-11-09,11.568441390991211
2000-11-10,11.895851135253906
2000-11-13,11.841279983520508
2000-11-14,12.277828216552734
2000-11-15,11.841279983520508
2000-11-16,12.496098518371582
2000-11-17,12.714370727539062
2000-11-20,10.422510147094727
2000-11-21,10.531645774841309
2000-11-22,10.422510147094727
2000-11-24,10.531645774841309
2000-11-27,10.095105171203613
2000-11-28,10.14967155456543
2000-11-29,10.367945671081543
2000-11-30,10.477083206176758
2000-12-01,11.186467170715332
2000-12-04,11.186467170715332
2000-12-05,10.968194961547852
2000-12-06,10.968194961547852
2000-12-07,10.804489135742188
2000-12-08,11.186467170715332
2000-12-11,10.859058380126953
2000-12-12,11.186467170715332
2000-12-13,10.749923706054688
2000-12-14,11.022762298583984
2000-12-15,10.586215019226074
2000-12-18,11.677578926086426
2000-12-19,11.732147216796875
2000-12-20,12.55066967010498
2000-12-21,12.55066967010498
2000-12-22,12.496098518371582
2000-12-26,12.932645797729492
2000-12-27,13.041781425476074
2000-12-28,13.423757553100586
2000-12-29,13.314623832702637
2001-01-02,13.041781425476074
2001-01-03,12.605237007141113
2001-01-04,11.513875007629395
2001-01-05,11.895851135253906
2001-01-08,11.841279983520508
2001-01-09,12.223261833190918
2001-01-10,12.55066967010498
2001-01-11,12.3323974609375
2001-01-12,11.895851135253906
2001-01-16,11.568441390991211
2001-01-17,10.968194961547852
2001-01-18,10.640785217285156
2001-01-19,9.603989601135254
2001-01-22,10.695356369018555
2001-01-23,11.077329635620117
2001-01-24,10.913622856140137
2001-01-25,11.022762298583984
2001-01-26,10.913622856140137
2001-01-29,11.175551414489746
2001-01-30,10.922356605529785
2001-01-31,10.433426856994629
2001-02-01,10.46834945678711
2001-02-02,10.739005088806152
2001-02-05,11.16681957244873
2001-02-06,10.695356369018555
2001-02-07,10.98347282409668
2001-02-08,11.175551414489746
2001-02-09,10.79139518737793
2001-02-12,11.743057250976562
2001-02-13,11.428749084472656
2001-02-14,11.743057250976562
2001-02-15,11.8740234375
2001-02-16,11.63829231262207
2001-02-20,11.5160551071167
2001-02-21,11.454940795898438
2001-02-22,11.437478065490723
2001-02-23,10.913622856140137
2001-02-26,11.219207763671875
2001-02-27,11.568441390991211
2001-02-28,11.786712646484375
2001-03-01,12.004981994628906
2001-03-02,11.900215148925781
2001-03-05,12.048639297485352
2001-03-06,11.882753372192383
2001-03-07,12.188335418701172
2001-03-08,12.09229564666748
2001-03-09,11.437478065490723
2001-03-12,10.992202758789062
2001-03-13,11.350168228149414
2001-03-14,11.184279441833496
2001-03-15,11.32397747039795
2001-03-16,10.913622856140137
2001-03-19,10.739005088806152
2001-03-20,10.415964126586914
2001-03-21,9.6651029586792
2001-03-22,8.905512809753418
2001-03-23,9.167448043823242
2001-03-26,9.246021270751953
2001-03-27,9.062671661376953
2001-03-28,8.591208457946777
2001-03-29,8.966633796691895
2001-03-30,9.149980545043945
2001-04-02,8.591208457946777
2001-04-03,8.38166332244873
2001-04-04,8.20704460144043
2001-04-05,7.491110801696777
2001-04-06,7.849079608917236
2001-04-09,7.910195350646973
2001-04-10,8.006233215332031
2001-04-11,7.622074127197266
2001-04-12,7.805424690246582
2001-04-16,7.901460647583008
2001-04-17,8.687241554260254
2001-04-18,7.945119857788086
2001-04-19,7.857808589935303
2001-04-20,7.901460647583008
2001-04-23,7.604615688323975
2001-04-24,7.814154148101807
2001-04-25,8.24196720123291
2001-04-26,8.294357299804688
2001-04-27,8.809475898742676
2001-04-30,8.626131057739258
2001-05-01,8.774552345275879
2001-05-02,8.652323722839355
2001-05-03,8.38166332244873
2001-05-04,8.12846565246582
2001-05-07,7.875271797180176
2001-05-08,8.20704460144043
2001-05-09,8.468972206115723
2001-05-10,8.102272033691406
2001-05-11,8.111003875732422
2001-05-14,8.154655456542969
2001-05-15,8.3641996383667
2001-05-16,8.3641996383667
2001-05-17,8.25069808959961
2001-05-18,8.224507331848145
2001-05-21,8.311817169189453
2001-05-22,8.372930526733398
2001-05-23,8.084809303283691
2001-05-24,8.48643684387207
2001-05-25,8.16339111328125
2001-05-29,8.215779304504395
2001-05-30,8.20704460144043
2001-05-31,8.338007926940918
2001-06-01,8.390390396118164
2001-06-04,8.643590927124023
2001-06-05,9.350790977478027
2001-06-06,9.141251564025879
2001-06-07,8.905512809753418
2001-06-08,8.957902908325195
2001-06-11,8.722168922424316
2001-06-12,8.608662605285645
2001-06-13,8.774552345275879
2001-06-14,8.687241554260254
2001-06-15,8.861860275268555
2001-06-18,8.730899810791016
2001-06-19,8.5475492477417
2001-06-20,8.809475898742676
2001-06-21,8.94044017791748
2001-06-22,8.599937438964844
2001-06-25,8.468972206115723
2001-06-26,8.76582145690918
2001-06-27,8.739632606506348
2001-06-28,9.20236873626709
2001-06-29,8.599937438964844
2001-07-02,8.879325866699219
2001-07-03,8.704706192016602
2001-07-05,8.48643684387207
2001-07-06,8.477702140808105
2001-07-09,8.434048652648926
2001-07-10,8.215779304504395
2001-07-11,8.294357299804688
2001-07-12,8.599937438964844
2001-07-13,8.730899810791016
2001-07-16,8.468972206115723
2001-07-17,8.713438034057617
2001-07-18,8.774552345275879
