Date,GPN
2001-01-16,3.4259073734283447
2001-01-17,3.4259073734283447
2001-01-18,3.7684967517852783
2001-01-19,3.9112443923950195
2001-01-22,4.168186187744141
2001-01-23,4.282382965087891
2001-01-24,4.168186187744141
2001-01-25,4.282382965087891
2001-01-26,4.225285530090332
2001-01-29,4.2709641456604
2001-01-30,4.248123645782471
2001-01-31,4.282382965087891
2001-02-01,4.773427486419678
2001-02-02,4.757441997528076
2001-02-05,4.561021327972412
2001-02-06,4.510776519775391
2001-02-07,4.567875862121582
2001-02-08,4.453677654266357
2001-02-09,4.510776519775391
2001-02-12,4.407998561859131
2001-02-13,4.396580219268799
2001-02-14,4.357752799987793
2001-02-15,4.179605484008789
2001-02-16,4.127073764801025
2001-02-20,4.131645679473877
2001-02-21,4.129357814788818
2001-02-22,4.11794376373291
2001-02-23,4.2138671875
2001-02-26,4.339482307434082
2001-02-27,4.3166422843933105
2001-02-28,4.339482307434082
2001-03-01,4.2709641456604
2001-03-02,4.284666061401367
2001-03-05,4.34176778793335
2001-03-06,4.293802261352539
2001-03-07,4.337197303771973
2001-03-08,4.293802261352539
2001-03-09,4.289237022399902
2001-03-12,4.2709641456604
2001-03-13,4.2138671875
2001-03-14,4.088247776031494
2001-03-15,3.9809041023254395
2001-03-16,3.962632894515991
2001-03-19,3.9283721446990967
2001-03-20,3.905534505844116
2001-03-21,3.802757978439331
2001-03-22,4.0768303871154785
2001-03-23,4.179605484008789
2001-03-26,4.225285530090332
2001-03-27,4.1910271644592285
2001-03-28,4.0768303871154785
2001-03-29,3.951211452484131
2001-03-30,4.225285530090332
2001-04-02,4.065410614013672
2001-04-03,4.111089706420898
2001-04-04,4.108804702758789
2001-04-05,4.138493537902832
2001-04-06,4.305222034454346
2001-04-09,4.25040864944458
2001-04-10,4.350902080535889
2001-04-11,4.773427486419678
2001-04-12,5.104599475860596
2001-04-16,4.910466194152832
2001-04-17,4.910466194152832
2001-04-18,4.860220432281494
2001-04-19,4.851084232330322
2001-04-20,4.79626989364624
2001-04-23,4.773427486419678
2001-04-24,4.773427486419678
2001-04-25,4.807686805725098
2001-04-26,4.791703224182129
2001-04-27,4.79626989364624
2001-04-30,4.830525875091553
2001-05-01,5.449477195739746
2001-05-02,5.586509704589844
2001-05-03,5.481449127197266
2001-05-04,5.476883888244629
2001-05-07,5.570523262023926
2001-05-08,5.748672008514404
2001-05-09,5.538549423217773
2001-05-10,5.410647392272949
2001-05-11,5.255340099334717
2001-05-14,5.497437477111816
2001-05-15,5.650716781616211
2001-05-16,5.730791091918945
2001-05-17,5.97100305557251
2001-05-18,5.948122978210449
2001-05-21,6.016755104064941
2001-05-22,6.062511444091797
2001-05-23,5.925243854522705
2001-05-24,5.742228031158447
2001-05-25,5.810859203338623
2001-05-29,5.822298526763916
2001-05-30,5.938973426818848
2001-05-31,6.016755104064941
2001-06-01,5.959561347961426
2001-06-04,6.131145000457764
2001-06-05,6.199777126312256
2001-06-06,6.202062129974365
2001-06-07,6.29586124420166
2001-06-08,6.256968021392822
2001-06-11,6.165458679199219
2001-06-12,6.268405437469482
2001-06-13,6.348475933074951
2001-06-14,6.279845714569092
2001-06-15,6.199777126312256
2001-06-18,6.268405437469482
2001-06-19,6.199777126312256
2001-06-20,6.314161777496338
2001-06-21,6.353055477142334
2001-06-22,6.394232749938965
2001-06-25,6.542932987213135
2001-06-26,6.62300968170166
2001-06-27,6.645883560180664
2001-06-28,6.8289008140563965
2001-06-29,6.8860955238342285
2001-07-02,7.011920928955078
2001-07-03,7.126309394836426
2001-07-05,7.286448955535889
2001-07-06,7.048525333404541
2001-07-09,6.86322021484375
2001-07-10,6.497180461883545
2001-07-11,6.497180461883545
2001-07-12,6.627579689025879
2001-07-13,6.691638946533203
2001-07-16,6.554373741149902
2001-07-17,6.611564636230469
2001-07-18,6.314161777496338
2001-07-19,7.137744903564453
2001-07-20,8.029962539672852
2001-07-23,7.801192283630371
2001-07-24,7.776029586791992
2001-07-25,7.709682464599609
2001-07-26,7.773739337921143
2001-07-27,7.748576641082764
2001-07-30,7.5381035804748535
2001-07-31,7.389397144317627
2001-08-01,7.515223026275635
2001-08-02,7.480906009674072
2001-08-03,7.309328556060791
2001-08-06,7.263576030731201
2001-08-07,7.309328556060791
2001-08-08,7.229258060455322
2001-08-09,7.320765495300293
2001-08-10,7.535813808441162
2001-08-13,7.846945285797119
2001-08-14,8.132915496826172
2001-08-15,8.039013862609863
2001-08-16,8.016107559204102
2001-08-17,7.993208408355713
2001-08-20,8.06191349029541
2001-08-21,7.832883358001709
2001-08-22,8.06191349029541
2001-08-23,7.855784893035889
2001-08-24,7.935948371887207
2001-08-27,7.924492359161377
2001-08-28,7.615301609039307
2001-08-29,7.7183661460876465
2001-08-30,7.844334125518799
2001-08-31,8.142075538635254
2001-09-04,8.16497802734375
2001-09-05,7.764171600341797
2001-09-06,7.099983215332031
2001-09-07,6.870950698852539
2001-09-10,6.630468368530273
2001-09-17,5.691437244415283
2001-09-18,5.897567272186279
2001-09-19,5.634177207946777
2001-09-20,5.361630439758301
2001-09-21,5.279179096221924
2001-09-24,5.599823951721191
2001-09-25,5.966275215148926
2001-09-26,5.8059515953063965
2001-09-27,6.190728664398193
2001-09-28,6.733530521392822
2001-10-01,6.630468368530273
2001-10-02,6.783919334411621
2001-10-03,7.1686906814575195
2001-10-04,6.8388872146606445
2001-10-05,6.889273166656494
2001-10-08,6.722079277038574
2001-10-09,6.790790557861328
2001-10-10,6.9740142822265625
2001-10-11,7.040429592132568
2001-10-12,6.854917526245117
2001-10-15,6.937368869781494
2001-10-16,6.983176231384277
2001-10-17,6.836591720581055
2001-10-18,6.7816267013549805
2001-10-19,6.905304431915283
2001-10-22,6.8251423835754395
2001-10-23,6.859498500823975
2001-10-24,6.914464473724365
2001-10-25,6.813693523406982
2001-10-26,6.898435592651367
2001-10-29,6.481597423553467
2001-10-30,6.5044989585876465
2001-10-31,6.859498500823975
2001-11-01,6.722079277038574
2001-11-02,6.577789306640625
2001-11-05,6.573207855224609
2001-11-06,6.7312397956848145
2001-11-07,6.793079853057861
2001-11-08,6.728949069976807
2001-11-09,6.7449798583984375
2001-11-12,6.8824028968811035
2001-11-13,7.0702080726623535
2001-11-14,6.9784746170043945
2001-11-15,6.788131237030029
2001-11-16,7.086258888244629
2001-11-19,7.567850112915039
2001-11-20,7.230739116668701
2001-11-21,7.017462730407715
2001-11-23,7.152765274047852
2001-11-26,7.52656888961792
2001-11-27,7.751312732696533
2001-11-28,7.281189441680908
2001-11-29,7.654995441436768
2001-11-30,7.65958309173584
2001-12-03,7.969171524047852
2001-12-04,7.9806413650512695
2001-12-05,7.969171524047852
2001-12-06,7.934777736663818
2001-12-07,7.728376388549805
2001-12-10,7.590785026550293
2001-12-11,7.448599338531494
2001-12-12,7.5655598640441895
2001-12-13,7.372921943664551
2001-12-14,6.99453067779541
2001-12-17,6.960129737854004
2001-12-18,7.028928279876709
2001-12-19,7.143595218658447
2001-12-20,7.143595218658447
2001-12-21,7.200922012329102
2001-12-24,7.320176124572754
2001-12-26,7.817814350128174
2001-12-27,7.923306465148926
2001-12-28,7.9806413650512695
2001-12-31,7.888909816741943
2002-01-02,7.744434356689453
