Date,BR
2007-03-22,13.761907577514648
2007-03-23,13.919377326965332
2007-03-26,14.152165412902832
2007-03-27,13.933065414428711
2007-03-28,13.624967575073242
2007-03-29,13.488038063049316
2007-03-30,13.488038063049316
2007-04-02,13.35794448852539
2007-04-03,13.05669116973877
2007-04-04,12.947144508361816
2007-04-05,13.268936157226562
2007-04-09,13.049844741821289
2007-04-10,13.15938949584961
2007-04-11,13.084074020385742
2007-04-12,13.145692825317383
2007-04-13,13.405875205993652
2007-04-16,13.597583770751953
2007-04-17,13.980996131896973
2007-04-18,14.159010887145996
2007-04-19,14.473959922790527
2007-04-20,14.432875633239746
2007-04-23,14.172703742980957
2007-04-24,14.11108684539795
2007-04-25,13.871447563171387
2007-04-26,13.73452091217041
2007-04-27,13.84406566619873
2007-04-30,13.720824241638184
2007-05-01,13.720824241638184
2007-05-02,13.707128524780273
2007-05-03,13.89884090423584
2007-05-04,14.227477073669434
2007-05-07,14.384952545166016
2007-05-08,14.562962532043457
2007-05-09,14.651978492736816
2007-05-10,14.46026611328125
2007-05-11,14.672514915466309
2007-05-14,14.590352058410645
2007-05-15,14.268560409545898
2007-05-16,14.03576946258545
2007-05-17,14.138470649719238
2007-05-18,14.008393287658691
2007-05-21,14.03576946258545
2007-05-22,13.960455894470215
2007-05-23,13.933065414428711
2007-05-24,13.707128524780273
2007-05-25,13.693432807922363
2007-05-29,13.693432807922363
2007-05-30,13.67289924621582
2007-05-31,13.857756614685059
2007-06-01,13.645503997802734
2007-06-04,13.590734481811523
2007-06-05,13.645503997802734
2007-06-06,13.316864967346191
2007-06-07,12.988222122192383
2007-06-08,13.10461139678955
2007-06-11,13.193629264831543
2007-06-12,13.234707832336426
2007-06-13,13.289650917053223
2007-06-14,13.241578102111816
2007-06-15,13.385797500610352
2007-06-18,13.344597816467285
2007-06-19,13.111082077026367
2007-06-20,13.12481689453125
2007-06-21,13.351461410522461
2007-06-22,13.667391777038574
2007-06-25,13.818486213684082
2007-06-26,13.667391777038574
2007-06-27,13.598711013793945
2007-06-28,13.33085823059082
2007-06-29,13.131678581237793
2007-07-02,13.2827787399292
2007-07-03,13.5437650680542
2007-07-05,13.461349487304688
2007-07-06,13.571237564086914
2007-07-09,13.96959114074707
2007-07-10,13.598711013793945
2007-07-11,13.447617530822754
2007-07-12,13.749810218811035
2007-07-13,13.660512924194336
2007-07-16,13.866568565368652
2007-07-17,13.832221984863281
2007-07-18,13.763550758361816
2007-07-19,13.92150592803955
2007-07-20,13.770408630371094
2007-07-23,13.742936134338379
2007-07-24,13.262177467346191
2007-07-25,13.145414352416992
2007-07-26,12.781413078308105
2007-07-27,12.341863632202148
2007-07-30,12.27318286895752
2007-07-31,12.080873489379883
2007-08-01,11.716872215270996
2007-08-02,11.799286842346191
2007-08-03,11.70999813079834
2007-08-06,12.067136764526367
2007-08-07,12.053400039672852
2007-08-08,12.486088752746582
2007-08-09,12.355596542358398
2007-08-10,12.58911418914795
2007-08-13,12.218233108520508
2007-08-14,12.438010215759277
2007-08-15,12.094612121582031
2007-08-16,11.984722137451172
2007-08-17,12.019061088562012
2007-08-20,11.902304649353027
2007-08-21,12.252574920654297
2007-08-22,11.620713233947754
2007-08-23,11.188031196594238
2007-08-24,12.293781280517578
2007-08-27,12.211371421813965
2007-08-28,12.087745666503906
2007-08-29,12.27318286895752
2007-08-30,12.451748847961426
2007-08-31,12.479222297668457
2007-09-04,12.712728500366211
2007-09-05,11.957254409790039
2007-09-06,11.764945030212402
2007-09-07,11.476486206054688
2007-09-10,11.99158763885498
2007-09-11,11.833624839782715
2007-09-12,12.329850196838379
2007-09-13,12.846755027770996
2007-09-14,12.853646278381348
2007-09-17,12.460801124572754
2007-09-18,12.984599113464355
2007-09-19,13.060407638549805
2007-09-20,13.198251724243164
2007-09-21,13.177568435668945
2007-09-24,12.65378189086914
2007-09-25,12.777832984924316
2007-09-26,13.012160301208496
2007-09-27,13.094866752624512
2007-09-28,13.060407638549805
2007-10-01,13.094866752624512
2007-10-02,13.039730072021484
2007-10-03,13.315408706665039
2007-10-04,13.556636810302734
2007-10-05,13.418791770935059
2007-10-08,13.391227722167969
2007-10-09,13.48082160949707
2007-10-10,13.487712860107422
2007-10-11,13.432575225830078
2007-10-12,13.494606971740723
2007-10-15,13.639337539672852
2007-10-16,13.28784465789795
2007-10-17,13.336094856262207
2007-10-18,13.632447242736816
2007-10-19,13.515280723571777
2007-10-22,13.604869842529297
2007-10-23,13.418791770935059
2007-10-24,13.411897659301758
2007-10-25,13.239598274230957
2007-10-26,13.411897659301758
2007-10-29,13.487712860107422
2007-10-30,13.618663787841797
2007-10-31,13.784075736999512
2007-11-01,13.439469337463379
2007-11-02,13.039730072021484
2007-11-05,12.722694396972656
2007-11-06,12.56418228149414
2007-11-07,14.252729415893555
2007-11-08,15.162476539611816
2007-11-09,15.26585865020752
2007-11-12,14.542194366455078
2007-11-13,14.921256065368652
2007-11-14,14.762737274169922
2007-11-15,15.286535263061523
2007-11-16,15.10045051574707
2007-11-19,15.13491153717041
2007-11-20,15.286535263061523
2007-11-21,14.776522636413574
2007-11-23,14.569758415222168
2007-11-26,14.36300277709961
2007-11-27,14.611113548278809
2007-11-28,15.210726737976074
2007-11-29,15.451947212219238
2007-11-30,15.693168640136719
2007-12-03,15.42437744140625
2007-12-04,15.803441047668457
2007-12-05,15.865471839904785
2007-12-06,16.182498931884766
2007-12-07,16.334123611450195
2007-12-10,16.49952507019043
2007-12-11,16.017087936401367
2007-12-12,16.513309478759766
2007-12-13,16.547866821289062
2007-12-14,16.388948440551758
2007-12-17,15.84311294555664
2007-12-18,15.84311294555664
2007-12-19,15.594374656677246
2007-12-20,15.691100120544434
2007-12-21,15.815472602844238
2007-12-24,15.815472602844238
2007-12-26,15.8292875289917
2007-12-27,15.670378684997559
2007-12-28,15.52528190612793
2007-12-31,15.497647285461426
2008-01-02,15.373271942138672
2008-01-03,15.642739295959473
2008-01-04,15.711843490600586
2008-01-07,15.767110824584961
2008-01-08,15.9605712890625
2008-01-09,15.926020622253418
2008-01-10,16.12639045715332
2008-01-11,16.250755310058594
2008-01-14,16.105667114257812
2008-01-15,15.801653861999512
2008-01-16,15.656558990478516
2008-01-17,15.380183219909668
2008-01-18,15.442365646362305
2008-01-22,15.048537254333496
2008-01-23,14.91035270690918
2008-01-24,15.470004081726074
2008-01-25,15.497647285461426
2008-01-28,15.179813385009766
2008-01-29,15.062357902526855
2008-01-30,14.599430084228516
2008-01-31,14.965618133544922
2008-02-01,15.559830665588379
2008-02-04,15.110725402832031
2008-02-05,15.172903060913086
2008-02-06,15.891478538513184
2008-02-07,14.861989974975586
2008-02-08,14.944900512695312
2008-02-11,14.889618873596191
2008-02-12,14.661608695983887
2008-02-13,14.647796630859375
2008-02-14,13.943049430847168
2008-02-15,13.853219032287598
2008-02-19,13.32811450958252
2008-02-20,13.445568084716797
2008-02-21,13.141560554504395
2008-02-22,13.542303085327148
