Date,TXT
2000-01-03,28.60840606689453
2000-01-04,28.131216049194336
2000-01-05,27.4631290435791
2000-01-06,27.10521697998047
2000-01-07,27.773313522338867
2000-01-10,28.10733985900879
2000-01-11,27.892610549926758
2000-01-12,27.367687225341797
2000-01-13,26.29396629333496
2000-01-14,26.29396629333496
2000-01-18,25.62589454650879
2000-01-19,24.146560668945312
2000-01-20,22.09457015991211
2000-01-21,23.048980712890625
2000-01-24,23.239856719970703
2000-01-25,23.00127410888672
2000-01-26,23.00127410888672
2000-01-27,23.192140579223633
2000-01-28,22.524059295654297
2000-01-31,22.78652000427246
2000-02-01,22.90581703186035
2000-02-02,23.550048828125
2000-02-03,23.550048828125
2000-02-04,23.57390785217285
2000-02-07,23.335304260253906
2000-02-08,23.478471755981445
2000-02-09,23.335304260253906
2000-02-10,23.263713836669922
2000-02-11,22.85809898376465
2000-02-14,22.78652000427246
2000-02-15,23.048980712890625
2000-02-16,22.762670516967773
2000-02-17,22.643348693847656
2000-02-18,22.691072463989258
2000-02-22,22.71495246887207
2000-02-23,22.83424186706543
2000-02-24,23.048980712890625
2000-02-25,22.73879623413086
2000-02-28,23.263713836669922
2000-02-29,23.28757667541504
2000-03-01,22.571775436401367
2000-03-02,21.999135971069336
2000-03-03,22.524059295654297
2000-03-06,22.022987365722656
2000-03-07,21.49807357788086
2000-03-08,21.45486831665039
2000-03-09,20.686906814575195
2000-03-10,20.182931900024414
2000-03-13,20.230932235717773
2000-03-14,19.774953842163086
2000-03-15,21.046890258789062
2000-03-16,22.774791717529297
2000-03-17,23.03877830505371
2000-03-20,23.18277931213379
2000-03-21,23.014787673950195
2000-03-22,22.99079132080078
2000-03-23,23.66274070739746
2000-03-24,22.82280158996582
2000-03-27,22.22282600402832
2000-03-28,22.414817810058594
2000-03-29,22.43880271911621
2000-03-30,23.03877830505371
2000-03-31,23.374771118164062
2000-04-03,24.5747013092041
2000-04-04,24.718700408935547
2000-04-05,23.806745529174805
2000-04-06,23.806745529174805
2000-04-07,23.398757934570312
2000-04-10,23.47076416015625
2000-04-11,23.422767639160156
2000-04-12,24.526710510253906
2000-04-13,23.878740310668945
2000-04-14,22.798799514770508
2000-04-17,22.99079132080078
2000-04-18,22.486814498901367
2000-04-19,22.270822525024414
2000-04-20,22.582805633544922
2000-04-24,23.566757202148438
2000-04-25,24.598709106445312
2000-04-26,24.19072723388672
2000-04-27,24.022735595703125
2000-04-28,23.78274154663086
2000-05-01,24.358713150024414
2000-05-02,24.238723754882812
2000-05-03,23.854736328125
2000-05-04,23.542757034301758
2000-05-05,23.90273666381836
2000-05-08,23.758737564086914
2000-05-09,23.446752548217773
2000-05-10,23.374771118164062
2000-05-11,24.286720275878906
2000-05-12,25.054672241210938
2000-05-15,24.958683013916016
2000-05-16,25.174673080444336
2000-05-17,25.006677627563477
2000-05-18,24.910688400268555
2000-05-19,24.022735595703125
2000-05-22,23.78274154663086
2000-05-23,23.926740646362305
2000-05-24,24.88669204711914
2000-05-25,24.982677459716797
2000-05-26,24.790700912475586
2000-05-30,24.47869873046875
2000-05-31,24.0947322845459
2000-06-01,23.806745529174805
2000-06-02,23.950740814208984
2000-06-05,23.854736328125
2000-06-06,24.118732452392578
2000-06-07,23.18277931213379
2000-06-08,22.72679328918457
2000-06-09,22.606807708740234
2000-06-12,22.342811584472656
2000-06-13,22.54071807861328
2000-06-14,22.033912658691406
2000-06-15,22.154579162597656
2000-06-16,21.9373836517334
2000-06-19,21.261634826660156
2000-06-20,21.02030372619629
2000-06-21,20.82723045349121
2000-06-22,20.875499725341797
2000-06-23,21.5271053314209
2000-06-26,21.551239013671875
2000-06-27,21.696041107177734
2000-06-28,21.690011978149414
2000-06-29,21.309913635253906
2000-06-30,20.972030639648438
2000-07-03,21.430578231811523
2000-07-05,22.154579162597656
2000-07-06,22.588987350463867
