Date,APA
2000-01-03,10.046663284301758
2000-01-04,9.605049133300781
2000-01-05,9.881054878234863
2000-01-06,10.819486618041992
2000-01-07,10.78268814086914
2000-01-10,10.35947036743164
2000-01-11,10.396272659301758
2000-01-12,10.341069221496582
2000-01-13,10.561873435974121
2000-01-14,10.469878196716309
2000-01-18,11.44510269165039
2000-01-19,11.371500015258789
2000-01-20,11.44510269165039
2000-01-21,11.849912643432617
2000-01-24,11.53710651397705
2000-01-25,11.66590690612793
2000-01-26,11.53710651397705
2000-01-27,11.003491401672363
2000-01-28,10.929889678955078
2000-01-31,10.745879173278809
2000-02-01,11.169095993041992
2000-02-02,11.150697708129883
2000-02-03,11.205892562866211
2000-02-04,10.893085479736328
2000-02-07,11.26109504699707
2000-02-08,10.874686241149902
2000-02-09,10.322671890258789
2000-02-10,10.78268814086914
2000-02-11,10.525077819824219
2000-02-14,11.11389446258545
2000-02-15,11.776311874389648
2000-02-16,11.813114166259766
2000-02-17,11.592306137084961
2000-02-18,11.003491401672363
2000-02-22,10.745879173278809
2000-02-23,10.469878196716309
2000-02-24,9.862658500671387
2000-02-25,9.623453140258789
2000-02-28,10.083460807800293
2000-02-29,10.745879173278809
2000-03-01,10.561873435974121
2000-03-02,11.095494270324707
2000-03-03,11.187494277954102
2000-03-06,11.518699645996094
2000-03-07,12.641133308410645
2000-03-08,12.457130432128906
2000-03-09,12.217925071716309
2000-03-10,11.997112274169922
2000-03-13,12.125917434692383
2000-03-14,12.1627197265625
2000-03-15,11.849912643432617
2000-03-16,12.457130432128906
2000-03-17,12.10751724243164
2000-03-20,11.923515319824219
2000-03-21,12.236322402954102
2000-03-22,12.733126640319824
2000-03-23,12.567525863647461
2000-03-24,12.567525863647461
2000-03-27,12.5491304397583
2000-03-28,13.045944213867188
2000-03-29,14.080212593078613
2000-03-30,14.596242904663086
2000-03-31,14.669962882995605
2000-04-03,14.411949157714844
2000-04-04,14.09864330291748
2000-04-05,13.748483657836914
2000-04-06,14.209214210510254
2000-04-07,14.37507438659668
2000-04-10,13.693190574645996
2000-04-11,14.246077537536621
2000-04-12,14.743678092956543
2000-04-13,14.504091262817383
2000-04-14,14.172358512878418
2000-04-17,13.343024253845215
2000-04-18,13.711625099182129
2000-04-19,14.301366806030273
2000-04-20,13.951201438903809
2000-04-24,14.448808670043945
2000-04-25,14.117074966430664
2000-04-26,14.172358512878418
2000-04-27,14.117074966430664
2000-04-28,14.282937049865723
2000-05-01,14.835826873779297
2000-05-02,14.927971839904785
2000-05-03,14.485658645629883
2000-05-04,15.702013969421387
2000-05-05,16.51291847229004
2000-05-08,16.881511688232422
2000-05-09,16.51291847229004
2000-05-10,16.51291847229004
2000-05-11,17.010515213012695
2000-05-12,17.581830978393555
2000-05-15,17.54497528076172
2000-05-16,17.010515213012695
2000-05-17,17.360673904418945
2000-05-18,17.84906768798828
2000-05-19,17.360673904418945
