Date,CAG
2000-01-03,6.681649208068848
2000-01-04,6.553856372833252
2000-01-05,6.444324016571045
2000-01-06,6.626883506774902
2000-01-07,6.772928237915039
2000-01-10,6.718161106109619
2000-01-11,6.937232971191406
2000-01-12,6.9554877281188965
2000-01-13,6.754676342010498
2000-01-14,6.535603046417236
2000-01-18,6.553856372833252
2000-01-19,6.645136833190918
2000-01-20,6.736419677734375
2000-01-21,6.754676342010498
2000-01-24,6.572116851806641
2000-01-25,6.407812118530273
2000-01-26,6.265257358551025
2000-01-27,6.209977149963379
2000-01-28,6.099416255950928
2000-01-31,6.320540904998779
2000-02-01,6.209977149963379
2000-02-02,5.970422744750977
2000-02-03,6.062559604644775
2000-02-04,6.19155216217041
2000-02-07,6.044134140014648
2000-02-08,6.062559604644775
2000-02-09,5.859859943389893
2000-02-10,5.62030553817749
2000-02-11,5.565025329589844
2000-02-14,5.47288703918457
2000-02-15,5.47288703918457
2000-02-16,5.380754470825195
2000-02-17,5.2701897621154785
2000-02-18,5.2701897621154785
2000-02-22,5.2701897621154785
2000-02-23,4.975353240966797
2000-02-24,4.827934741973877
2000-02-25,4.7542243003845215
2000-02-28,4.8463640213012695
2000-02-29,4.827934741973877
2000-03-01,4.938497543334961
2000-03-02,4.7542243003845215
2000-03-03,4.791081428527832
2000-03-06,4.717373371124268
2000-03-07,4.569953441619873
2000-03-08,4.662088394165039
2000-03-09,4.662088394165039
2000-03-10,4.606808185577393
2000-03-13,4.569953441619873
2000-03-14,4.606808185577393
2000-03-15,4.606808185577393
2000-03-16,5.030635356903076
2000-03-17,5.012206077575684
2000-03-20,5.159626007080078
2000-03-21,5.214906692504883
2000-03-22,5.233333587646484
2000-03-23,5.085916996002197
2000-03-24,4.8463640213012695
2000-03-27,4.717373371124268
2000-03-28,4.643661022186279
2000-03-29,4.901641845703125
2000-03-30,5.380754470825195
2000-03-31,5.343897342681885
2000-04-03,5.491316795349121
2000-04-04,5.583451747894287
2000-04-05,5.62030553817749
2000-04-06,5.546597957611084
2000-04-07,5.52816915512085
2000-04-10,5.436033248901367
2000-04-11,5.712441444396973
2000-04-12,5.859859943389893
2000-04-13,5.89671516418457
2000-04-14,5.657159805297852
2000-04-17,5.712441444396973
2000-04-18,5.7308735847473145
2000-04-19,5.601878643035889
2000-04-20,5.583451747894287
2000-04-24,5.841431140899658
2000-04-25,5.859859943389893
2000-04-26,5.902008056640625
2000-04-27,5.790304660797119
2000-04-28,5.622738838195801
2000-05-01,5.864775657653809
2000-05-02,5.790304660797119
2000-05-03,6.088191986083984
2000-05-04,6.181285381317139
2000-05-05,6.125434398651123
2000-05-08,6.237141132354736
2000-05-09,6.460564613342285
2000-05-10,6.386087417602539
2000-05-11,6.367467403411865
2000-05-12,6.460564613342285
2000-05-15,6.386087417602539
2000-05-16,6.479179382324219
2000-05-17,6.367467403411865
2000-05-18,6.348851203918457
2000-05-19,6.367467403411865
2000-05-22,6.6095099449157715
2000-05-23,6.6839799880981445
2000-05-24,6.795690059661865
2000-05-25,6.795690059661865
2000-05-26,6.832930088043213
2000-05-30,6.981876373291016
2000-05-31,6.870167255401611
2000-06-01,6.888784885406494
2000-06-02,6.55365514755249
2000-06-05,6.535035610198975
2000-06-06,6.367467403411865
2000-06-07,6.497802734375
2000-06-08,6.460564613342285
2000-06-09,6.404708385467529
2000-06-12,6.4419426918029785
2000-06-13,6.4233222007751465
2000-06-14,6.460564613342285
2000-06-15,6.4233222007751465
2000-06-16,6.311616897583008
2000-06-19,6.255762577056885
2000-06-20,6.050961971282959
2000-06-21,5.920626163482666
2000-06-22,5.920626163482666
2000-06-23,5.511026382446289
2000-06-26,5.883395195007324
2000-06-27,5.920626163482666
2000-06-28,5.906666278839111
2000-06-29,5.8461594581604
2000-06-30,5.678591251373291
2000-07-03,5.808920860290527
2000-07-05,6.050961971282959
2000-07-06,6.367467403411865
2000-07-07,6.330234527587891
2000-07-10,6.274377822875977
2000-07-11,6.330234527587891
2000-07-12,6.237141132354736
2000-07-13,6.292995929718018
2000-07-14,6.255762577056885
2000-07-17,6.199903964996338
2000-07-18,6.330234527587891
2000-07-19,6.330234527587891
2000-07-20,6.404708385467529
2000-07-21,6.367467403411865
2000-07-24,6.330234527587891
2000-07-25,6.330234527587891
2000-07-26,6.237141132354736
2000-07-27,6.279706001281738
2000-07-28,6.204503059387207
2000-07-31,6.148096084594727
2000-08-01,6.354913711547852
2000-08-02,6.486523151397705
2000-08-03,6.524129867553711
2000-08-04,6.336112022399902
2000-08-07,6.22330379486084
2000-08-08,6.148096084594727
2000-08-09,6.091693878173828
2000-08-10,5.997684001922607
2000-08-11,6.0352911949157715
2000-08-14,5.941281795501709
2000-08-15,5.828472137451172
2000-08-16,5.9788818359375
2000-08-17,5.997684001922607
2000-08-18,6.002386093139648
2000-08-21,6.0352911949157715
2000-08-22,5.9788818359375
2000-08-23,5.922477722167969
