Date,EMR
2000-01-03,14.082911491394043
2000-01-04,13.914711952209473
2000-01-05,14.17464828491211
2000-01-06,14.572216987609863
2000-01-07,15.22972297668457
2000-01-10,14.434601783752441
2000-01-11,14.404021263122559
2000-01-12,14.602797508239746
2000-01-13,15.046234130859375
2000-01-14,14.908624649047852
2000-01-18,14.725130081176758
2000-01-19,15.09211540222168
2000-01-20,14.786284446716309
2000-01-21,14.694546699523926
2000-01-24,14.220524787902832
2000-01-25,13.991166114807129
2000-01-26,13.822957992553711
2000-01-27,13.624189376831055
2000-01-28,13.70063591003418
2000-01-31,13.471270561218262
2000-02-01,13.364241600036621
2000-02-02,13.08900260925293
2000-02-03,13.241910934448242
2000-02-04,12.660856246948242
2000-02-07,12.217415809631348
2000-02-08,12.202130317687988
2000-02-09,11.743408203125
2000-02-10,11.422297477722168
2000-02-11,11.34583854675293
2000-02-14,11.34583854675293
2000-02-15,11.712823867797852
2000-02-16,12.047565460205078
2000-02-17,12.170812606811523
2000-02-18,12.32487964630127
2000-02-22,12.232438087463379
2000-02-23,11.970536231994629
2000-02-24,11.939722061157227
2000-02-25,11.739452362060547
2000-02-28,11.462136268615723
2000-02-29,11.231039047241211
2000-03-01,10.999950408935547
2000-03-02,10.861295700073242
2000-03-03,10.753451347351074
2000-03-06,10.352897644042969
2000-03-07,10.322087287902832
2000-03-08,10.41451644897461
2000-03-09,10.229647636413574
2000-03-10,10.137205123901367
2000-03-13,10.476146697998047
2000-03-14,10.429924964904785
2000-03-15,10.676423072814941
2000-03-16,11.277262687683105
2000-03-17,11.092387199401855
2000-03-20,11.569975852966309
2000-03-21,11.369696617126465
2000-03-22,11.184820175170898
2000-03-23,11.539158821105957
2000-03-24,11.647004127502441
2000-03-27,11.585383415222168
2000-03-28,11.63159465789795
2000-03-29,12.0013427734375
2000-03-30,13.125992774963379
2000-03-31,13.095181465148926
2000-04-03,13.06436538696289
2000-04-04,13.649799346923828
2000-04-05,13.464930534362793
2000-04-06,13.557363510131836
2000-04-07,13.511146545410156
2000-04-10,13.526545524597168
2000-04-11,14.050360679626465
2000-04-12,13.927103996276855
2000-04-13,14.050360679626465
2000-04-14,13.387898445129395
2000-04-17,13.572765350341797
2000-04-18,13.341675758361816
2000-04-19,12.89489459991455
2000-04-20,12.956523895263672
2000-04-24,13.280055046081543
2000-04-25,13.850069999694824
2000-04-26,13.418702125549316
2000-04-27,13.464930534362793
2000-04-28,13.526545524597168
2000-05-01,13.742238998413086
2000-05-02,13.665203094482422
2000-05-03,13.233840942382812
2000-05-04,13.372488021850586
2000-05-05,13.418702125549316
2000-05-08,13.603581428527832
2000-05-09,13.742238998413086
2000-05-10,13.629478454589844
2000-05-11,13.8465576171875
2000-05-12,13.908581733703613
2000-05-15,14.125658988952637
2000-05-16,14.420266151428223
2000-05-17,14.11015510559082
2000-05-18,14.156675338745117
2000-05-19,14.1721830368042
2000-05-22,14.1721830368042
2000-05-23,14.389252662658691
2000-05-24,14.668362617492676
2000-05-25,14.85443115234375
2000-05-26,14.668362617492676
2000-05-30,14.69937515258789
2000-05-31,14.637347221374512
2000-06-01,15.133524894714355
2000-06-02,15.505668640136719
2000-06-05,14.885437965393066
2000-06-06,14.916447639465332
2000-06-07,14.869928359985352
2000-06-08,14.606335639953613
2000-06-09,14.65285587310791
2000-06-12,14.637347221374512
2000-06-13,14.900947570800781
2000-06-14,14.420266151428223
2000-06-15,14.234201431274414
2000-06-16,14.265214920043945
2000-06-19,14.420266151428223
2000-06-20,14.823408126831055
2000-06-21,14.730380058288574
2000-06-22,14.900947570800781
2000-06-23,15.152911186218262
2000-06-26,15.676215171813965
2000-06-27,15.963078498840332
2000-06-28,15.800281524658203
2000-06-29,15.629711151123047
2000-06-30,14.978473663330078
2000-07-03,15.08700942993164
2000-07-05,15.257573127746582
2000-07-06,15.288581848144531
2000-07-07,15.211058616638184
2000-07-10,15.676215171813965
2000-07-11,15.877796173095703
2000-07-12,16.032861709594727
2000-07-13,15.78476619720459
2000-07-14,15.753752708435059
2000-07-17,15.2963285446167
2000-07-18,15.2188081741333
2000-07-19,15.280831336975098
2000-07-20,16.05611228942871
2000-07-21,16.15690040588379
2000-07-24,16.125885009765625
2000-07-25,16.2576847076416
2000-07-26,15.738252639770508
2000-07-27,16.063871383666992
2000-07-28,15.257573127746582
2000-07-31,15.257573127746582
2000-08-01,15.443641662597656
2000-08-02,15.676215171813965
2000-08-03,15.366114616394043
2000-08-04,15.474652290344238
2000-08-07,16.141393661499023
2000-08-08,16.715103149414062
2000-08-09,16.835573196411133
2000-08-10,16.773212432861328
2000-08-11,17.272050857543945
2000-08-14,17.505874633789062
2000-08-15,16.9446964263916
2000-08-16,16.835573196411133
2000-08-17,17.00704002380371
2000-08-18,16.913516998291016
2000-08-21,17.1473445892334
2000-08-22,16.929096221923828
2000-08-23,16.913516998291016
2000-08-24,17.022632598876953
2000-08-25,17.225282669067383
2000-08-28,17.39674949645996
2000-08-29,16.835573196411133
2000-08-30,16.539390563964844
2000-08-31,16.512117385864258
2000-09-01,16.539390563964844
2000-09-05,16.9446964263916
2000-09-06,17.365589141845703
2000-09-07,16.96027374267578
2000-09-08,16.929096221923828
2000-09-11,16.929096221923828
2000-09-12,16.52379608154297
2000-09-13,16.445865631103516
2000-09-14,16.430269241333008
2000-09-15,16.2120304107666
2000-09-18,15.448197364807129
2000-09-19,15.027307510375977
2000-09-20,14.840245246887207
2000-09-21,14.614217758178711
2000-09-22,15.214366912841797
2000-09-25,15.650848388671875
2000-09-26,16.36012077331543
2000-09-27,16.430269241333008
2000-09-28,16.554975509643555
2000-09-29,16.71087074279785
2000-10-02,16.757631301879883
2000-10-03,16.897930145263672
2000-10-04,16.617328643798828
2000-10-05,16.586153030395508
2000-10-06,16.274381637573242
2000-10-09,16.05614471435547
2000-10-10,16.071735382080078
2000-10-11,15.526129722595215
2000-10-12,15.588492393493652
2000-10-13,16.165266036987305
2000-10-16,16.617328643798828
2000-10-17,16.492626190185547
2000-10-18,16.11850357055664
2000-10-19,16.586153030395508
