Date,O
2000-01-03,2.3223788738250732
2000-01-04,2.2943968772888184
2000-01-05,2.280407190322876
2000-01-06,2.308387041091919
2000-01-07,2.350358486175537
2000-01-10,2.392328977584839
2000-01-11,2.399322509765625
2000-01-12,2.4133129119873047
2000-01-13,2.4133129119873047
2000-01-14,2.4273035526275635
2000-01-18,2.462280035018921
2000-01-19,2.4412944316864014
2000-01-20,2.4342994689941406
2000-01-21,2.4273035526275635
2000-01-24,2.4342994689941406
2000-01-25,2.4552841186523438
2000-01-26,2.4063191413879395
2000-01-27,2.4482905864715576
2000-01-28,2.4474427700042725
2000-01-31,2.398070812225342
2000-02-01,2.4403905868530273
2000-02-02,2.4333367347717285
2000-02-03,2.4403905868530273
2000-02-04,2.4333367347717285
2000-02-07,2.4262852668762207
2000-02-08,2.412177324295044
2000-02-09,2.4262852668762207
2000-02-10,2.4051265716552734
2000-02-11,2.4051265716552734
2000-02-14,2.376910924911499
2000-02-15,2.398070812225342
2000-02-16,2.376910924911499
2000-02-17,2.4262852668762207
2000-02-18,2.412177324295044
2000-02-22,2.398070812225342
2000-02-23,2.3910181522369385
2000-02-24,2.383964776992798
2000-02-25,2.376910924911499
2000-02-28,2.3689422607421875
2000-02-29,2.3689422607421875
2000-03-01,2.3618316650390625
2000-03-02,2.3760576248168945
2000-03-03,2.3618316650390625
2000-03-06,2.4045135974884033
2000-03-07,2.347602605819702
2000-03-08,2.3831706047058105
2000-03-09,2.347602605819702
2000-03-10,2.3547184467315674
2000-03-13,2.3333740234375
2000-03-14,2.304919719696045
2000-03-15,2.297806739807129
2000-03-16,2.3760576248168945
2000-03-17,2.418740749359131
2000-03-20,2.390287399291992
2000-03-21,2.3689422607421875
2000-03-22,2.3618316650390625
2000-03-23,2.3760576248168945
2000-03-24,2.347602605819702
2000-03-27,2.3689422607421875
2000-03-28,2.347602605819702
2000-03-29,2.3547184467315674
2000-03-30,2.3252625465393066
2000-03-31,2.210432529449463
2000-04-03,2.2822024822235107
2000-04-04,2.2965571880340576
2000-04-05,2.318087100982666
2000-04-06,2.3252625465393066
2000-04-07,2.3467936515808105
2000-04-10,2.361147165298462
2000-04-11,2.318087100982666
2000-04-12,2.3683249950408936
2000-04-13,2.361147165298462
2000-04-14,2.4042067527770996
2000-04-17,2.3683249950408936
2000-04-18,2.3826770782470703
2000-04-19,2.4042067527770996
2000-04-20,2.411384105682373
2000-04-24,2.4400908946990967
2000-04-25,2.4472687244415283
2000-04-26,2.468797445297241
2000-04-27,2.4825186729431152
2000-04-28,2.525947093963623
2000-05-01,2.5404224395751953
2000-05-02,2.53318452835083
2000-05-03,2.4752843379974365
2000-05-04,2.4969983100891113
2000-05-05,2.5404224395751953
2000-05-08,2.5187103748321533
2000-05-09,2.5476608276367188
2000-05-10,2.5766074657440186
2000-05-11,2.6055634021759033
2000-05-12,2.6489880084991455
2000-05-15,2.65622615814209
2000-05-16,2.65622615814209
2000-05-17,2.6127989292144775
2000-05-18,2.6127989292144775
2000-05-19,2.6055634021759033
2000-05-22,2.6489880084991455
2000-05-23,2.6489880084991455
2000-05-24,2.7141270637512207
2000-05-25,2.7141270637512207
2000-05-26,2.786503553390503
2000-05-30,2.7565722465515137
2000-05-31,2.7565722465515137
2000-06-01,2.7274036407470703
2000-06-02,2.763866662979126
2000-06-05,2.7565722465515137
2000-06-06,2.7565722465515137
2000-06-07,2.7419872283935547
2000-06-08,2.7201120853424072
2000-06-09,2.7419872283935547
2000-06-12,2.7419872283935547
2000-06-13,2.763866662979126
2000-06-14,2.7930383682250977
2000-06-15,2.800330877304077
2000-06-16,2.800330877304077
