Date,FE
2000-01-03,6.785650253295898
2000-01-04,6.785650253295898
2000-01-05,7.035543441772461
2000-01-06,7.054766654968262
2000-01-07,7.09321403503418
2000-01-10,7.112436294555664
2000-01-11,7.189328193664551
2000-01-12,7.208547592163086
2000-01-13,7.189328193664551
2000-01-14,7.15087890625
2000-01-18,7.035543441772461
2000-01-19,7.016321659088135
2000-01-20,6.997098445892334
2000-01-21,7.0739898681640625
2000-01-24,7.112436294555664
2000-01-25,7.016321659088135
2000-01-26,7.112436294555664
2000-01-27,7.112436294555664
2000-01-28,6.977874755859375
2000-01-31,6.997098445892334
2000-02-01,7.054766654968262
2000-02-02,7.035543441772461
2000-02-03,7.152802467346191
2000-02-04,6.976914882659912
2000-02-07,6.879200458526611
2000-02-08,6.918286323547363
2000-02-09,6.976914882659912
2000-02-10,6.879200458526611
2000-02-11,6.7814812660217285
2000-02-14,6.761938571929932
2000-02-15,6.761938571929932
2000-02-16,6.761938571929932
2000-02-17,6.566506862640381
2000-02-18,6.390620231628418
2000-02-22,6.273359298706055
2000-02-23,6.292901515960693
2000-02-24,6.117016315460205
2000-02-25,5.941125869750977
2000-02-28,5.999758243560791
2000-02-29,5.7847795486450195
2000-03-01,5.941125869750977
2000-03-02,5.921583652496338
2000-03-03,5.999758243560791
2000-03-06,5.7847795486450195
2000-03-07,5.687063217163086
2000-03-08,5.687063217163086
2000-03-09,5.7847795486450195
2000-03-10,5.726152420043945
2000-03-13,5.687063217163086
2000-03-14,5.745692729949951
2000-03-15,5.960670471191406
2000-03-16,6.292901515960693
2000-03-17,6.097473621368408
2000-03-20,6.117016315460205
2000-03-21,6.195187568664551
2000-03-22,6.097473621368408
2000-03-23,6.097473621368408
2000-03-24,6.234274387359619
2000-03-27,6.273359298706055
2000-03-28,6.195187568664551
2000-03-29,6.292901515960693
2000-03-30,6.429706573486328
2000-03-31,6.449249744415283
2000-04-03,6.5860514640808105
2000-04-04,6.703310489654541
2000-04-05,6.879200458526611
2000-04-06,6.840114116668701
2000-04-07,6.761938571929932
2000-04-10,6.8205718994140625
2000-04-11,6.957371234893799
2000-04-12,7.191889762878418
2000-04-13,7.621838092803955
2000-04-14,7.563211441040039
2000-04-17,7.758645057678223
2000-04-18,7.875896453857422
2000-04-19,7.719557762145996
2000-04-20,7.641377925872803
2000-04-24,8.051791191101074
2000-04-25,8.188591003417969
2000-04-26,8.364482879638672
2000-04-27,8.071333885192871
2000-04-28,7.954076290130615
2000-05-01,7.895444393157959
2000-05-02,7.836813449859619
2000-05-03,7.7772932052612305
2000-05-04,7.737614154815674
2000-05-05,7.59873628616333
2000-05-08,7.7574567794799805
2000-05-09,7.737614154815674
2000-05-10,7.737614154815674
2000-05-11,7.7971367835998535
2000-05-12,7.658255100250244
2000-05-15,7.836813449859619
2000-05-16,7.7971367835998535
2000-05-17,7.539218902587891
2000-05-18,7.7574567794799805
2000-05-19,7.856651306152344
2000-05-22,7.975693225860596
2000-05-23,7.896333694458008
2000-05-24,7.955854892730713
2000-05-25,7.936014175415039
2000-05-26,8.0352144241333
2000-05-30,7.955854892730713
2000-05-31,7.975693225860596
2000-06-01,7.975693225860596
2000-06-02,7.836813449859619
2000-06-05,7.559054851531982
2000-06-06,7.717772483825684
2000-06-07,7.7772932052612305
2000-06-08,7.7772932052612305
2000-06-09,7.856651306152344
2000-06-12,7.9161763191223145
2000-06-13,8.015375137329102
2000-06-14,7.836813449859619
2000-06-15,8.015375137329102
2000-06-16,8.0352144241333
2000-06-19,7.936014175415039
2000-06-20,7.896333694458008
2000-06-21,7.856651306152344
2000-06-22,7.8169732093811035
2000-06-23,7.7574567794799805
2000-06-26,7.936014175415039
2000-06-27,7.737614154815674
2000-06-28,7.955854892730713
2000-06-29,7.697937488555908
2000-06-30,7.420174598693848
2000-07-03,7.6384124755859375
2000-07-05,7.578895092010498
2000-07-06,7.618575096130371
2000-07-07,7.717772483825684
2000-07-10,7.7574567794799805
2000-07-11,7.87649393081665
2000-07-12,7.7971367835998535
2000-07-13,7.717772483825684
2000-07-14,7.658255100250244
2000-07-17,7.717772483825684
2000-07-18,7.7971367835998535
2000-07-19,8.074895858764648
2000-07-20,8.0352144241333
2000-07-21,8.015375137329102
2000-07-24,7.955854892730713
2000-07-25,7.9955339431762695
2000-07-26,7.896333694458008
2000-07-27,7.9955339431762695
2000-07-28,7.975693225860596
2000-07-31,8.094738006591797
2000-08-01,8.531218528747559
2000-08-02,8.531218528747559
2000-08-03,8.677095413208008
2000-08-04,8.672064781188965
2000-08-07,8.174073219299316
2000-08-08,8.148920059204102
2000-08-09,8.123771667480469
2000-08-10,8.093587875366211
2000-08-11,8.234434127807617
2000-08-14,8.189164161682129
2000-08-15,8.229408264160156
2000-08-16,8.11370849609375
2000-08-17,8.008075714111328
2000-08-18,7.887348651885986
2000-08-21,7.706267356872559
2000-08-22,7.645906448364258
2000-08-23,7.686145782470703
2000-08-24,7.545297145843506
2000-08-25,7.384331226348877
2000-08-28,7.62578010559082
2000-08-29,7.645906448364258
2000-08-30,7.706267356872559
2000-08-31,7.972865581512451
2000-09-01,8.033226013183594
2000-09-05,8.209284782409668
2000-09-06,8.249524116516113
2000-09-07,8.269645690917969
2000-09-08,8.521156311035156
2000-09-11,8.636846542358398
2000-09-12,8.631817817687988
2000-09-13,8.853148460388184
2000-09-14,8.772666931152344
2000-09-15,8.83806037902832
2000-09-18,8.787753105163574
2000-09-19,8.490973472595215
2000-09-20,8.330007553100586
2000-09-21,8.350125312805176
2000-09-22,8.490973472595215
2000-09-25,8.350125312805176
2000-09-26,8.53121566772461
2000-09-27,8.636846542358398
2000-09-28,8.692184448242188
2000-09-29,8.677095413208008
2000-10-02,8.953757286071777
2000-10-03,8.53121566772461
2000-10-04,8.309886932373047
2000-10-05,8.128800392150879
2000-10-06,8.128800392150879
2000-10-09,8.108675003051758
2000-10-10,8.309886932373047
2000-10-11,8.309886932373047
2000-10-12,8.189164161682129
2000-10-13,8.249524116516113
2000-10-16,8.350125312805176
2000-10-17,8.229408264160156
2000-10-18,8.048315048217773
2000-10-19,8.148920059204102
2000-10-20,8.189164161682129
2000-10-23,8.189164161682129
2000-10-24,8.249524116516113
2000-10-25,8.088557243347168
2000-10-26,7.92758846282959
2000-10-27,8.108675003051758
2000-10-30,8.350125312805176
2000-10-31,8.330007553100586
2000-11-01,8.390372276306152
2000-11-02,8.330007553100586
2000-11-03,8.207510948181152
2000-11-06,8.309592247009277
2000-11-07,8.248344421386719
2000-11-08,8.330007553100586
2000-11-09,8.513760566711426
2000-11-10,8.534175872802734
2000-11-13,8.615840911865234
2000-11-14,8.595428466796875
2000-11-15,8.717927932739258
2000-11-16,9.024173736572266
2000-11-17,9.126256942749023
2000-11-20,9.105842590332031
2000-11-21,9.065011024475098
2000-11-22,9.065011024475098
2000-11-24,9.105842590332031
2000-11-27,9.248761177062988
2000-11-28,9.330422401428223
2000-11-29,9.595845222473145
2000-11-30,9.636677742004395
2000-12-01,9.759178161621094
2000-12-04,9.922513961791992
2000-12-05,9.902091026306152
2000-12-06,9.840842247009277
2000-12-07,9.840842247009277
2000-12-08,9.820425987243652
2000-12-11,9.697928428649902
2000-12-12,9.861262321472168
2000-12-13,10.167509078979492
2000-12-14,9.983757972717285
2000-12-15,9.759178161621094
2000-12-18,9.820425987243652
2000-12-19,9.861262321472168
2000-12-20,9.942925453186035
2000-12-21,10.126676559448242
2000-12-22,10.147095680236816
2000-12-26,10.412511825561523
2000-12-27,10.412511825561523
2000-12-28,10.37167739868164
2000-12-29,10.310429573059082
2001-01-02,10.00417423248291
2001-01-03,9.800010681152344
2001-01-04,9.248761177062988
2001-01-05,9.187511444091797
2001-01-08,9.187511444091797
2001-01-09,9.126256942749023
2001-01-10,9.044593811035156
2001-01-11,8.5750093460083
2001-01-12,8.7791748046875
2001-01-16,8.5750093460083
2001-01-17,8.432088851928711
2001-01-18,8.8200101852417
2001-01-19,9.024173736572266
2001-01-22,9.371262550354004
2001-01-23,9.310009956359863
2001-01-24,9.167093276977539
2001-01-25,9.146675109863281
2001-01-26,9.08542537689209
