Date,CSCO
2000-01-03,34.77256774902344
2000-01-04,32.82176971435547
2000-01-05,32.72120666503906
2000-01-06,32.178218841552734
2000-01-07,34.06867980957031
2000-01-10,35.335689544677734
2000-01-11,34.269798278808594
2000-01-12,33.40500259399414
2000-01-13,34.16923141479492
2000-01-14,34.611690521240234
2000-01-18,36.03958511352539
2000-01-19,36.14015197753906
2000-01-20,36.16025924682617
2000-01-21,37.08538818359375
2000-01-24,35.09435272216797
2000-01-25,36.079811096191406
2000-01-26,34.49101257324219
2000-01-27,34.31000900268555
2000-01-28,33.425106048583984
2000-01-31,35.235137939453125
2000-02-01,37.909942626953125
2000-02-02,36.6429328918457
2000-02-03,37.909942626953125
2000-02-04,38.97584533691406
2000-02-07,40.283084869384766
2000-02-08,40.48419952392578
2000-02-09,41.44955062866211
2000-02-10,43.74224090576172
2000-02-11,42.13334274291992
2000-02-14,41.9925537109375
2000-02-15,41.18810272216797
2000-02-16,40.92163848876953
2000-02-17,41.9925537109375
2000-02-18,40.48419952392578
2000-02-22,39.88086700439453
2000-02-23,44.60704803466797
2000-02-24,44.16458511352539
2000-02-25,42.71656036376953
2000-02-28,42.01266098022461
2000-02-29,42.53555679321289
2000-03-01,42.37467956542969
2000-03-02,42.71656036376953
2000-03-03,44.22492599487305
2000-03-06,43.802589416503906
2000-03-07,42.49534606933594
2000-03-08,42.59590530395508
2000-03-09,44.828250885009766
2000-03-10,43.883026123046875
2000-03-13,43.82270812988281
2000-03-14,42.394779205322266
2000-03-15,41.38921356201172
2000-03-16,42.369651794433594
2000-03-17,43.440574645996094
2000-03-20,43.159027099609375
2000-03-21,45.326019287109375
2000-03-22,46.45729446411133
2000-03-23,50.07734680175781
2000-03-24,51.082908630371094
2000-03-27,51.52535629272461
2000-03-28,50.1175537109375
2000-03-29,48.95109558105469
2000-03-30,47.38241195678711
2000-03-31,49.75555419921875
2000-04-03,46.93996810913086
2000-04-04,47.060646057128906
2000-04-05,46.41706848144531
2000-04-06,46.215938568115234
2000-04-07,48.22708511352539
2000-04-10,46.69862747192383
2000-04-11,45.049495697021484
2000-04-12,41.83167266845703
2000-04-13,39.337860107421875
2000-04-14,36.68315124511719
2000-04-17,42.79701232910156
2000-04-18,44.566829681396484
2000-04-19,42.5556640625
2000-04-20,41.91212463378906
2000-04-24,40.82611846923828
2000-04-25,42.4752311706543
2000-04-26,42.95790100097656
2000-04-27,44.40593719482422
2000-04-28,44.61709976196289
2000-05-01,45.97462844848633
2000-05-02,43.76234817504883
2000-05-03,42.515445709228516
2000-05-04,40.946754455566406
2000-05-05,43.60146713256836
2000-05-08,40.383644104003906
2000-05-09,40.383644104003906
2000-05-10,37.64850616455078
2000-05-11,38.77473831176758
2000-05-12,38.5736198425293
2000-05-15,38.61384582519531
2000-05-16,38.97584533691406
2000-05-17,37.32670593261719
2000-05-18,35.63737487792969
2000-05-19,34.39045333862305
2000-05-22,35.55691909790039
2000-05-23,32.530155181884766
2000-05-24,35.47648239135742
2000-05-25,35.074256896972656
2000-05-26,35.35581970214844
2000-05-30,38.53339385986328
2000-05-31,36.6429328918457
2000-06-01,39.21718215942383
2000-06-02,41.42943572998047
2000-06-05,40.70542907714844
2000-06-06,39.458526611328125
2000-06-07,40.46409225463867
2000-06-08,40.98698425292969
2000-06-09,41.42943572998047
2000-06-12,39.98142623901367
2000-06-13,41.83167266845703
2000-06-14,41.95233154296875
2000-06-15,42.79701232910156
2000-06-16,43.641693115234375
2000-06-19,44.365718841552734
2000-06-20,43.19926071166992
2000-06-21,43.40035629272461
2000-06-22,41.550106048583984
2000-06-23,40.30320358276367
2000-06-26,40.42386245727539
2000-06-27,40.061866760253906
2000-06-28,40.90654754638672
2000-06-29,39.378089904785156
2000-06-30,40.90654754638672
2000-07-03,41.590335845947266
2000-07-05,39.820526123046875
2000-07-06,41.670772552490234
2000-07-07,42.072998046875
2000-07-10,40.62499237060547
2000-07-11,39.98142623901367
2000-07-12,41.1076545715332
2000-07-13,41.9925537109375
2000-07-14,43.923240661621094
2000-07-17,44.80813980102539
2000-07-18,43.279701232910156
2000-07-19,42.99811553955078
2000-07-20,44.72771072387695
2000-07-21,43.84281539916992
2000-07-24,42.515445709228516
2000-07-25,43.84281539916992
2000-07-26,44.124366760253906
2000-07-27,43.76234817504883
2000-07-28,40.42386245727539
2000-07-31,42.113224029541016
2000-08-01,40.66521072387695
2000-08-02,39.21718215942383
2000-08-03,41.42943572998047
2000-08-04,42.19367599487305
2000-08-07,42.6361083984375
2000-08-08,42.153438568115234
2000-08-09,43.641693115234375
2000-08-10,40.7858772277832
2000-08-11,41.38921356201172
2000-08-14,41.50989532470703
2000-08-15,40.66521072387695
2000-08-16,40.58475112915039
2000-08-17,40.82611846923828
2000-08-18,40.86632537841797
2000-08-21,42.153438568115234
2000-08-22,41.71099090576172
2000-08-23,43.23945617675781
2000-08-24,42.79701232910156
2000-08-25,42.153438568115234
2000-08-28,42.515445709228516
2000-08-29,42.83722686767578
2000-08-30,42.83722686767578
2000-08-31,44.16458511352539
2000-09-01,44.124366760253906
2000-09-05,42.4752311706543
2000-09-06,41.34899139404297
2000-09-07,42.6361083984375
2000-09-08,41.1076545715332
2000-09-11,39.378089904785156
2000-09-12,37.88983154296875
2000-09-13,39.458526611328125
2000-09-14,39.41828918457031
2000-09-15,40.383644104003906
2000-09-18,38.654075622558594
2000-09-19,39.90098190307617
2000-09-20,40.62499237060547
2000-09-21,39.337860107421875
2000-09-22,38.81494903564453
2000-09-25,36.80381774902344
2000-09-26,35.51670455932617
2000-09-27,36.8842658996582
2000-09-28,38.251827239990234
2000-09-29,35.55691909790039
2000-10-02,35.717803955078125
2000-10-03,36.20049285888672
2000-10-04,37.688720703125
2000-10-05,37.045162200927734
2000-10-06,36.16025924682617
2000-10-09,34.55136489868164
2000-10-10,32.90222930908203
2000-10-11,32.94243621826172
2000-10-12,32.05754089355469
2000-10-13,36.079811096191406
2000-10-16,35.074256896972656
2000-10-17,35.114479064941406
2000-10-18,33.626220703125
2000-10-19,37.487606048583984
2000-10-20,36.8842658996582
2000-10-23,35.95915603637695
2000-10-24,35.31556701660156
2000-10-25,32.580440521240234
2000-10-26,34.47089767456055
2000-10-27,32.62065887451172
2000-10-30,30.93129539489746
2000-10-31,34.6720085144043
2000-11-01,33.54578399658203
2000-11-02,35.87869644165039
2000-11-03,36.52225875854492
2000-11-06,35.47648239135742
2000-11-07,36.52225875854492
2000-11-08,33.54578399658203
2000-11-09,34.269798278808594
2000-11-10,32.21842575073242
2000-11-13,32.41954803466797
2000-11-14,34.189353942871094
2000-11-15,34.47089767456055
2000-11-16,32.862003326416016
2000-11-17,33.9480094909668
2000-11-20,32.98265838623047
2000-11-21,34.55136489868164
2000-11-22,32.54020309448242
2000-11-24,33.90779113769531
2000-11-27,32.98265838623047
2000-11-28,32.82176971435547
2000-11-29,33.264225006103516
2000-11-30,30.810630798339844
2000-12-01,31.212846755981445
2000-12-04,29.48328971862793
2000-12-05,33.54578399658203
2000-12-06,33.10332489013672
2000-12-07,32.13798141479492
2000-12-08,33.70668029785156
2000-12-11,35.27535629272461
2000-12-12,34.993804931640625
2000-12-13,32.90222930908203
2000-12-14,32.78155517578125
2000-12-15,31.001710891723633
2000-12-18,27.633047103881836
2000-12-19,26.868803024291992
2000-12-20,23.490089416503906
2000-12-21,25.0185604095459
2000-12-22,26.707914352416992
2000-12-26,26.2252254486084
2000-12-27,26.2252254486084
2000-12-28,25.46101188659668
2000-12-29,24.6163272857666
2001-01-02,21.43872833251953
2001-01-03,26.58723258972168
2001-01-04,26.94924545288086
2001-01-05,23.570537567138672
2001-01-08,23.520259857177734
2001-01-09,23.892318725585938
2001-01-10,23.329200744628906
2001-01-11,25.179454803466797
2001-01-12,24.495664596557617
2001-01-16,24.7772274017334
2001-01-17,25.0990047454834
2001-01-18,26.94924545288086
2001-01-19,25.983909606933594
2001-01-22,26.667682647705078
2001-01-23,27.431913375854492
2001-01-24,27.39169692993164
2001-01-25,25.30010986328125
2001-01-26,24.696775436401367
2001-01-29,23.972768783569336
2001-01-30,24.455427169799805
2001-01-31,24.09343719482422
2001-02-01,24.6163272857666
2001-02-02,22.846529006958008
2001-02-05,22.24317741394043
2001-02-06,23.007423400878906
2001-02-07,19.990713119506836
2001-02-08,19.306922912597656
2001-02-09,18.140464782714844
2001-02-12,19.025362014770508
2001-02-13,18.341575622558594
2001-02-14,18.904701232910156
2001-02-15,19.829811096191406
2001-02-16,18.18068504333496
2001-02-20,16.772891998291016
2001-02-21,16.16954803466797
2001-02-22,17.014230728149414
2001-02-23,17.376230239868164
2001-02-26,16.772891998291016
2001-02-27,15.445538520812988
2001-02-28,15.244422912597656
2001-03-01,15.767321586608887
2001-03-02,14.27907943725586
2001-03-05,14.852252006530762
2001-03-06,15.445538520812988
2001-03-07,15.445538520812988
2001-03-08,14.68131160736084
2001-03-09,13.273510932922363
2001-03-12,12.107053756713867
2001-03-13,13.756185531616211
