Date,AEP
2000-01-03,10.064167976379395
2000-01-04,10.184221267700195
2000-01-05,10.564376831054688
2000-01-06,10.624399185180664
2000-01-07,10.764458656311035
2000-01-10,10.724444389343262
2000-01-11,10.764458656311035
2000-01-12,10.844494819641113
2000-01-13,10.824487686157227
2000-01-14,10.824487686157227
2000-01-18,10.564376831054688
2000-01-19,10.704431533813477
2000-01-20,10.584383964538574
2000-01-21,10.884510040283203
2000-01-24,10.844494819641113
2000-01-25,10.524365425109863
2000-01-26,10.784470558166504
2000-01-27,10.744451522827148
2000-01-28,10.564376831054688
2000-01-31,10.724444389343262
2000-02-01,10.784470558166504
2000-02-02,10.764458656311035
2000-02-03,11.124611854553223
2000-02-04,10.90451431274414
2000-02-07,10.784470558166504
2000-02-08,10.85780143737793
2000-02-09,10.613350868225098
2000-02-10,10.307781219482422
2000-02-11,10.36889934539795
2000-02-14,10.348523139953613
2000-02-15,10.205931663513184
2000-02-16,10.002213478088379
2000-02-17,9.92072868347168
2000-02-18,9.757769584655762
2000-02-22,9.92072868347168
2000-02-23,9.7781343460083
2000-02-24,9.431825637817383
2000-02-25,9.187369346618652
2000-02-28,9.37071418762207
2000-02-29,9.167001724243164
2000-03-01,8.983667373657227
2000-03-02,8.983667373657227
2000-03-03,8.902177810668945
2000-03-06,8.535500526428223
2000-03-07,8.80031967163086
2000-03-08,8.718835830688477
2000-03-09,8.678092956542969
2000-03-10,8.494750022888184
2000-03-13,8.637354850769043
2000-03-14,8.759581565856934
2000-03-15,9.37071418762207
2000-03-16,10.083703994750977
2000-03-17,9.900360107421875
2000-03-20,9.798504829406738
2000-03-21,9.717020034790039
2000-03-22,9.51330852508545
2000-03-23,9.615164756774902
2000-03-24,9.757769584655762
2000-03-27,9.7781343460083
2000-03-28,9.55405044555664
2000-03-29,9.737390518188477
2000-03-30,9.757769584655762
2000-03-31,9.717020034790039
2000-04-03,9.717020034790039
2000-04-04,10.042960166931152
2000-04-05,10.307781219482422
2000-04-06,9.96147346496582
2000-04-07,9.941102981567383
2000-04-10,10.10407543182373
2000-04-11,10.307781219482422
2000-04-12,10.654096603393555
2000-04-13,11.041145324707031
2000-04-14,10.837435722351074
2000-04-17,11.020772933959961
2000-04-18,11.041145324707031
2000-04-19,10.980029106140137
2000-04-20,11.020772933959961
2000-04-24,11.407818794250488
2000-04-25,11.774510383605957
2000-04-26,12.304145812988281
2000-04-27,12.42638111114502
2000-04-28,11.93747329711914
2000-05-01,11.89673137664795
2000-05-02,11.591164588928223
2000-05-03,11.285595893859863
2000-05-04,11.530050277709961
2000-05-05,11.285595893859863
