Date,HON
2000-01-03,28.12250518798828
2000-01-04,27.626399993896484
2000-01-05,27.254331588745117
2000-01-06,27.78143310546875
2000-01-07,29.269731521606445
2000-01-10,29.424755096435547
2000-01-11,29.207714080810547
2000-01-12,29.48676872253418
2000-01-13,29.703811645507812
2000-01-14,29.703811645507812
2000-01-18,29.269731521606445
2000-01-19,26.91326332092285
2000-01-20,26.23113441467285
2000-01-21,25.455963134765625
2000-01-24,23.688627243041992
2000-01-25,23.59562110900879
2000-01-26,23.626623153686523
2000-01-27,22.944494247436523
2000-01-28,22.417387008666992
2000-01-31,23.81265640258789
2000-02-01,23.564607620239258
2000-02-02,23.93667984008789
2000-02-03,23.564607620239258
2000-02-04,23.50260353088379
2000-02-07,22.324371337890625
2000-02-08,22.448394775390625
2000-02-09,21.704246520996094
2000-02-10,21.456201553344727
2000-02-11,20.96009635925293
2000-02-14,21.14613151550293
2000-02-15,22.975492477416992
2000-02-16,22.35310935974121
2000-02-17,23.13140296936035
2000-02-18,22.07290267944336
2000-02-22,23.5361270904541
2000-02-23,22.508764266967773
2000-02-24,22.7889404296875
2000-02-25,23.193668365478516
2000-02-28,23.90971565246582
2000-02-29,23.97197914123535
2000-03-01,23.97197914123535
2000-03-02,22.851219177246094
2000-03-03,22.664424896240234
2000-03-06,22.07290267944336
2000-03-07,20.827600479125977
2000-03-08,21.263458251953125
2000-03-09,21.917245864868164
2000-03-10,22.602144241333008
2000-03-13,22.228553771972656
2000-03-14,22.41537094116211
2000-03-15,22.882343292236328
2000-03-16,24.781429290771484
2000-03-17,23.349319458007812
2000-03-20,23.660661697387695
2000-03-21,24.905960083007812
2000-03-22,23.038000106811523
2000-03-23,23.038000106811523
2000-03-24,24.71916389465332
2000-03-27,23.90971565246582
2000-03-28,23.318191528320312
2000-03-29,24.407827377319336
2000-03-30,25.653125762939453
2000-03-31,26.244653701782227
2000-04-03,27.085235595703125
2000-04-04,26.773908615112305
2000-04-05,26.275798797607422
2000-04-06,25.964473724365234
2000-04-07,25.715410232543945
2000-04-10,26.649370193481445
2000-04-11,27.925800323486328
2000-04-12,26.33805274963379
2000-04-13,27.614477157592773
2000-04-14,26.96070671081543
