Date,AVB
2000-01-03,11.994264602661133
2000-01-04,11.72919750213623
2000-01-05,11.839640617370605
2000-01-06,12.2372407913208
2000-01-07,12.546489715576172
2000-01-10,12.7011079788208
2000-01-11,12.436042785644531
2000-01-12,12.41395378112793
2000-01-13,12.369775772094727
2000-01-14,12.369775772094727
2000-01-18,12.148883819580078
2000-01-19,12.568573951721191
2000-01-20,12.436042785644531
2000-01-21,12.458130836486816
2000-01-24,12.458130836486816
2000-01-25,12.458130836486816
2000-01-26,12.41395378112793
2000-01-27,12.436042785644531
2000-01-28,12.281416893005371
2000-01-31,12.193065643310547
2000-02-01,12.193065643310547
2000-02-02,12.193065643310547
2000-02-03,12.148883819580078
2000-02-04,12.215155601501465
2000-02-07,12.193065643310547
2000-02-08,12.148883819580078
2000-02-09,12.12679672241211
2000-02-10,12.12679672241211
2000-02-11,12.104708671569824
2000-02-14,12.148883819580078
2000-02-15,12.104708671569824
2000-02-16,12.060531616210938
2000-02-17,12.104708671569824
2000-02-18,12.082625389099121
2000-02-22,12.082625389099121
2000-02-23,12.016359329223633
2000-02-24,11.994264602661133
2000-02-25,12.016359329223633
2000-02-28,11.92799186706543
2000-02-29,11.92799186706543
2000-03-01,12.104708671569824
2000-03-02,11.994264602661133
2000-03-03,12.104708671569824
2000-03-06,12.060531616210938
2000-03-07,12.193065643310547
2000-03-08,12.060531616210938
2000-03-09,12.016359329223633
2000-03-10,12.170977592468262
2000-03-13,12.104708671569824
2000-03-14,12.016359329223633
2000-03-15,12.12679672241211
2000-03-16,12.259332656860352
2000-03-17,12.303505897521973
2000-03-20,12.480217933654785
2000-03-21,12.436042785644531
2000-03-22,12.458130836486816
2000-03-23,12.72319221496582
2000-03-24,12.634847640991211
2000-03-27,12.634847640991211
2000-03-28,12.74528980255127
2000-03-29,12.899911880493164
2000-03-30,13.056047439575195
2000-03-31,13.145776748657227
2000-04-03,13.056047439575195
2000-04-04,13.100914001464844
2000-04-05,13.2130708694458
2000-04-06,13.280366897583008
2000-04-07,13.437405586242676
2000-04-10,13.459837913513184
2000-04-11,13.572001457214355
2000-04-12,13.504701614379883
2000-04-13,13.59443473815918
2000-04-14,13.59443473815918
2000-04-17,13.2130708694458
2000-04-18,13.59443473815918
2000-04-19,13.639301300048828
2000-04-20,13.572001457214355
2000-04-24,13.616866111755371
2000-04-25,13.661738395690918
2000-04-26,13.729034423828125
2000-04-27,13.930938720703125
2000-04-28,14.04309368133545
2000-05-01,14.155256271362305
2000-05-02,14.289864540100098
2000-05-03,14.357157707214355
2000-05-04,14.379593849182129
2000-05-05,14.402024269104004
2000-05-08,14.469324111938477
2000-05-09,14.559056282043457
2000-05-10,14.446887016296387
2000-05-11,14.424457550048828
2000-05-12,14.603927612304688
2000-05-15,14.671218872070312
2000-05-16,14.648798942565918
2000-05-17,14.53663158416748
2000-05-18,14.559056282043457
2000-05-19,14.491764068603516
2000-05-22,14.446887016296387
2000-05-23,14.424457550048828
2000-05-24,14.446887016296387
2000-05-25,14.334728240966797
2000-05-26,14.334728240966797
2000-05-30,14.289864540100098
2000-05-31,14.267425537109375
2000-06-01,14.24499797821045
2000-06-02,14.312294006347656
2000-06-05,14.334728240966797
2000-06-06,14.357157707214355
2000-06-07,14.51419734954834
2000-06-08,14.648798942565918
2000-06-09,14.693657875061035
2000-06-12,14.839475631713867
2000-06-13,14.895551681518555
2000-06-14,15.209619522094727
2000-06-15,15.153528213500977
2000-06-16,14.929200172424316
2000-06-19,14.9740629196167
2000-06-20,14.9740629196167
2000-06-21,14.929200172424316
2000-06-22,14.884339332580566
2000-06-23,14.906773567199707
2000-06-26,15.018930435180664
2000-06-27,15.086237907409668
2000-06-28,15.24448299407959
2000-06-29,15.35815715789795
2000-06-30,15.176268577575684
2000-07-03,15.267212867736816
2000-07-05,15.56278133392334
2000-07-06,15.733301162719727
2000-07-07,15.676457405090332
