Date,NEE
2000-01-03,2.24267578125
2000-01-04,2.2834525108337402
2000-01-05,2.358207941055298
2000-01-06,2.358207941055298
2000-01-07,2.426168203353882
2000-01-10,2.405780792236328
2000-01-11,2.378596067428589
2000-01-12,2.429567575454712
2000-01-13,2.405780792236328
2000-01-14,2.3616068363189697
2000-01-18,2.303840398788452
2000-01-19,2.358207941055298
2000-01-20,2.331023693084717
2000-01-21,2.3921895027160645
2000-01-24,2.378596067428589
2000-01-25,2.297045946121216
2000-01-26,2.303840398788452
2000-01-27,2.256269693374634
2000-01-28,2.24607515335083
2000-01-31,2.293647289276123
2000-02-01,2.24607515335083
2000-02-02,2.259666681289673
2000-02-03,2.331023693084717
2000-02-04,2.2630648612976074
2000-02-07,2.266462802886963
2000-02-08,2.2732584476470947
2000-02-09,2.24267578125
2000-02-10,2.191707134246826
2000-02-11,2.2222893238067627
2000-02-14,2.2154924869537354
2000-02-15,2.2222893238067627
2000-02-16,2.225687265396118
2000-02-17,2.2290844917297363
2000-02-18,2.191707134246826
2000-02-22,2.2222893238067627
2000-02-23,2.214162588119507
2000-02-24,2.093640089035034
2000-02-25,2.0282142162323
2000-02-28,2.10052752494812
2000-02-29,2.12807559967041
2000-03-01,2.1246325969696045
2000-03-02,2.1384055614471436
2000-03-03,2.148736000061035
2000-03-06,2.090197801589966
2000-03-07,2.1659533977508545
2000-03-08,2.2761456966400146
2000-03-09,2.3587892055511475
2000-03-10,2.41044020652771
2000-03-13,2.3209099769592285
2000-03-14,2.307135820388794
2000-03-15,2.444875717163086
2000-03-16,2.479310989379883
2000-03-17,2.417327404022217
2000-03-20,2.3725624084472656
2000-03-21,2.2795886993408203
2000-03-22,2.2451534271240234
2000-03-23,2.3415703773498535
2000-03-24,2.386337995529175
2000-03-27,2.568840742111206
2000-03-28,2.50341534614563
2000-03-29,2.458649158477783
2000-03-30,2.5344059467315674
2000-03-31,2.5378499031066895
2000-04-03,2.496527910232544
2000-04-04,2.5447371006011963
2000-04-05,2.5378499031066895
2000-04-06,2.52063250541687
2000-04-07,2.565398931503296
2000-04-10,2.599832773208618
2000-04-11,2.575728416442871
2000-04-12,2.6032752990722656
2000-04-13,2.5929458141326904
2000-04-14,2.506859302520752
2000-04-17,2.4001107215881348
2000-04-18,2.386337995529175
2000-04-19,2.4724233150482178
2000-04-20,2.4896399974823
2000-04-24,2.50341534614563
2000-04-25,2.5963873863220215
2000-04-26,2.5929458141326904
2000-04-27,2.506859302520752
2000-04-28,2.4930849075317383
2000-05-01,2.499971628189087
2000-05-02,2.4896399974823
2000-05-03,2.506859302520752
2000-05-04,2.524076223373413
2000-05-05,2.496527910232544
2000-05-08,2.5895025730133057
2000-05-09,2.57228422164917
2000-05-10,2.6032752990722656
2000-05-11,2.68247652053833
2000-05-12,2.620493173599243
2000-05-15,2.6790339946746826
2000-05-16,2.599832773208618
2000-05-17,2.575728416442871
2000-05-18,2.623936891555786
2000-05-19,2.6342668533325195
2000-05-22,2.623936891555786
2000-05-23,2.651484727859497
2000-05-24,2.7129178047180176
2000-05-25,2.7233636379241943
2000-05-26,2.772120714187622
2000-05-30,2.737295627593994
2000-05-31,2.768638849258423
2000-06-01,2.761673927307129
2000-06-02,2.754708766937256
2000-06-05,2.6467502117156982
2000-06-06,2.7094357013702393
2000-06-07,2.685056686401367
2000-06-08,2.692021608352661
2000-06-09,2.716400384902954
2000-06-12,2.719881534576416
2000-06-13,2.695504665374756
2000-06-14,2.6571967601776123
2000-06-15,2.719881534576416
2000-06-16,2.702469825744629
2000-06-19,2.6397838592529297
2000-06-20,2.6606781482696533
2000-06-21,2.716400384902954
2000-06-22,2.7338132858276367
2000-06-23,2.772120714187622
2000-06-26,2.7756032943725586
2000-06-27,2.7581918239593506
2000-06-28,2.806075096130371
2000-06-29,2.737295627593994
2000-06-30,2.7581918239593506
2000-07-03,2.7756032943725586
2000-07-05,2.76515531539917
2000-07-06,2.799980878829956
2000-07-07,2.841773271560669
2000-07-10,2.953214406967163
2000-07-11,2.9601802825927734
2000-07-12,2.9775924682617188
2000-07-13,3.015902042388916
2000-07-14,3.015902042388916
2000-07-17,3.0002293586730957
2000-07-18,2.942768096923828
2000-07-19,2.981074333190918
2000-07-20,2.96366286277771
2000-07-21,2.939283847808838
2000-07-24,2.94624924659729
2000-07-25,2.9775924682617188
2000-07-26,2.9471192359924316
2000-07-27,2.94624924659729
2000-07-28,2.942768096923828
2000-07-31,2.688539505004883
2000-08-01,2.8034658432006836
2000-08-02,2.9114227294921875
2000-08-03,2.964531660079956
2000-08-04,2.953214406967163
2000-08-07,2.9958748817443848
2000-08-08,3.00545334815979
2000-08-09,2.9323203563690186
2000-08-10,2.9088125228881836
2000-08-11,2.9749810695648193
2000-08-14,2.9741110801696777
2000-08-15,2.988039493560791
2000-08-16,3.0307013988494873
2000-08-17,3.0507264137268066
2000-08-18,3.0646557807922363
2000-08-21,3.0298306941986084
2000-08-22,3.033313751220703
2000-08-23,3.077775239944458
2000-08-24,3.042599678039551
2000-08-25,3.014460802078247
2000-08-28,2.9933559894561768
2000-08-29,2.9828031063079834
2000-08-30,3.0109424591064453
2000-08-31,3.003908395767212
2000-09-01,3.0496344566345215
2000-09-05,3.084808349609375
2000-09-06,3.1657121181488037
2000-09-07,3.236060857772827
2000-09-08,3.2624385356903076
2000-09-11,3.317840814590454
2000-09-12,3.39434552192688
2000-09-13,3.433035135269165
2000-09-14,3.44183087348938
2000-09-15,3.5007479190826416
2000-09-18,3.5209760665893555
2000-09-19,3.41545033454895
2000-09-20,3.4224841594696045
2000-09-21,3.4119322299957275
2000-09-22,3.433035135269165
2000-09-25,3.471729040145874
2000-09-26,3.563182830810547
2000-09-27,3.5992374420166016
2000-09-28,3.5983574390411377
2000-09-29,3.7012429237365723
2000-10-02,3.8410611152648926
2000-10-03,3.6159443855285645
2000-10-04,3.5948379039764404
2000-10-05,3.5104196071624756
2000-10-06,3.5913236141204834
2000-10-09,3.6229782104492188
2000-10-10,3.679260492324829
2000-10-11,3.7144339084625244
2000-10-12,3.668708324432373
2000-10-13,3.798851251602173
2000-10-16,3.8269922733306885
2000-10-17,3.8094050884246826
2000-10-18,3.798851251602173
2000-10-19,3.6581544876098633
2000-10-20,3.6581544876098633
2000-10-23,3.6546382904052734
2000-10-24,3.5807695388793945
2000-10-25,3.556148052215576
2000-10-26,3.471729040145874
2000-10-27,3.644084930419922
2000-10-30,3.7214694023132324
2000-10-31,3.7144339084625244
2000-11-01,3.7144339084625244
2000-11-02,3.6300148963928223
2000-11-03,3.5913236141204834
2000-11-06,3.6405670642852783
2000-11-07,3.6194610595703125
2000-11-08,3.60891056060791
2000-11-09,3.6581544876098633
2000-11-10,3.672224521636963
2000-11-13,3.7144339084625244
2000-11-14,3.6862947940826416
2000-11-15,3.7144339084625244
2000-11-16,3.735539674758911
2000-11-17,3.7566421031951904
2000-11-20,3.7742300033569336
2000-11-21,3.7623164653778076
2000-11-22,3.7445857524871826
2000-11-24,3.705579996109009
2000-11-27,3.6949410438537598
2000-11-28,3.7587697505950928
2000-11-29,3.7623164653778076
2000-11-30,3.7587697505950928
2000-12-01,3.730400800704956
2000-12-04,3.6949410438537598
2000-12-05,3.6949410438537598
2000-12-06,3.687849283218384
2000-12-07,3.6913974285125732
2000-12-08,3.670119285583496
2000-12-11,3.6027450561523438
2000-12-12,3.6594817638397217
2000-12-13,3.7020342350006104
2000-12-14,3.6382060050964355
2000-12-15,3.71976375579834
2000-12-18,3.7658634185791016
2000-12-19,3.8403284549713135
2000-12-20,3.9750754833221436
2000-12-21,4.021172523498535
2000-12-22,4.017629623413086
2000-12-26,4.113370418548584
2000-12-27,4.081457614898682
2000-12-28,4.014082431793213
2000-12-29,4.07081937789917
2001-01-02,3.985713481903076
2001-01-03,3.8084137439727783
2001-01-04,3.5814695358276367
2001-01-05,3.595655679702759
2001-01-08,3.6133852005004883
2001-01-09,3.585015058517456
2001-01-10,3.5389158725738525
2001-01-11,3.258781671524048
2001-01-12,3.3119730949401855
2001-01-16,3.290696620941162
2001-01-17,3.382892608642578
2001-01-18,3.4006218910217285
2001-01-19,3.343885660171509
2001-01-22,3.4502663612365723
2001-01-23,3.4112603664398193
2001-01-24,3.425445079803467
2001-01-25,3.4431755542755127
2001-01-26,3.4041690826416016
2001-01-29,3.398496150970459
2001-01-30,3.3899853229522705
2001-01-31,3.290696620941162
2001-02-01,3.256087303161621
2001-02-02,3.3088512420654297
2001-02-05,3.319065570831299
2001-02-06,3.3746652603149414
2001-02-07,3.4007647037506104
2001-02-08,3.4609029293060303
2001-02-09,3.5289881229400635
2001-02-12,3.501755475997925
2001-02-13,3.5062925815582275
2001-02-14,3.5062925815582275
2001-02-15,3.5062925815582275
2001-02-16,3.580050230026245
2001-02-20,3.6623175144195557
2001-02-21,3.714400053024292
2001-02-22,3.693795680999756
2001-02-23,3.6703312397003174
2001-02-26,3.6749086380004883
2001-02-27,3.7830801010131836
2001-02-28,3.722985029220581
2001-03-01,3.7401556968688965
2001-03-02,3.740727663040161
2001-03-05,3.7332875728607178
2001-03-06,3.717261552810669
2001-03-07,3.7201225757598877
2001-03-08,3.7424449920654297
2001-03-09,3.752746820449829
2001-03-12,3.7201225757598877
2001-03-13,3.6915054321289062
2001-03-14,3.66117262840271
2001-03-15,3.7000927925109863
2001-03-16,3.677198886871338
2001-03-19,3.537550687789917
2001-03-20,3.4207968711853027
2001-03-21,3.3904621601104736
2001-03-22,3.2708473205566406
2001-03-23,3.281148910522461
2001-03-26,3.4030542373657227
2001-03-27,3.5117952823638916
2001-03-28,3.4505574703216553
2001-03-29,3.5026395320892334
2001-03-30,3.508361577987671
2001-04-02,3.5032095909118652
2001-04-03,3.517519235610962
2001-04-04,3.4797470569610596
2001-04-05,3.4282374382019043
2001-04-06,3.3652803897857666
2001-04-09,3.4339590072631836
2001-04-10,3.5255327224731445
2001-04-11,3.4620025157928467
2001-04-12,3.4425463676452637
2001-04-16,3.4854700565338135
2001-04-17,3.599933624267578
2001-04-18,3.514085531234741
2001-04-19,3.4723057746887207
2001-04-20,3.4597153663635254
2001-04-23,3.426518678665161
2001-04-24,3.4396839141845703
2001-04-25,3.419079303741455
2001-04-26,3.431096315383911
2001-04-27,3.4053425788879395
2001-04-30,3.4282374382019043
2001-05-01,3.3795878887176514
2001-05-02,3.3744378089904785
2001-05-03,3.3006069660186768
2001-05-04,3.173550605773926
2001-05-07,3.2107532024383545
2001-05-08,3.258826971054077
2001-05-09,3.30232572555542
2001-05-10,3.287443161010742
2001-05-11,3.29488468170166
2001-05-14,3.3194947242736816
2001-05-15,3.2691280841827393
2001-05-16,3.265122890472412
2001-05-17,3.279430866241455
2001-05-18,3.265122890472412
2001-05-21,3.2508153915405273
2001-05-22,3.316631555557251
2001-05-23,3.337437152862549
2001-05-24,3.3443729877471924
2001-05-25,3.340327024459839
2001-05-29,3.3114311695098877
2001-05-30,3.3195223808288574
2001-05-31,3.366335153579712
2001-06-01,3.3541970252990723
2001-06-04,3.3894481658935547
2001-06-05,3.407364845275879
2001-06-06,3.4189236164093018
2001-06-07,3.423546075820923
2001-06-08,3.443772077560425
2001-06-11,3.502141237258911
2001-06-12,3.5212137699127197
2001-06-13,3.4125657081604004
2001-06-14,3.3617095947265625
2001-06-15,3.4495530128479004
2001-06-18,3.455909252166748
2001-06-19,3.5027215480804443
