Date,SBAC
2000-01-03,16.414257049560547
2000-01-04,16.1862735748291
2000-01-05,15.502354621887207
2000-01-06,15.445355415344238
2000-01-07,16.75621795654297
2000-01-10,20.06186294555664
2000-01-11,23.595491409301758
2000-01-12,20.74579620361328
2000-01-13,23.196533203125
2000-01-14,22.854572296142578
2000-01-18,25.476287841796875
2000-01-19,24.507394790649414
2000-01-20,24.507394790649414
2000-01-21,24.507394790649414
2000-01-24,25.875246047973633
2000-01-25,27.81304359436035
2000-01-26,28.724946975708008
2000-01-27,26.388195037841797
2000-01-28,27.585071563720703
2000-01-31,27.642057418823242
2000-02-01,30.206790924072266
2000-02-02,31.004709243774414
2000-02-03,31.916608810424805
2000-02-04,31.46064567565918
2000-02-07,32.25857162475586
2000-02-08,31.574642181396484
2000-02-09,30.77672576904297
2000-02-10,31.68863868713379
2000-02-11,31.8026180267334
2000-02-14,31.8026180267334
2000-02-15,31.973594665527344
2000-02-16,31.11868667602539
2000-02-17,28.83893394470215
2000-02-18,25.305309295654297
2000-02-22,27.471080780029297
2000-02-23,28.15500259399414
2000-02-24,30.320777893066406
2000-02-25,32.828514099121094
2000-02-28,32.828514099121094
2000-02-29,36.93207550048828
2000-03-01,39.553794860839844
2000-03-02,39.09783935546875
2000-03-03,40.237701416015625
2000-03-06,39.43980407714844
2000-03-07,40.80766296386719
2000-03-08,43.88533401489258
2000-03-09,43.20140838623047
2000-03-10,45.25319290161133
2000-03-13,49.01478958129883
2000-03-14,47.874908447265625
2000-03-15,44.626251220703125
2000-03-16,41.377593994140625
2000-03-17,45.652137756347656
2000-03-20,44.911224365234375
2000-03-21,43.030426025390625
2000-03-22,43.82834243774414
2000-03-23,44.341278076171875
2000-03-24,42.175506591796875
2000-03-27,44.74024200439453
2000-03-28,44.626251220703125
2000-03-29,41.49159240722656
2000-03-30,36.47612380981445
2000-03-31,40.12372589111328
2000-04-03,37.843971252441406
2000-04-04,35.22225570678711
2000-04-05,36.24814987182617
2000-04-06,38.92686080932617
2000-04-07,41.14960861206055
2000-04-10,39.32582092285156
2000-04-11,35.22225570678711
2000-04-12,36.36214065551758
2000-04-13,35.108272552490234
2000-04-14,32.71452331542969
2000-04-17,31.23267936706543
2000-04-18,36.59010314941406
2000-04-19,33.569435119628906
2000-04-20,33.9683837890625
2000-04-24,36.41912078857422
2000-04-25,33.9683837890625
2000-04-26,35.678199768066406
2000-04-27,38.98384475708008
2000-04-28,37.04606628417969
2000-05-01,37.502010345458984
2000-05-02,37.729984283447266
2000-05-03,38.299922943115234
2000-05-04,39.43980407714844
2000-05-05,40.80766296386719
2000-05-08,43.77134704589844
2000-05-09,42.28950119018555
2000-05-10,38.2429313659668
2000-05-11,39.78175354003906
2000-05-12,37.78697967529297
2000-05-15,37.16005325317383
2000-05-16,38.356929779052734
2000-05-17,39.09783935546875
2000-05-18,38.07194900512695
2000-05-19,36.47612380981445
2000-05-22,35.79219436645508
2000-05-23,35.5642204284668
2000-05-24,36.02017593383789
2000-05-25,34.31035232543945
2000-05-26,33.79741287231445
2000-05-30,35.108272552490234
2000-05-31,33.9683837890625
2000-06-01,33.9113883972168
2000-06-02,34.76631164550781
2000-06-05,34.76631164550781
2000-06-06,36.1341667175293
2000-06-07,38.413917541503906
2000-06-08,37.843971252441406
2000-06-09,39.553794860839844
2000-06-12,40.12372589111328
2000-06-13,40.35169982910156
2000-06-14,40.69366455078125
2000-06-15,42.0045280456543
2000-06-16,42.175506591796875
2000-06-19,42.745445251464844
2000-06-20,43.144412994384766
2000-06-21,42.94493865966797
2000-06-22,43.88533401489258
2000-06-23,43.65735626220703
2000-06-26,45.937110900878906
2000-06-27,47.53293991088867
2000-06-28,48.90080642700195
2000-06-29,51.63651657104492
2000-06-30,47.36195373535156
2000-07-03,45.823123931884766
2000-07-05,46.50705337524414
2000-07-06,46.39306640625
2000-07-07,47.41896057128906
2000-07-10,46.16509246826172
2000-07-11,43.82834243774414
2000-07-12,47.190982818603516
2000-07-13,46.73502731323242
2000-07-14,46.963008880615234
2000-07-17,46.963008880615234
2000-07-18,47.64692306518555
2000-07-19,48.33086013793945
2000-07-20,50.72461700439453
2000-07-21,46.73502731323242
2000-07-24,46.1935920715332
2000-07-25,42.85943603515625
2000-07-26,42.85943603515625
2000-07-27,41.71956253051758
2000-07-28,39.78175354003906
2000-07-31,41.14960861206055
2000-08-01,39.553794860839844
2000-08-02,40.46569061279297
2000-08-03,41.49159240722656
2000-08-04,40.06673812866211
2000-08-07,40.57967758178711
2000-08-08,41.377593994140625
2000-08-09,41.26360321044922
2000-08-10,40.12372589111328
2000-08-11,41.03562927246094
2000-08-14,41.662567138671875
2000-08-15,40.92164611816406
2000-08-16,40.80766296386719
2000-08-17,41.434593200683594
2000-08-18,41.14960861206055
2000-08-21,41.434593200683594
2000-08-22,40.40869903564453
2000-08-23,41.03562927246094
2000-08-24,41.377593994140625
2000-08-25,41.26360321044922
2000-08-28,40.69366455078125
2000-08-29,40.237701416015625
2000-08-30,40.57967758178711
2000-08-31,40.69366455078125
2000-09-01,40.92164611816406
2000-09-05,37.44501876831055
2000-09-06,38.812870025634766
2000-09-07,39.04084777832031
2000-09-08,38.299922943115234
