Date,TPL
2000-01-03,0.6593732237815857
2000-01-04,0.652887761592865
2000-01-05,0.656130850315094
2000-01-06,0.6615351438522339
2000-01-07,0.652887761592865
2000-01-10,0.652887761592865
2000-01-11,0.6507258415222168
2000-01-12,0.6723446846008301
2000-01-13,0.6701825261116028
2000-01-14,0.676668107509613
2000-01-18,0.6853161454200745
2000-01-19,0.676668107509613
2000-01-20,0.6680203676223755
2000-01-21,0.674506664276123
2000-01-24,0.6831541061401367
2000-01-25,0.6809921264648438
2000-01-26,0.6853161454200745
2000-01-27,0.676668107509613
2000-01-28,0.674506664276123
2000-01-31,0.7058534026145935
2000-02-01,0.7177436947822571
2000-02-02,0.7372007966041565
2000-02-03,0.7436869144439697
2000-02-04,0.7220680713653564
2000-02-07,0.6950445771217346
2000-02-08,0.6961250305175781
2000-02-09,0.6874775290489197
2000-02-10,0.6734256744384766
2000-02-11,0.674506664276123
2000-02-14,0.676668107509613
2000-02-15,0.674506664276123
2000-02-16,0.6658593416213989
2000-02-17,0.660454273223877
2000-02-18,0.6593732237815857
2000-02-22,0.6507258415222168
2000-02-23,0.6485635638237
2000-02-24,0.6420783400535583
2000-02-25,0.6334308385848999
2000-02-28,0.6312686204910278
2000-02-29,0.6291066408157349
2000-03-01,0.6226213574409485
2000-03-02,0.6291066408157349
2000-03-03,0.6269455552101135
2000-03-06,0.6273823380470276
2000-03-07,0.6295683979988098
2000-03-08,0.6317545175552368
2000-03-09,0.6306614875793457
2000-03-10,0.6448701024055481
2000-03-13,0.6339408755302429
2000-03-14,0.6339408755302429
2000-03-15,0.6383121013641357
2000-03-16,0.6492424607276917
2000-03-17,0.6448701024055481
2000-03-20,0.6601725220680237
2000-03-21,0.6667303442955017
2000-03-22,0.679846465587616
2000-03-23,0.6656370162963867
2000-03-24,0.6820326447486877
2000-03-27,0.6667303442955017
2000-03-28,0.6743810176849365
2000-03-29,0.6776602864265442
2000-03-30,0.6776602864265442
2000-03-31,0.6776602864265442
2000-04-03,0.6689164042472839
2000-04-04,0.6492424607276917
2000-04-05,0.6558001041412354
2000-04-06,0.6579864025115967
2000-04-07,0.6536146998405457
2000-04-10,0.6437777280807495
2000-04-11,0.6383121013641357
2000-04-12,0.6426847577095032
2000-04-13,0.6601725220680237
2000-04-14,0.6426847577095032
2000-04-17,0.6350330114364624
2000-04-18,0.6361260414123535
2000-04-19,0.6404985189437866
2000-04-20,0.6448701024055481
2000-04-24,0.6470561027526855
2000-04-25,0.6415918469429016
2000-04-26,0.6470561027526855
2000-04-27,0.6470561027526855
2000-04-28,0.639405369758606
2000-05-01,0.6383121013641357
2000-05-02,0.6470561027526855
2000-05-03,0.6383121013641357
2000-05-04,0.6098942160606384
2000-05-05,0.6142667531967163
2000-05-08,0.6120806336402893
2000-05-09,0.6055219769477844
2000-05-10,0.6120806336402893
2000-05-11,0.6164519786834717
2000-05-12,0.6361260414123535
2000-05-15,0.6503355503082275
2000-05-16,0.6547069549560547
2000-05-17,0.6536146998405457
2000-05-18,0.6492424607276917
2000-05-19,0.6514284610748291
2000-05-22,0.648149311542511
2000-05-23,0.6492424607276917
2000-05-24,0.6383121013641357
2000-05-25,0.6448701024055481
2000-05-26,0.6547069549560547
2000-05-30,0.6503355503082275
2000-05-31,0.6503355503082275
2000-06-01,0.6623587012290955
2000-06-02,0.6579864025115967
2000-06-05,0.6568931937217712
2000-06-06,0.6536146998405457
2000-06-07,0.6525217294692993
2000-06-08,0.6514284610748291
2000-06-09,0.6579864025115967
2000-06-12,0.6525217294692993
2000-06-13,0.6612655520439148
2000-06-14,0.6721957325935364
2000-06-15,0.6820326447486877
2000-06-16,0.6995205283164978
2000-06-19,0.6973345279693604
2000-06-20,0.6951481699943542
2000-06-21,0.6864039897918701
2000-06-22,0.7071714401245117
2000-06-23,0.7104505300521851
2000-06-26,0.7290316224098206
2000-06-27,0.7235659956932068
2000-06-28,0.7126367688179016
2000-06-29,0.7344962358474731
2000-06-30,0.7672864198684692
2000-07-03,0.7847744822502136
2000-07-05,0.7989836931228638
2000-07-06,0.783681333065033
2000-07-07,0.7672864198684692
2000-07-10,0.7596356868743896
2000-07-11,0.7596356868743896
2000-07-12,0.7519847750663757
2000-07-13,0.7476122975349426
2000-07-14,0.74542635679245
2000-07-17,0.7257521152496338
2000-07-18,0.7148222327232361
2000-07-19,0.7038922309875488
2000-07-20,0.6973345279693604
2000-07-21,0.6995205283164978
2000-07-24,0.6907765865325928
2000-07-25,0.6820326447486877
2000-07-26,0.679846465587616
2000-07-27,0.6820326447486877
2000-07-28,0.6995205283164978
2000-07-31,0.6951481699943542
2000-08-01,0.6907765865325928
2000-08-02,0.6776602864265442
2000-08-03,0.6711026430130005
2000-08-04,0.6645439863204956
2000-08-07,0.6667303442955017
2000-08-08,0.6711026430130005
2000-08-09,0.6754739880561829
2000-08-10,0.6754739880561829
2000-08-11,0.6754739880561829
2000-08-14,0.6732888221740723
2000-08-15,0.6711026430130005
2000-08-16,0.6689164042472839
2000-08-17,0.6689164042472839
2000-08-18,0.6754739880561829
2000-08-21,0.6634517908096313
2000-08-22,0.679846465587616
2000-08-23,0.6820326447486877
2000-08-24,0.6885904669761658
2000-08-25,0.6995205283164978
2000-08-28,0.7060783505439758
2000-08-29,0.6995205283164978
2000-08-30,0.6995205283164978
2000-08-31,0.6929627656936646
2000-09-01,0.6929627656936646
2000-09-05,0.7038922309875488
2000-09-06,0.7017067074775696
2000-09-07,0.679846465587616
2000-09-08,0.6885904669761658
2000-09-11,0.6754739880561829
2000-09-12,0.6776602864265442
2000-09-13,0.6721957325935364
2000-09-14,0.6776602864265442
2000-09-15,0.6820326447486877
2000-09-18,0.6776602864265442
2000-09-19,0.6809395551681519
2000-09-20,0.6809395551681519
2000-09-21,0.6809395551681519
2000-09-22,0.6743810176849365
2000-09-25,0.6776602864265442
2000-09-26,0.6776602864265442
2000-09-27,0.6689164042472839
2000-09-28,0.6689164042472839
2000-09-29,0.6590796113014221
2000-10-02,0.6590796113014221
2000-10-03,0.6579864025115967
2000-10-04,0.6536146998405457
2000-10-05,0.6558001041412354
2000-10-06,0.6536146998405457
2000-10-09,0.6514284610748291
2000-10-10,0.6689164042472839
2000-10-11,0.6601725220680237
2000-10-12,0.6448701024055481
2000-10-13,0.6262891292572021
2000-10-16,0.6339408755302429
2000-10-17,0.6230107545852661
2000-10-18,0.603336751461029
2000-10-19,0.6208245754241943
2000-10-20,0.6251961588859558
2000-10-23,0.6230107545852661
2000-10-24,0.6251961588859558
2000-10-25,0.6448701024055481
2000-10-26,0.6383121013641357
2000-10-27,0.6383121013641357
2000-10-30,0.6295683979988098
2000-10-31,0.6186383962631226
2000-11-01,0.6164519786834717
2000-11-02,0.6164519786834717
2000-11-03,0.6142667531967163
2000-11-06,0.6186383962631226
2000-11-07,0.6120806336402893
2000-11-08,0.6142667531967163
2000-11-09,0.6098942160606384
2000-11-10,0.5989642143249512
2000-11-13,0.5913134813308716
2000-11-14,0.6088013052940369
