Date,FITB
2000-01-03,21.820816040039062
2000-01-04,20.903488159179688
2000-01-05,20.591201782226562
2000-01-06,21.313350677490234
2000-01-07,21.176727294921875
2000-01-10,20.62047576904297
2000-01-11,20.005672454833984
2000-01-12,19.888568878173828
2000-01-13,20.454578399658203
2000-01-14,20.727832794189453
2000-01-18,20.298439025878906
2000-01-19,19.303030014038086
2000-01-20,18.737022399902344
2000-01-21,18.776046752929688
2000-01-24,18.024616241455078
2000-01-25,18.912673950195312
2000-01-26,19.732425689697266
2000-01-27,19.966642379760742
2000-01-28,19.654348373413086
2000-01-31,20.727832794189453
2000-02-01,20.122766494750977
2000-02-02,19.517730712890625
2000-02-03,20.435060501098633
2000-02-04,19.43964958190918
2000-02-07,19.322553634643555
2000-02-08,19.34206771850586
2000-02-09,18.912673950195312
2000-02-10,18.815086364746094
2000-02-11,18.746776580810547
2000-02-14,18.112449645996094
2000-02-15,18.346660614013672
2000-02-16,18.4930477142334
2000-02-17,17.917272567749023
2000-02-18,17.31222152709961
2000-02-22,16.99994468688965
2000-02-23,16.51199722290039
2000-02-24,16.37537384033203
2000-02-25,15.65320873260498
2000-02-28,16.47295570373535
2000-02-29,16.258264541625977
2000-03-01,15.633698463439941
2000-03-02,15.438518524169922
2000-03-03,15.36044692993164
2000-03-06,14.599259376525879
2000-03-07,14.40408992767334
2000-03-08,14.05276107788086
2000-03-09,14.760283470153809
2000-03-10,14.326010704040527
2000-03-13,14.365041732788086
2000-03-14,15.12623405456543
2000-03-15,16.5510311126709
2000-03-16,18.405210494995117
2000-03-17,18.815086364746094
2000-03-20,17.761123657226562
2000-03-21,18.639421463012695
2000-03-22,18.815086364746094
2000-03-23,19.693395614624023
2000-03-24,19.886173248291016
2000-03-27,19.494333267211914
2000-03-28,19.90576171875
2000-03-29,19.673845291137695
2000-03-30,19.3397274017334
2000-03-31,19.81142807006836
2000-04-03,21.108606338500977
2000-04-04,20.46984100341797
2000-04-05,19.890050888061523
2000-04-06,20.268386840820312
2000-04-07,19.5166072845459
2000-04-10,20.22416114807129
2000-04-11,20.22416114807129
2000-04-12,20.22416114807129
2000-04-13,19.90969467163086
2000-04-14,18.57321548461914
2000-04-17,19.477304458618164
2000-04-18,20.44036293029785
2000-04-19,19.81142807006836
2000-04-20,20.007972717285156
2000-04-24,20.307697296142578
2000-04-25,21.383758544921875
2000-04-26,20.597591400146484
2000-04-27,19.949005126953125
2000-04-28,19.850736618041992
2000-05-01,19.870389938354492
2000-05-02,19.92934799194336
2000-05-03,19.18250274658203
2000-05-04,18.47494125366211
2000-05-05,18.592870712280273
2000-05-08,19.162845611572266
2000-05-09,19.536270141601562
2000-05-10,19.437984466552734
2000-05-11,20.204496383666992
2000-05-12,20.79412841796875
2000-05-15,21.02998161315918
2000-05-16,20.83344078063965
2000-05-17,20.597591400146484
2000-05-18,21.04964256286621
2000-05-19,20.65655517578125
2000-05-22,21.206878662109375
2000-05-23,21.04964256286621
2000-05-24,21.285486221313477
2000-05-25,21.187217712402344
2000-05-26,21.423072814941406
2000-05-30,21.560644149780273
2000-05-31,21.383758544921875
2000-06-01,22.012685775756836
2000-06-02,22.50404930114746
2000-06-05,22.0323429107666
2000-06-06,22.012685775756836
2000-06-07,22.30750846862793
2000-06-08,21.619611740112305
2000-06-09,21.108606338500977
2000-06-12,21.36411476135254
2000-06-13,21.305143356323242
2000-06-14,21.206878662109375
2000-06-15,20.145545959472656
2000-06-16,18.88767433166504
2000-06-19,20.003055572509766
2000-06-20,19.4969482421875
2000-06-21,19.10386848449707
2000-06-22,19.457643508911133
2000-06-23,19.359384536743164
2000-06-26,19.732812881469727
2000-06-27,20.145545959472656
2000-06-28,20.25054931640625
2000-06-29,19.81633186340332
2000-06-30,19.97423553466797
2000-07-03,20.586091995239258
2000-07-05,21.020309448242188
2000-07-06,21.53347396850586
2000-07-07,22.30323600769043
2000-07-10,21.770320892333984
2000-07-11,21.494003295898438
2000-07-12,21.494003295898438
2000-07-13,21.25715446472168
2000-07-14,21.987451553344727
2000-07-17,21.138734817504883
2000-07-18,20.516996383666992
2000-07-19,20.457792282104492
2000-07-20,20.961101531982422
2000-07-21,20.368980407714844
2000-07-24,20.13213539123535
2000-07-25,20.043304443359375
2000-07-26,19.53999900817871
2000-07-27,20.220949172973633
2000-07-28,20.072914123535156
2000-07-31,19.569616317749023
2000-08-01,19.895278930664062
2000-08-02,19.74724578857422
2000-08-03,20.605833053588867
2000-08-04,21.227561950683594
2000-08-07,21.25715446472168
2000-08-08,20.961101531982422
2000-08-09,20.901884078979492
2000-08-10,21.6124210357666
2000-08-11,21.856674194335938
2000-08-14,21.70123863220215
2000-08-15,21.375577926635742
2000-08-16,21.138734817504883
2000-08-17,21.34598159790039
2000-08-18,21.049915313720703
2000-08-21,20.724245071411133
2000-08-22,21.227561950683594
2000-08-23,21.049915313720703
2000-08-24,21.138734817504883
2000-08-25,21.079517364501953
2000-08-28,21.25715446472168
2000-08-29,20.724245071411133
2000-08-30,21.020309448242188
2000-08-31,21.878881454467773
2000-09-01,21.523603439331055
2000-09-05,21.671634674072266
2000-09-06,22.322978973388672
2000-09-07,22.530210494995117
2000-09-08,23.09273338317871
2000-09-11,23.41840171813965
2000-09-12,23.388797760009766
2000-09-13,23.151958465576172
2000-09-14,23.063129425048828
2000-09-15,22.589435577392578
2000-09-18,21.967693328857422
2000-09-19,22.707860946655273
2000-09-20,22.530210494995117
2000-09-21,22.530210494995117
2000-09-22,22.974300384521484
2000-09-25,23.299970626831055
2000-09-26,23.951305389404297
2000-09-27,25.195642471313477
2000-09-28,25.284780502319336
2000-09-29,25.61160659790039
2000-10-02,27.216047286987305
2000-10-03,26.8595027923584
2000-10-04,27.097198486328125
2000-10-05,27.27547264099121
2000-10-06,26.592090606689453
2000-10-09,26.05729103088379
2000-10-10,25.113937377929688
2000-10-11,24.868820190429688
2000-10-12,23.353498458862305
