Date,STE
2000-01-03,7.301318645477295
2000-01-04,7.07456636428833
2000-01-05,7.029217720031738
2000-01-06,7.165268421173096
2000-01-07,7.07456636428833
2000-01-10,7.165268421173096
2000-01-11,7.029217720031738
2000-01-12,7.981560707092285
2000-01-13,8.435057640075684
2000-01-14,8.253657341003418
2000-01-18,8.072259902954102
2000-01-19,7.709463119506836
2000-01-20,7.6641154289245605
2000-01-21,7.482711315155029
2000-01-24,7.255967140197754
2000-01-25,7.255967140197754
2000-01-26,7.800163745880127
2000-01-27,7.618764400482178
2000-01-28,7.392016410827637
2000-01-31,7.618764400482178
2000-02-01,8.072259902954102
2000-02-02,8.525761604309082
2000-02-03,8.162959098815918
2000-02-04,8.253657341003418
2000-02-07,7.981560707092285
2000-02-08,8.117613792419434
2000-02-09,8.117613792419434
2000-02-10,8.208309173583984
2000-02-11,8.072259902954102
2000-02-14,7.890866756439209
2000-02-15,7.845515251159668
2000-02-16,7.800163745880127
2000-02-17,7.618764400482178
2000-02-18,7.618764400482178
2000-02-22,7.528065204620361
2000-02-23,7.482711315155029
2000-02-24,7.392016410827637
2000-02-25,7.301318645477295
2000-02-28,7.165268421173096
2000-02-29,7.029217720031738
2000-03-01,7.07456636428833
2000-03-02,7.029217720031738
2000-03-03,7.346668720245361
2000-03-06,7.119916915893555
2000-03-07,7.07456636428833
2000-03-08,6.893167495727539
2000-03-09,6.893167495727539
2000-03-10,7.573416233062744
2000-03-13,7.437366962432861
2000-03-14,7.255967140197754
2000-03-15,7.255967140197754
2000-03-16,7.301318645477295
2000-03-17,7.210617542266846
2000-03-20,7.210617542266846
2000-03-21,6.893167495727539
2000-03-22,7.573416233062744
2000-03-23,7.301318645477295
2000-03-24,7.165268421173096
2000-03-27,7.165268421173096
2000-03-28,7.165268421173096
2000-03-29,7.07456636428833
2000-03-30,7.165268421173096
2000-03-31,7.437366962432861
2000-04-03,7.528065204620361
2000-04-04,8.253657341003418
2000-04-05,8.38970947265625
2000-04-06,8.208309173583984
2000-04-07,8.072259902954102
2000-04-10,8.571111679077148
