Date,BALL
2000-01-03,1.9159905910491943
2000-01-04,1.8528263568878174
2000-01-05,1.8859132528305054
2000-01-06,1.9159905910491943
2000-01-07,1.8618496656417847
2000-01-10,1.922006607055664
2000-01-11,1.9581013917922974
2000-01-12,1.8738815784454346
2000-01-13,1.9159905910491943
2000-01-14,2.0242726802825928
2000-01-18,2.0393121242523193
2000-01-19,2.006225347518921
2000-01-20,2.0182576179504395
2000-01-21,1.9731407165527344
2000-01-24,1.894935131072998
2000-01-25,1.8047019243240356
2000-01-26,1.8287639617919922
2000-01-27,1.8016928434371948
2000-01-28,1.732513189315796
2000-01-31,1.7505600452423096
2000-02-01,1.729504942893982
2000-02-02,1.699426531791687
2000-02-03,1.7054417133331299
2000-02-04,1.6723564863204956
2000-02-07,1.6362621784210205
2000-02-08,1.585128903388977
2000-02-09,1.5941531658172607
2000-02-10,1.5670814514160156
2000-02-11,1.5550501346588135
2000-02-14,1.5670814514160156
2000-02-15,1.5430195331573486
2000-02-16,1.5189566612243652
2000-02-17,1.527980089187622
2000-02-18,1.4257135391235352
2000-02-22,1.4557923078536987
2000-02-23,1.4407531023025513
2000-02-24,1.3805961608886719
2000-02-25,1.359541893005371
2000-02-28,1.3607512712478638
2000-02-29,1.2972491979599
2000-03-01,1.3002738952636719
2000-03-02,1.2821296453475952
2000-03-03,1.2942254543304443
2000-03-06,1.3093444108963013
2000-03-07,1.2972491979599
2000-03-08,1.366798996925354
2000-03-09,1.3970381021499634
2000-03-10,1.3758702278137207
2000-03-13,1.3940140008926392
2000-03-14,1.4182049036026
2000-03-15,1.4998496770858765
2000-03-16,1.6329013109207153
2000-03-17,1.5754470825195312
2000-03-20,1.5270649194717407
2000-03-21,1.5452085733413696
2000-03-22,1.5300896167755127
2000-03-23,1.5663758516311646
2000-03-24,1.548232078552246
2000-03-27,1.5452085733413696
2000-03-28,1.5452085733413696
2000-03-29,1.5331130027770996
2000-03-30,1.578471302986145
2000-03-31,1.6722122430801392
2000-04-03,1.7115236520767212
2000-04-04,1.6782597303390503
2000-04-05,1.7175706624984741
2000-04-06,1.7659528255462646
2000-04-07,1.741761565208435
2000-04-10,1.7538566589355469
2000-04-11,1.7659528255462646
2000-04-12,1.7750247716903687
