Date,CDW
2013-06-27,15.89506721496582
2013-06-28,16.111377716064453
2013-07-01,15.869105339050293
2013-07-02,16.630542755126953
2013-07-03,16.509408950805664
2013-07-05,16.630542755126953
2013-07-08,16.639198303222656
2013-07-09,16.872819900512695
2013-07-10,16.526718139648438
2013-07-11,16.94203758239746
2013-07-12,16.881473541259766
2013-07-15,16.92473793029785
2013-07-16,17.39198875427246
2013-07-17,17.625608444213867
2013-07-18,18.02362632751465
2013-07-19,18.032291412353516
2013-07-22,17.599645614624023
2013-07-23,17.49581527709961
2013-07-24,17.798656463623047
2013-07-25,19.018695831298828
2013-07-26,18.681238174438477
2013-07-29,18.77642059326172
2013-07-30,18.689897537231445
2013-07-31,18.603363037109375
2013-08-01,18.741809844970703
2013-08-02,19.408071517944336
2013-08-05,19.719575881958008
2013-08-06,19.736881256103516
2013-08-07,19.858013153076172
2013-08-08,19.96184730529785
2013-08-09,19.944536209106445
2013-08-12,20.039722442626953
2013-08-13,20.24738311767578
2013-08-14,20.212779998779297
2013-08-15,19.901277542114258
2013-08-16,19.944536209106445
2013-08-19,19.979154586791992
2013-08-20,19.9964599609375
2013-08-21,19.92723846435547
2013-08-22,19.909940719604492
2013-08-23,20.134904861450195
2013-08-26,19.883968353271484
2013-08-27,19.22635841369629
2013-08-28,19.018695831298828
2013-08-29,19.10521697998047
2013-08-30,18.975439071655273
2013-09-03,19.494600296020508
2013-09-04,19.909940719604492
2013-09-05,20.178165435791016
2013-09-06,20.108938217163086
2013-09-09,19.866668701171875
2013-09-10,19.92723846435547
2013-09-11,20.264694213867188
2013-09-12,19.979154586791992
2013-09-13,20.333919525146484
2013-09-16,20.654067993164062
2013-09-17,20.100292205810547
2013-09-18,20.584840774536133
2013-09-19,20.29930305480957
2013-09-20,19.806095123291016
2013-09-23,20.645416259765625
2013-09-24,21.026132583618164
2013-09-25,20.879032135009766
2013-09-26,20.757890701293945
2013-09-27,20.74924087524414
2013-09-30,19.75418472290039
2013-10-01,20.074331283569336
2013-10-02,19.710922241210938
2013-10-03,20.178165435791016
2013-10-04,20.204120635986328
2013-10-07,19.944536209106445
2013-10-08,20.005109786987305
2013-10-09,19.624385833740234
2013-10-10,19.944536209106445
2013-10-11,19.892620086669922
2013-10-14,19.710922241210938
2013-10-15,19.59843635559082
2013-10-16,19.61574363708496
2013-10-17,19.710922241210938
2013-10-18,19.892620086669922
2013-10-21,19.520551681518555
2013-10-22,19.728221893310547
2013-10-23,19.65899658203125
2013-10-24,19.044654846191406
2013-10-25,19.165788650512695
2013-10-28,19.079261779785156
2013-10-29,18.992740631103516
2013-10-30,19.12253189086914
2013-10-31,19.027355194091797
2013-11-01,19.079261779785156
