Date,DIS
2000-01-03,22.58342742919922
2000-01-04,23.90630531311035
2000-01-05,24.898462295532227
2000-01-06,23.90630531311035
2000-01-07,23.528339385986328
2000-01-10,27.1190128326416
2000-01-11,27.402482986450195
2000-01-12,25.46541404724121
2000-01-13,26.31583595275879
2000-01-14,25.370914459228516
2000-01-18,26.079601287841797
2000-01-19,26.26858901977539
2000-01-20,25.41816520690918
2000-01-21,24.75672721862793
2000-01-24,25.181934356689453
2000-01-25,28.347400665283203
2000-01-26,27.685958862304688
2000-01-27,28.063922882080078
2000-01-28,27.78045082092285
2000-01-31,27.449735641479492
2000-02-01,27.213499069213867
2000-02-02,28.158418655395508
2000-02-03,28.630870819091797
2000-02-04,28.819854736328125
2000-02-07,28.725366592407227
2000-02-08,28.39464569091797
2000-02-09,28.4891357421875
2000-02-10,27.92218780517578
2000-02-11,28.630870819091797
2000-02-14,27.969423294067383
2000-02-15,27.874937057495117
2000-02-16,27.92218780517578
2000-02-17,27.59145736694336
2000-02-18,26.835535049438477
2000-02-22,25.229185104370117
2000-02-23,25.79613494873047
2000-02-24,25.087444305419922
2000-02-25,23.433849334716797
2000-02-28,24.75672721862793
2000-02-29,25.701642990112305
2000-03-01,26.221345901489258
2000-03-02,26.079601287841797
2000-03-03,27.59145736694336
2000-03-06,27.213499069213867
2000-03-07,27.213499069213867
2000-03-08,26.410335540771484
2000-03-09,27.402482986450195
2000-03-10,26.55205535888672
2000-03-13,26.410335540771484
2000-03-14,25.79613494873047
2000-03-15,26.31583595275879
2000-03-16,26.693796157836914
2000-03-17,27.82769775390625
2000-03-20,29.81201171875
2000-03-21,29.623027801513672
2000-03-22,30.615192413330078
2000-03-23,31.418363571166992
2000-03-24,31.32387924194336
2000-03-27,31.560100555419922
2000-03-28,30.945913314819336
2000-03-29,30.851417541503906
2000-03-30,30.42620849609375
2000-03-31,31.18213653564453
2000-04-03,31.607349395751953
2000-04-04,31.087644577026367
2000-04-05,30.237226486206055
2000-04-06,30.567947387695312
2000-04-07,30.993152618408203
2000-04-10,31.229389190673828
2000-04-11,32.12705612182617
2000-04-12,30.284460067749023
2000-04-13,29.670278549194336
2000-04-14,29.386804580688477
2000-04-17,29.29231071472168
2000-04-18,29.859256744384766
2000-04-19,30.945913314819336
2000-04-20,31.938077926635742
2000-04-24,30.42620849609375
2000-04-25,30.615192413330078
2000-04-26,32.03255844116211
2000-04-27,31.465618133544922
2000-04-28,32.97747039794922
2000-05-01,31.749082565307617
2000-05-02,32.50502395629883
2000-05-03,31.18213653564453
2000-05-04,30.000991821289062
2000-05-05,29.9064998626709
2000-05-08,30.66244125366211
2000-05-09,30.804166793823242
2000-05-10,31.040401458740234
2000-05-11,31.087644577026367
2000-05-12,30.851417541503906
2000-05-15,30.851417541503906
2000-05-16,31.89082145690918
2000-05-17,31.938077926635742
2000-05-18,31.1348934173584
2000-05-19,31.040401458740234
2000-05-22,30.89866065979004
2000-05-23,30.284460067749023
2000-05-24,29.717527389526367
2000-05-25,30.095483779907227
2000-05-26,30.142736434936523
2000-05-30,31.65459632873535
2000-05-31,31.89082145690918
2000-06-01,31.560100555419922
2000-06-02,30.567947387695312
2000-06-05,30.709684371948242
2000-06-06,30.89866065979004
2000-06-07,30.378950119018555
2000-06-08,30.567947387695312
2000-06-09,31.418363571166992
2000-06-12,30.780555725097656
2000-06-13,30.378950119018555
2000-06-14,30.804166793823242
2000-06-15,31.749082565307617
2000-06-16,31.1348934173584
2000-06-19,31.70184326171875
2000-06-20,31.560100555419922
2000-06-21,31.560100555419922
2000-06-22,31.371122360229492
2000-06-23,29.953750610351562
2000-06-26,30.615192413330078
2000-06-27,30.237226486206055
2000-06-28,29.599411010742188
2000-06-29,29.859256744384766
2000-06-30,29.339563369750977
2000-07-03,29.15057373046875
2000-07-05,28.772607803344727
2000-07-06,28.347400665283203
2000-07-07,28.725366592407227
2000-07-10,28.583621978759766
2000-07-11,27.213499069213867
2000-07-12,27.26074981689453
2000-07-13,28.063922882080078
2000-07-14,28.300151824951172
2000-07-17,27.63871192932129
2000-07-18,27.02452278137207
2000-07-19,27.969423294067383
2000-07-20,29.19781494140625
2000-07-21,28.300151824951172
2000-07-24,27.685958862304688
2000-07-25,28.347400665283203
2000-07-26,28.772607803344727
2000-07-27,28.725366592407227
2000-07-28,28.630870819091797
2000-07-31,29.15057373046875
2000-08-01,29.859256744384766
2000-08-02,30.331716537475586
