Date,WM
2000-01-03,9.646008491516113
2000-01-04,9.611310958862305
2000-01-05,9.646008491516113
2000-01-06,9.576615333557129
2000-01-07,9.194934844970703
2000-01-10,9.229634284973145
2000-01-11,9.12553882598877
2000-01-12,9.333731651306152
2000-01-13,9.403129577636719
2000-01-14,9.299032211303711
2000-01-18,9.299032211303711
2000-01-19,9.507220268249512
2000-01-20,9.299032211303711
2000-01-21,9.229634284973145
2000-01-24,9.056146621704102
2000-01-25,8.917356491088867
2000-01-26,9.194934844970703
2000-01-27,9.611310958862305
2000-01-28,9.819498062133789
2000-01-31,9.71540641784668
2000-02-01,9.71540641784668
2000-02-02,9.646008491516113
2000-02-03,10.062383651733398
2000-02-04,9.888895988464355
2000-02-07,9.646008491516113
2000-02-08,9.299032211303711
2000-02-09,9.056146621704102
2000-02-10,8.32748794555664
2000-02-11,8.049907684326172
2000-02-14,8.154003143310547
2000-02-15,8.084607124328613
2000-02-16,8.049907684326172
2000-02-17,8.813261032104492
2000-02-18,8.605074882507324
2000-02-22,8.952054977416992
2000-02-23,8.743865966796875
2000-02-24,8.743865966796875
2000-02-25,8.466285705566406
2000-02-28,8.32748794555664
2000-02-29,8.32748794555664
2000-03-01,8.188698768615723
2000-03-02,8.049907684326172
2000-03-03,8.119304656982422
2000-03-06,7.876418113708496
2000-03-07,7.737629413604736
2000-03-08,7.737629413604736
2000-03-09,7.737629413604736
2000-03-10,7.77232551574707
2000-03-13,7.737629413604736
2000-03-14,7.355949401855469
2000-03-15,7.355949401855469
2000-03-16,7.4600443840026855
2000-03-17,7.9111175537109375
2000-03-20,7.980510234832764
2000-03-21,7.737629413604736
2000-03-22,7.77232551574707
2000-03-23,7.77232551574707
2000-03-24,7.529444694519043
2000-03-27,7.9111175537109375
2000-03-28,7.25186014175415
2000-03-29,7.841722011566162
2000-03-30,7.668231010437012
2000-03-31,7.59883975982666
2000-04-03,7.876418113708496
2000-04-04,7.9111175537109375
2000-04-05,7.668231010437012
2000-04-06,7.945816516876221
2000-04-07,8.292794227600098
2000-04-10,8.639774322509766
2000-04-11,8.500980377197266
2000-04-12,8.466285705566406
2000-04-13,8.084607124328613
2000-04-14,7.668231010437012
2000-04-17,7.494742393493652
2000-04-18,7.945816516876221
2000-04-19,7.668231010437012
2000-04-20,7.77232551574707
2000-04-24,8.223397254943848
2000-04-25,8.362190246582031
2000-04-26,8.362190246582031
2000-04-27,8.292794227600098
2000-04-28,8.882664680480957
2000-05-01,8.778563499450684
2000-05-02,8.5703763961792
2000-05-03,8.223397254943848
2000-05-04,8.292794227600098
2000-05-05,8.743865966796875
2000-05-08,8.605074882507324
2000-05-09,8.32748794555664
2000-05-10,8.32748794555664
2000-05-11,10.513463020324707
2000-05-12,10.652252197265625
2000-05-15,10.444061279296875
2000-05-16,10.4093656539917
2000-05-17,10.4093656539917
2000-05-18,10.201175689697266
2000-05-19,10.131780624389648
2000-05-22,10.131780624389648
2000-05-23,10.444061279296875
2000-05-24,10.478764533996582
2000-05-25,10.791043281555176
2000-05-26,11.311517715454102
2000-05-30,11.24211597442627
2000-05-31,11.311517715454102
2000-06-01,11.276815414428711
2000-06-02,10.721644401550293
2000-06-05,11.03392505645752
2000-06-06,10.756341934204102
2000-06-07,10.721644401550293
2000-06-08,10.305268287658691
2000-06-09,10.617547988891602
2000-06-12,10.617547988891602
2000-06-13,10.201175689697266
2000-06-14,10.131780624389648
2000-06-15,9.923593521118164
2000-06-16,9.680706977844238
2000-06-19,9.923593521118164
2000-06-20,9.819498062133789
2000-06-21,9.888895988464355
2000-06-22,9.819498062133789
2000-06-23,9.507220268249512
2000-06-26,9.680706977844238
2000-06-27,9.71540641784668
2000-06-28,9.576615333557129
2000-06-29,9.54192066192627
2000-06-30,10.548162460327148
2000-07-03,10.444061279296875
2000-07-05,10.582852363586426
2000-07-06,10.8257417678833
2000-07-07,10.652252197265625
2000-07-10,10.548162460327148
2000-07-11,10.548162460327148
2000-07-12,10.686944007873535
2000-07-13,10.791043281555176
2000-07-14,10.791043281555176
2000-07-17,10.548162460327148
2000-07-18,10.444061279296875
2000-07-19,10.339972496032715
2000-07-20,10.37467098236084
2000-07-21,10.235875129699707
2000-07-24,10.062383651733398
2000-07-25,10.339972496032715
2000-07-26,10.287925720214844
2000-07-27,10.444061279296875
2000-07-28,10.4093656539917
2000-07-31,10.305268287658691
2000-08-01,10.37467098236084
2000-08-02,10.478764533996582
2000-08-03,10.582852363586426
