Date,CTSH
2000-01-03,1.751781940460205
2000-01-04,1.692476749420166
2000-01-05,1.7859967947006226
2000-01-06,1.6947575807571411
2000-01-07,1.7152860164642334
2000-01-10,1.7483603954315186
2000-01-11,1.7301123142242432
2000-01-12,1.655981183052063
2000-01-13,1.7152860164642334
2000-01-14,1.6651054620742798
2000-01-18,1.4849090576171875
2000-01-19,1.6035189628601074
2000-01-20,1.5499157905578613
2000-01-21,1.4963136911392212
2000-01-24,1.6012380123138428
2000-01-25,1.6377341747283936
2000-01-26,1.6605428457260132
2000-01-27,1.6605428457260132
2000-01-28,1.6354529857635498
2000-01-31,1.3731410503387451
2000-02-01,1.605799674987793
2000-02-02,1.6787911653518677
2000-02-03,1.7016000747680664
2000-02-04,1.7654674053192139
2000-02-07,1.982159972190857
2000-02-08,2.255875825881958
2000-02-09,2.2319252490997314
2000-02-10,2.2581565380096436
2000-02-11,2.372204303741455
2000-02-14,2.3562376499176025
2000-02-15,2.3288662433624268
2000-02-16,2.2627179622650146
2000-02-17,2.242189645767212
2000-02-18,2.109894037246704
2000-02-22,2.099628210067749
2000-02-23,2.0791008472442627
2000-02-24,1.9890022277832031
2000-02-25,2.061993360519409
2000-02-28,1.9696135520935059
2000-02-29,1.9912841320037842
2000-03-01,1.9753165245056152
2000-03-02,2.160073757171631
2000-03-03,2.2091152667999268
2000-03-06,2.3060572147369385
2000-03-07,2.2353463172912598
2000-03-08,2.2381978034973145
2000-03-09,2.395014524459839
2000-03-10,2.242189645767212
2000-03-13,2.189727544784546
2000-03-14,2.0437445640563965
2000-03-15,1.8407394886016846
2000-03-16,1.7882771492004395
2000-03-17,2.0528688430786133
2000-03-20,2.0733988285064697
2000-03-21,2.1783223152160645
2000-03-22,2.259866237640381
2000-03-23,2.367642641067505
2000-03-24,2.4292290210723877
2000-03-27,2.5090622901916504
2000-03-28,2.5501205921173096
2000-03-29,2.4086997509002686
2000-03-30,2.176041603088379
2000-03-31,2.280965566635132
2000-04-03,1.9707540273666382
2000-04-04,2.055149793624878
2000-04-05,1.8977645635604858
2000-04-06,1.9684734344482422
2000-04-07,1.9068870544433594
2000-04-10,1.6491388082504272
2000-04-11,1.7152860164642334
2000-04-12,1.605799674987793
2000-04-13,1.5613209009170532
2000-04-14,1.2727789878845215
2000-04-17,1.3138365745544434
2000-04-18,1.3959509134292603
2000-04-19,1.5373705625534058
2000-04-20,1.6377341747283936
2000-04-24,1.6149237155914307
2000-04-25,1.6719478368759155
2000-04-26,1.608081340789795
2000-04-27,1.6012380123138428
2000-04-28,1.674228549003601
2000-05-01,1.9348289966583252
2000-05-02,1.982159972190857
2000-05-03,1.8361774682998657
2000-05-04,2.0254976749420166
2000-05-05,2.082521677017212
2000-05-08,2.1714799404144287
2000-05-09,2.1783223152160645
2000-05-10,2.0848026275634766
2000-05-11,2.0711169242858887
2000-05-12,2.0665547847747803
2000-05-15,2.2170989513397217
2000-05-16,2.2353463172912598
2000-05-17,2.294651746749878
2000-05-18,2.2992141246795654
2000-05-19,2.2170989513397217
2000-05-22,2.3128998279571533
2000-05-23,2.0984885692596436
2000-05-24,2.1167361736297607
2000-05-25,1.9798787832260132
2000-05-26,1.9661927223205566
2000-05-30,1.9023255109786987
2000-05-31,2.0437445640563965
2000-06-01,2.061993360519409
2000-06-02,2.099628210067749
2000-06-05,2.030059337615967
2000-06-06,2.000406503677368
2000-06-07,1.9570680856704712
2000-06-08,1.9616304636001587
2000-06-09,1.952506184577942
2000-06-12,1.8361774682998657
2000-06-13,1.8065247535705566
2000-06-14,1.783715009689331
2000-06-15,1.642295241355896
2000-06-16,1.7244104146957397
2000-06-19,1.6787911653518677
2000-06-20,1.7609057426452637
2000-06-21,1.7055929899215698
2000-06-22,1.5191229581832886
2000-06-23,1.5693048238754272
2000-06-26,1.5556190013885498
2000-06-27,1.4849090576171875
2000-06-28,1.4233225584030151
2000-06-29,1.3822650909423828
2000-06-30,1.2111930847167969
2000-07-03,1.2317215204238892
2000-07-05,1.1815403699874878
2000-07-06,1.3047122955322266
2000-07-07,1.4096367359161377
2000-07-10,1.4233225584030151
2000-07-11,1.4233225584030151
2000-07-12,1.384546160697937
2000-07-13,1.368579626083374
2000-07-14,1.624047875404358
2000-07-17,1.5966765880584717
2000-07-18,1.7107243537902832
2000-07-19,1.5852714776992798
2000-07-20,1.6217671632766724
2000-07-21,1.6103625297546387
2000-07-24,1.5687344074249268
2000-07-25,1.7010302543640137
2000-07-26,1.7289717197418213
2000-07-27,1.7107243537902832
2000-07-28,1.5191229581832886
2000-07-31,1.500875473022461
2000-08-01,1.4415696859359741
2000-08-02,1.532808780670166
2000-08-03,1.6103625297546387
2000-08-04,1.6833528280258179
2000-08-07,1.5556190013885498
2000-08-08,1.4963136911392212
2000-08-09,1.4689418077468872
2000-08-10,1.4871900081634521
2000-08-11,1.5556190013885498
2000-08-14,1.532808780670166
2000-08-15,1.466660976409912
2000-08-16,1.5875523090362549
2000-08-17,1.5641719102859497
2000-08-18,1.5624616146087646
2000-08-21,1.5693048238754272
2000-08-22,1.6103625297546387
2000-08-23,1.5556190013885498
2000-08-24,1.5715855360031128
2000-08-25,1.5305284261703491
2000-08-28,1.528247356414795
2000-08-29,1.4780657291412354
