Date,LII
2000-01-03,6.072348117828369
2000-01-04,5.871277332305908
2000-01-05,5.911491870880127
2000-01-06,5.750635147094727
2000-01-07,5.8310651779174805
2000-01-10,6.152779579162598
2000-01-11,6.112565517425537
2000-01-12,6.192992210388184
2000-01-13,6.192992210388184
2000-01-14,6.152779579162598
2000-01-18,6.072348117828369
2000-01-19,6.072348117828369
2000-01-20,5.9919209480285645
2000-01-21,6.474493503570557
2000-01-24,6.3136372566223145
2000-01-25,6.072348117828369
2000-01-26,6.192992210388184
2000-01-27,6.112565517425537
2000-01-28,5.95170783996582
2000-01-31,6.192992210388184
2000-02-01,6.273421764373779
2000-02-02,6.5951361656188965
2000-02-03,6.434277534484863
2000-02-04,6.514705657958984
2000-02-07,6.474493503570557
2000-02-08,6.7157769203186035
2000-02-09,6.353847026824951
2000-02-10,6.5951361656188965
2000-02-11,6.635349750518799
2000-02-14,6.434277534484863
2000-02-15,6.273421764373779
2000-02-16,6.152779579162598
2000-02-17,6.233208179473877
2000-02-18,6.233208179473877
2000-02-22,6.273421764373779
2000-02-23,5.9919209480285645
2000-02-24,5.8310651779174805
2000-02-25,5.790846347808838
2000-02-28,6.192992210388184
2000-02-29,6.112565517425537
2000-03-01,5.95170783996582
2000-03-02,6.152779579162598
2000-03-03,6.233208179473877
2000-03-06,6.192992210388184
2000-03-07,6.273421764373779
2000-03-08,6.434277534484863
2000-03-09,6.474493503570557
2000-03-10,6.5951361656188965
2000-03-13,6.474493503570557
2000-03-14,6.152779579162598
2000-03-15,6.072348117828369
2000-03-16,6.233208179473877
2000-03-17,6.192992210388184
2000-03-20,6.273421764373779
2000-03-21,6.353847026824951
2000-03-22,6.233208179473877
2000-03-23,6.173101902008057
2000-03-24,5.929424285888672
2000-03-27,5.970038890838623
2000-03-28,5.888814926147461
2000-03-29,5.888814926147461
2000-03-30,5.766975402832031
2000-03-31,5.685750961303711
2000-04-03,5.929424285888672
2000-04-04,5.888814926147461
2000-04-05,5.8481974601745605
2000-04-06,5.970038890838623
2000-04-07,5.807587623596191
2000-04-10,5.766975402832031
2000-04-11,5.807587623596191
2000-04-12,5.645137310028076
2000-04-13,5.645137310028076
2000-04-14,5.279626846313477
2000-04-17,5.239009857177734
2000-04-18,5.604523658752441
2000-04-19,5.807587623596191
2000-04-20,5.563912868499756
2000-04-24,5.360852241516113
2000-04-25,5.482688903808594
2000-04-26,5.482688903808594
2000-04-27,5.442078590393066
2000-04-28,5.482688903808594
2000-05-01,5.442078590393066
2000-05-02,5.442078590393066
2000-05-03,5.3202385902404785
2000-05-04,5.3202385902404785
2000-05-05,5.523297309875488
2000-05-08,5.685750961303711
2000-05-09,6.254327297210693
2000-05-10,6.4573869705200195
2000-05-11,6.579225063323975
2000-05-12,6.4980010986328125
2000-05-15,6.782289981842041
2000-05-16,6.944736957550049
2000-05-17,7.147799491882324
2000-05-18,7.472702503204346
2000-05-19,7.391473770141602
2000-05-22,7.107183933258057
2000-05-23,7.432086944580078
2000-05-24,7.453385353088379
2000-05-25,7.4943366050720215
2000-05-26,7.535289287567139
2000-05-30,7.4943366050720215
2000-05-31,7.699098587036133
2000-06-01,7.985766887664795
2000-06-02,8.272433280944824
2000-06-05,8.518148422241211
2000-06-06,8.272433280944824
2000-06-07,8.313392639160156
2000-06-08,8.272433280944824
2000-06-09,8.600058555603027
2000-06-12,8.927680969238281
2000-06-13,8.600058555603027
2000-06-14,8.722916603088379
2000-06-15,7.699098587036133
2000-06-16,8.231487274169922
2000-06-19,8.272433280944824
2000-06-20,8.313392639160156
2000-06-21,8.108620643615723
2000-06-22,8.272433280944824
2000-06-23,8.600058555603027
2000-06-26,8.845770835876465
2000-06-27,9.13244342803955
2000-06-28,9.460065841674805
2000-06-29,9.705778121948242
2000-06-30,8.681960105895996
2000-07-03,8.681960105895996
2000-07-05,8.681960105895996
2000-07-06,9.09149169921875
2000-07-07,9.09149169921875
2000-07-10,9.337207794189453
2000-07-11,9.214351654052734
2000-07-12,9.501019477844238
2000-07-13,9.58292293548584
2000-07-14,9.623872756958008
2000-07-17,9.58292293548584
2000-07-18,9.746735572814941
2000-07-19,9.296257019042969
2000-07-20,9.255298614501953
2000-07-21,9.13244342803955
2000-07-24,9.009586334228516
2000-07-25,8.477200508117676
2000-07-26,9.009586334228516
2000-07-27,9.009586334228516
2000-07-28,8.76386833190918
2000-07-31,8.641009330749512
2000-08-01,8.681960105895996
2000-08-02,8.313392639160156
2000-08-03,8.313392639160156
2000-08-04,8.313392639160156
2000-08-07,8.313392639160156
2000-08-08,8.272433280944824
2000-08-09,8.231487274169922
2000-08-10,8.231487274169922
2000-08-11,8.354341506958008
2000-08-14,8.722916603088379
2000-08-15,8.600058555603027
2000-08-16,8.641009330749512
2000-08-17,9.009586334228516
2000-08-18,8.968626976013184
2000-08-21,8.886726379394531
2000-08-22,8.927680969238281
2000-08-23,8.886726379394531
2000-08-24,8.968626976013184
2000-08-25,8.886726379394531
2000-08-28,8.886726379394531
2000-08-29,8.908172607421875
2000-08-30,8.990653991699219
2000-08-31,9.114375114440918
2000-09-01,9.279341697692871
2000-09-05,9.320585250854492
2000-09-06,9.238107681274414
2000-09-07,9.155624389648438
