symbol,role,provider_symbol
EMN,stock,EMN
EMR,stock,EMR
ENPH,stock,ENPH
EOG,stock,EOG
EPAM,stock,EPAM
EQIX,stock,EQIX
EQR,stock,EQR
EQT,stock,EQT
ERIE,stock,ERIE
ES,stock,ES
ESRX,stock,ESRX
ESS,stock,ESS
ETN,stock,ETN
ETR,stock,ETR
ETSY,stock,ETSY
EVHC,stock,EVHC
EVRG,stock,EVRG
EW,stock,EW
EXC,stock,EXC
EXE,stock,EXE
EXPD,stock,EXPD
EXPE,stock,EXPE
EXR,stock,EXR
F,stock,F
FANG,stock,FANG
FAST,stock,FAST
FCX,stock,FCX
FDS,stock,FDS
FDX,stock,FDX
FE,stock,FE
FER,stock,FER
FFIV,stock,FFIV
FICO,stock,FICO
FIS,stock,FIS
FISV,stock,FISV
FITB,stock,FITB
FIX,stock,FIX
FLR,stock,FLR
FLS,stock,FLS
FMC,stock,FMC
FOX,stock,FOX
FOXA,stock,FOXA
FRT,stock,FRT
FSLR,stock,FSLR
FTI,stock,FTI
FTNT,stock,FTNT
FTV,stock,FTV
GD,stock,GD
GDDY,stock,GDDY
GE,stock,GE
GEHC,stock,GEHC
GEN,stock,GEN
GEV,stock,GEV
GFS,stock,GFS
GILD,stock,GILD
GIS,stock,GIS
GL,stock,GL
GLW,stock,GLW
GM,stock,GM
GME,stock,GME
GNRC,stock,GNRC
GNW,stock,GNW
GOOG,stock,GOOG
GOOGL,stock,GOOGL
GPC,stock,GPC
GPN,stock,GPN
GRMN,stock,GRMN
GS,stock,GS
GT,stock,GT
GWW,stock,GWW
HAL,stock,HAL
HAS,stock,HAS
HBAN,stock,HBAN
HCA,stock,HCA
HD,stock,HD
HIG,stock,HIG
HII,stock,HII
HLT,stock,HLT
HON,stock,HON
HOOD,stock,HOOD
HOT,stock,HOT
HP,stock,HP
HPE,stock,HPE
HPQ,stock,HPQ
HRL,stock,HRL
HSIC,stock,HSIC
HST,stock,HST
HSY,stock,HSY
HUBB,stock,HUBB
HUM,stock,HUM
HWM,stock,HWM
IBKR,stock,IBKR
IBM,stock,IBM
ICE,stock,ICE
IDXX,stock,IDXX
IEX,stock,IEX
IFF,stock,IFF
ILMN,stock,ILMN
INCY,stock,INCY
INFO,stock,INFO
INSM,stock,INSM
INTC,stock,INTC
INTU,stock,INTU
INVH,stock,INVH
IP,stock,IP
IQV,stock,IQV
IR,stock,IR
IRM,stock,IRM
ISRG,stock,ISRG
IT,stock,IT
ITW,stock,ITW
IVZ,stock,IVZ
J,stock,J
JBHT,stock,JBHT
JBL,stock,JBL
JCI,stock,JCI
JD,stock,JD
JEF,stock,JEF
JKHY,stock,JKHY
JNJ,stock,JNJ
JPM,stock,JPM
KDP,stock,KDP
KEY,stock,KEY
KEYS,stock,KEYS
KHC,stock,KHC
KIM,stock,KIM
KKR,stock,KKR
KLAC,stock,KLAC
KMB,stock,KMB
KMI,stock,KMI
KMX,stock,KMX
KO,stock,KO
KR,stock,KR
KSS,stock,KSS
KVUE,stock,KVUE
L,stock,L
LBTYA,stock,LBTYA
LBTYK,stock,LBTYK
LCID,stock,LCID
LDOS,stock,LDOS
LEG,stock,LEG
LEN,stock,LEN
LH,stock,LH
LHX,stock,LHX
LII,stock,LII
LILA,stock,LILA
LILAK,stock,LILAK
LIN,stock,LIN
LKQ,stock,LKQ
LLY,stock,LLY
LMT,stock,LMT
LNC,stock,LNC
LNT,stock,LNT
LOW,stock,LOW
LRCX,stock,LRCX
LULU,stock,LULU
LUMN,stock,LUMN
LUV,stock,LUV
LVS,stock,LVS
LW,stock,LW
LYB,stock,LYB
LYV,stock,LYV
M,stock,M
MA,stock,MA
MAA,stock,MAA
MAC,stock,MAC
MAR,stock,MAR
MAS,stock,MAS
MAT,stock,MAT
MBC,stock,MBC
MCD,stock,MCD
MCHP,stock,MCHP
MCK,stock,MCK
MCO,stock,MCO
MDB,stock,MDB
MDLZ,stock,MDLZ
MDT,stock,MDT
MELI,stock,MELI
MET,stock,MET
META,stock,META
MGM,stock,MGM
MHK,stock,MHK
MKC,stock,MKC
MKTX,stock,MKTX
MLM,stock,MLM
MMM,stock,MMM
MNST,stock,MNST
MO,stock,MO
MOH,stock,MOH
MOS,stock,MOS
MPC,stock,MPC
MPWR,stock,MPWR
MRK,stock,MRK
MRNA,stock,MRNA
MRSH,stock,MRSH
MRVL,stock,MRVL
MS,stock,MS
MSCI,stock,MSCI
MSFT,stock,MSFT
MSI,stock,MSI
MSTR,stock,MSTR
MTB,stock,MTB
MTCH,stock,MTCH
MTD,stock,MTD
MU,stock,MU
NAVI,stock,NAVI
NBR,stock,NBR
NCLH,stock,NCLH
NDAQ,stock,NDAQ
NDSN,stock,NDSN
NE,stock,NE
NEE,stock,NEE
NEM,stock,NEM
NFLX,stock,NFLX
NI,stock,NI
NKE,stock,NKE
NKTR,stock,NKTR
NOC,stock,NOC
NOV,stock,NOV
NOW,stock,NOW
NRG,stock,NRG
NSC,stock,NSC
NTAP,stock,NTAP
NTES,stock,NTES
NTRS,stock,NTRS
NUE,stock,NUE
NVDA,stock,NVDA
NVR,stock,NVR
NWS,stock,NWS
NWSA,stock,NWSA
NXPI,stock,NXPI
O,stock,O
ODFL,stock,ODFL
OGN,stock,OGN
OKE,stock,OKE
OKTA,stock,OKTA
OMC,stock,OMC
ON,stock,ON
ORCL,stock,ORCL
ORLY,stock,ORLY
OTIS,stock,OTIS
OXY,stock,OXY
PANW,stock,PANW
PAYC,stock,PAYC
PAYX,stock,PAYX
PBI,stock,PBI
PCAR,stock,PCAR
PCG,stock,PCG
PCL,stock,PCL
PDD,stock,PDD
PEG,stock,PEG
PENN,stock,PENN
PEP,stock,PEP
PFE,stock,PFE
PFG,stock,PFG
PG,stock,PG
PGR,stock,PGR
PH,stock,PH
PHM,stock,PHM
PKG,stock,PKG
PLD,stock,PLD
PLTR,stock,PLTR
PM,stock,PM
PNC,stock,PNC
PNR,stock,PNR
PNW,stock,PNW
PODD,stock,PODD
POM,stock,POM
POOL,stock,POOL
PPG,stock,PPG
PPL,stock,PPL
PRGO,stock,PRGO
PRU,stock,PRU
PSA,stock,PSA
PSKY,stock,PSKY
PSX,stock,PSX
PTC,stock,PTC
PTON,stock,PTON
PVH,stock,PVH
PWR,stock,PWR
PYPL,stock,PYPL
Q,stock,Q
QCOM,stock,QCOM
QRVO,stock,QRVO
R,stock,R
RCL,stock,RCL
REG,stock,REG
REGN,stock,REGN
RF,stock,RF
RIG,stock,RIG
RIVN,stock,RIVN
RJF,stock,RJF
RL,stock,RL
RMD,stock,RMD
ROK,stock,ROK
ROL,stock,ROL
ROP,stock,ROP
ROST,stock,ROST
RRC,stock,RRC
RSG,stock,RSG
RTX,stock,RTX
RVTY,stock,RVTY
SBAC,stock,SBAC
SBNY,stock,SBNY
SBUX,stock,SBUX
SCG,stock,SCG
SCHW,stock,SCHW
SE,stock,SE
SEDG,stock,SEDG
SHOP,stock,SHOP
SHPG,stock,SHPG
SHW,stock,SHW
SIG,stock,SIG
SIRI,stock,SIRI
SJM,stock,SJM
SLB,stock,SLB
SLG,stock,SLG
SMCI,stock,SMCI
SNA,stock,SNA
SNDK,stock,SNDK
SNPS,stock,SNPS
SO,stock,SO
SOLS,stock,SOLS
SOLV,stock,SOLV
SPG,stock,SPG
SPGI,stock,SPGI
SRE,stock,SRE
STE,stock,STE
STI,stock,STI
STLD,stock,STLD
STT,stock,STT
STX,stock,STX
STZ,stock,STZ
SW,stock,SW
SWK,stock,SWK
SWKS,stock,SWKS
SYF,stock,SYF
SYK,stock,SYK
SYY,stock,SYY
T,stock,T
TAP,stock,TAP
TCOM,stock,TCOM
TDC,stock,TDC
TDG,stock,TDG
TDY,stock,TDY
TE,stock,TE
TEAM,stock,TEAM
TECH,stock,TECH
TEG,stock,TEG
TEL,stock,TEL
TER,stock,TER
TFC,stock,TFC
TFX,stock,TFX
TGT,stock,TGT
THC,stock,THC
TJX,stock,TJX
TKO,stock,TKO
TMO,stock,TMO
TMUS,stock,TMUS
TPL,stock,TPL
TPR,stock,TPR
TRGP,stock,TRGP
TRI,stock,TRI
TRMB,stock,TRMB
TROW,stock,TROW
TRV,stock,TRV
TSCO,stock,TSCO
TSLA,stock,TSLA
TSN,stock,TSN
TT,stock,TT
TTD,stock,TTD
TTWO,stock,TTWO
TWX,stock,TWX
TXN,stock,TXN
TXT,stock,TXT
TYL,stock,TYL
UA,stock,UA
UAA,stock,UAA
UAL,stock,UAL
UBER,stock,UBER
UDR,stock,UDR
UHS,stock,UHS
ULTA,stock,ULTA
UNH,stock,UNH
UNM,stock,UNM
UNP,stock,UNP
UPS,stock,UPS
URBN,stock,URBN
URI,stock,URI
USB,stock,USB
V,stock,V
VICI,stock,VICI
VLO,stock,VLO
VLTO,stock,VLTO
VMC,stock,VMC
VNO,stock,VNO
VNT,stock,VNT
VOD,stock,VOD
VRSK,stock,VRSK
VRSN,stock,VRSN
VRTX,stock,VRTX
VST,stock,VST
VTR,stock,VTR
VTRS,stock,VTRS
VZ,stock,VZ
WAB,stock,WAB
WAT,stock,WAT
WBD,stock,WBD
WDAY,stock,WDAY
WDC,stock,WDC
WEC,stock,WEC
WELL,stock,WELL
WFC,stock,WFC
WHR,stock,WHR
WM,stock,WM
WMB,stock,WMB
WMT,stock,WMT
WRB,stock,WRB
WSM,stock,WSM
WST,stock,WST
WTW,stock,WTW
WU,stock,WU
WY,stock,WY
WYNN,stock,WYNN
XEL,stock,XEL
XOM,stock,XOM
XRX,stock,XRX
XYL,stock,XYL
XYZ,stock,XYZ
YUM,stock,YUM
ZBH,stock,ZBH
ZBRA,stock,ZBRA
ZION,stock,ZION
ZS,stock,ZS
ZTS,stock,ZTS
SPY,market,SPY
QQQ,market,QQQ
SMH,market,SMH
^VIX,market,^VIX
^VIX3M,market,^VIX3M
