symbol,role,provider_symbol
A,stock,A
AA,stock,AA
AAL,stock,AAL
AAP,stock,AAP
AAPL,stock,AAPL
ABBV,stock,ABBV
ABNB,stock,ABNB
ABT,stock,ABT
ACGL,stock,ACGL
ACN,stock,ACN
ADBE,stock,ADBE
ADI,stock,ADI
ADM,stock,ADM
ADP,stock,ADP
ADSK,stock,ADSK
ADT,stock,ADT
AEE,stock,AEE
AEP,stock,AEP
AES,stock,AES
AET,stock,AET
AFL,stock,AFL
AIG,stock,AIG
AIV,stock,AIV
AIZ,stock,AIZ
AJG,stock,AJG
AKAM,stock,AKAM
ALB,stock,ALB
ALGN,stock,ALGN
ALK,stock,ALK
ALL,stock,ALL
ALLE,stock,ALLE
ALNY,stock,ALNY
AMAT,stock,AMAT
AMCR,stock,AMCR
AMD,stock,AMD
AME,stock,AME
AMG,stock,AMG
AMGN,stock,AMGN
AMP,stock,AMP
AMT,stock,AMT
AMTM,stock,AMTM
AMZN,stock,AMZN
AN,stock,AN
ANDV,stock,ANDV
ANET,stock,ANET
AON,stock,AON
AOS,stock,AOS
APA,stock,APA
APD,stock,APD
APH,stock,APH
APO,stock,APO
APP,stock,APP
APTV,stock,APTV
ARE,stock,ARE
ARES,stock,ARES
ARM,stock,ARM
ASML,stock,ASML
ATO,stock,ATO
AVB,stock,AVB
AVGO,stock,AVGO
AVY,stock,AVY
AWK,stock,AWK
AXON,stock,AXON
AXP,stock,AXP
AYI,stock,AYI
AZN,stock,AZN
AZO,stock,AZO
BA,stock,BA
BAC,stock,BAC
BALL,stock,BALL
BATRA,stock,BATRA
BATRK,stock,BATRK
BAX,stock,BAX
BBBY,stock,BBBY
BBWI,stock,BBWI
BBY,stock,BBY
BDX,stock,BDX
BEN,stock,BEN
BF-B,stock,BF-B
BG,stock,BG
BHF,stock,BHF
BIDU,stock,BIDU
BIIB,stock,BIIB
BIO,stock,BIO
BKNG,stock,BKNG
BKR,stock,BKR
BLDR,stock,BLDR
BLK,stock,BLK
BMRN,stock,BMRN
BMS,stock,BMS
BMY,stock,BMY
BR,stock,BR
BRK-B,stock,BRK-B
BRO,stock,BRO
BSX,stock,BSX
BWA,stock,BWA
BX,stock,BX
BXP,stock,BXP
C,stock,C
CAG,stock,CAG
CAH,stock,CAH
CAM,stock,CAM
CARR,stock,CARR
CAT,stock,CAT
CB,stock,CB
CBOE,stock,CBOE
CBRE,stock,CBRE
CCEP,stock,CCEP
CCI,stock,CCI
CCL,stock,CCL
CDNS,stock,CDNS
CDW,stock,CDW
CE,stock,CE
CEG,stock,CEG
CF,stock,CF
CFG,stock,CFG
CHD,stock,CHD
CHKP,stock,CHKP
CHRW,stock,CHRW
CHTR,stock,CHTR
CI,stock,CI
CINF,stock,CINF
CL,stock,CL
CLX,stock,CLX
CMCSA,stock,CMCSA
CME,stock,CME
CMG,stock,CMG
CMI,stock,CMI
CMS,stock,CMS
CNC,stock,CNC
CNP,stock,CNP
CNX,stock,CNX
COF,stock,COF
COIN,stock,COIN
COL,stock,COL
COO,stock,COO
COP,stock,COP
COR,stock,COR
COST,stock,COST
COTY,stock,COTY
CPAY,stock,CPAY
CPB,stock,CPB
CPRI,stock,CPRI
CPRT,stock,CPRT
CPT,stock,CPT
CRH,stock,CRH
CRL,stock,CRL
CRM,stock,CRM
CRWD,stock,CRWD
CSCO,stock,CSCO
CSGP,stock,CSGP
CSRA,stock,CSRA
CSX,stock,CSX
CTAS,stock,CTAS
CTSH,stock,CTSH
CTVA,stock,CTVA
CVNA,stock,CVNA
CVS,stock,CVS
CVX,stock,CVX
CZR,stock,CZR
D,stock,D
DAL,stock,DAL
DASH,stock,DASH
DD,stock,DD
DDOG,stock,DDOG
DE,stock,DE
DECK,stock,DECK
DELL,stock,DELL
DG,stock,DG
DGX,stock,DGX
DHI,stock,DHI
DHR,stock,DHR
DIS,stock,DIS
DLR,stock,DLR
DLTR,stock,DLTR
DOC,stock,DOC
DOCU,stock,DOCU
DOV,stock,DOV
DOW,stock,DOW
DPZ,stock,DPZ
DRI,stock,DRI
DTE,stock,DTE
DUK,stock,DUK
DVA,stock,DVA
DVN,stock,DVN
DXC,stock,DXC
DXCM,stock,DXCM
EA,stock,EA
EBAY,stock,EBAY
ECL,stock,ECL
ED,stock,ED
EFX,stock,EFX
EG,stock,EG
EIX,stock,EIX
EL,stock,EL
ELV,stock,ELV
EMC,stock,EMC
EME,stock,EME
