Date,SPY,QQQ,IWM,RSP,HYG,LQD,TLT,^VIX,^VIX3M
2009-01-02,67.80657958984375,26.755300521850586,39.69799041748047,21.577571868896484,26.48516845703125,52.155696868896484,69.5331802368164,39.189998626708984,40.560001373291016
2009-01-05,67.726318359375,26.746679306030273,39.84028625488281,21.69015884399414,27.764495849609375,52.513362884521484,67.74031829833984,39.08000183105469,40.81999969482422
2009-01-06,68.17858123779297,27.013978958129883,40.51220703125,22.193012237548828,27.998676300048828,52.60147476196289,67.05902862548828,38.560001373291016,40.310001373291016
2009-01-07,66.1362075805664,26.246583938598633,39.318572998046875,21.457494735717773,27.491853713989258,52.16087341308594,67.32198333740234,43.38999938964844,43.810001373291016
2009-01-08,66.40608978271484,26.52250099182129,39.50828170776367,21.630109786987305,27.093358993530273,52.534114837646484,67.26821899414062,42.560001373291016,43.16999816894531
2009-01-09,64.98375701904297,25.927553176879883,38.045902252197266,21.059709548950195,27.491853713989258,53.18726348876953,67.36976623535156,42.81999969482422,44.880001068115234
2009-01-12,63.42279815673828,25.453323364257812,36.91550827026367,20.37672996520996,26.89413833618164,52.912540435791016,68.06901550292969,45.84000015258789,47.349998474121094
2009-01-13,63.539493560791016,25.461952209472656,37.405601501464844,20.384244918823242,26.79623794555664,52.79848098754883,68.14070129394531,43.27000045776367,47.13999938964844
2009-01-14,61.54090881347656,24.685924530029297,35.76140213012695,19.61119842529297,26.453683853149414,52.56519317626953,69.26425170898438,49.13999938964844,50.68000030517578
2009-01-15,61.56277847290039,25.091188430786133,36.33846664428711,19.746301651000977,26.34882164001465,52.668880462646484,69.37775421142578,51.0,51.709999084472656
2009-01-16,62.04416275024414,25.36709976196289,36.741600036621094,20.016490936279297,26.562047958374023,52.668880462646484,68.3080825805664,46.11000061035156,48.95000076293945
2009-01-20,58.769134521484375,24.108226776123047,34.2515754699707,18.733089447021484,26.107627868652344,51.89126205444336,68.29606628417969,56.650001525878906,54.869998931884766
2009-01-21,61.307498931884766,25.134294509887695,35.95901870727539,19.641223907470703,26.111154556274414,51.63207244873047,66.1386947631836,46.41999816894531,49.959999084472656
2009-01-22,60.359230041503906,24.79802703857422,34.91558074951172,19.220935821533203,26.041217803955078,51.440303802490234,64.86578369140625,47.290000915527344,50.130001068115234
2009-01-23,60.621803283691406,24.91872787475586,35.089481353759766,19.40856170654297,25.625268936157227,51.098148345947266,64.3578109741211,47.27000045776367,49.36000061035156
2009-01-26,61.03759765625,25.099802017211914,35.48473358154297,19.483617782592773,25.691688537597656,50.6419792175293,63.79606246948242,45.689998626708984,47.470001220703125
