Date,SPY,QQQ,SMH,RSP,IWM,HYG,LQD,^VIX,^VIX3M
2009-01-02,67.80658721923828,26.75530433654785,7.803851127624512,21.57758140563965,39.697994232177734,26.48516845703125,52.15569305419922,39.189998626708984,40.560001373291016
2009-01-05,67.72632598876953,26.746675491333008,7.761392593383789,21.690153121948242,39.84028625488281,27.764495849609375,52.51343536376953,39.08000183105469,40.81999969482422
2009-01-06,68.17860412597656,27.013980865478516,8.135025024414062,22.19300651550293,40.5121955871582,27.998693466186523,52.60147476196289,38.560001373291016,40.310001373291016
2009-01-07,66.13619232177734,26.246580123901367,7.672227382659912,21.45748519897461,39.318580627441406,27.49184799194336,52.16086196899414,43.38999938964844,43.810001373291016
2009-01-08,66.40609741210938,26.52250862121582,7.667984485626221,21.630117416381836,39.508270263671875,27.093360900878906,52.534095764160156,42.560001373291016,43.16999816894531
2009-01-09,64.98374938964844,25.92755126953125,7.438708305358887,21.05971336364746,38.04589080810547,27.49184799194336,53.1872673034668,42.81999969482422,44.880001068115234
2009-01-12,63.42278289794922,25.453311920166016,7.2434000968933105,20.376739501953125,36.91550064086914,26.89410972595215,52.91252136230469,45.84000015258789,47.349998474121094
2009-01-13,63.53949737548828,25.461946487426758,7.311334133148193,20.384241104125977,37.40559768676758,26.796228408813477,52.79848861694336,43.27000045776367,47.13999938964844
2009-01-14,61.54087829589844,24.68592071533203,6.992895603179932,19.611204147338867,35.76139831542969,26.453697204589844,52.56523132324219,49.13999938964844,50.68000030517578
2009-01-15,61.56277847290039,25.0911808013916,7.149992942810059,19.746299743652344,36.33844757080078,26.34882926940918,52.668861389160156,51.0,51.709999084472656
2009-01-16,62.04417037963867,25.367095947265625,7.4769206047058105,20.01648712158203,36.74159622192383,26.562049865722656,52.668861389160156,46.11000061035156,48.95000076293945
2009-01-20,58.76911163330078,24.108224868774414,6.975913047790527,18.733091354370117,34.251583099365234,26.107643127441406,51.891273498535156,56.650001525878906,54.869998931884766
2009-01-21,61.30752182006836,25.134288787841797,7.1372551918029785,19.641223907470703,35.959014892578125,26.111135482788086,51.6320915222168,46.41999816894531,49.959999084472656
2009-01-22,60.35922622680664,24.798011779785156,6.946191310882568,19.220930099487305,34.91557693481445,26.041229248046875,51.4402961730957,47.290000915527344,50.130001068115234
